Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Sp4	2210417A02Rik	.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	3.91055521298e-05, 0.000606928161012, 0.000889342020701, 0.00419214403081, 0.0273145695591, 0.0273145695591	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	9130230L23Rik	.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	3.91055521298e-05, 0.000606928161012, 0.000889342020701, 0.00419214403081, 0.0273145695591, 0.0273145695591	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	AI846148	.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	3.91055521298e-05, 0.000606928161012, 0.000889342020701, 0.00419214403081, 0.0273145695591, 0.0273145695591	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Acoxl	.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	3.91055521298e-05, 0.000606928161012, 0.000889342020701, 0.00419214403081, 0.0273145695591, 0.0273145695591	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Afmid	.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	3.91055521298e-05, 0.000606928161012, 0.000889342020701, 0.00419214403081, 0.0273145695591, 0.0273145695591	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Agbl5	.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	3.91055521298e-05, 0.000606928161012, 0.000889342020701, 0.00419214403081, 0.0273145695591, 0.0273145695591	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Ankrd28	.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	3.91055521298e-05, 0.000606928161012, 0.000889342020701, 0.00419214403081, 0.0273145695591, 0.0273145695591	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Ankrd50	.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	3.91055521298e-05, 0.000606928161012, 0.000889342020701, 0.00419214403081, 0.0273145695591, 0.0273145695591	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Ankzf1	.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	3.91055521298e-05, 0.000606928161012, 0.000889342020701, 0.00419214403081, 0.0273145695591, 0.0273145695591	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Ano1	.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	3.91055521298e-05, 0.000606928161012, 0.000889342020701, 0.00419214403081, 0.0273145695591, 0.0273145695591	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Aoc2	.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	3.91055521298e-05, 0.000606928161012, 0.000889342020701, 0.00419214403081, 0.0273145695591, 0.0273145695591	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
