Regulator	Target	Weight
E2f6	1110058l19rik	-0.25
Egr1	1110058l19rik	-0.25
Klf5	1110058l19rik	-0.25
Nrf1	1110058l19rik	-0.25
Sp1	1110058l19rik	-0.25
Srf	1110058l19rik	-0.25
Atf3	1110059g10rik	0.25
E2f1	1110059g10rik	0.25
Egr1	1110059g10rik	0.25
Irf1	1110059g10rik	0.25
Klf4	1110059g10rik	0.25
Klf7	1110059g10rik	0.25
Taf1	1110059g10rik	0.25
Egr1	1500011b03rik	-0.25
Egr2	1500011b03rik	-0.25
Egr3	1500011b03rik	-0.25
Elf1	1500011b03rik	-0.25
Elk1	1500011b03rik	-0.25
Ets1	1500011b03rik	-0.25
Irf1	1500011b03rik	-0.25
Klf4	1500011b03rik	-0.25
Klf5	1500011b03rik	-0.25
Klf7	1500011b03rik	-0.25
Myc	1500011b03rik	-0.25
Sp1	1500011b03rik	-0.25
Sp2	1500011b03rik	-0.25
Sp3	1500011b03rik	-0.25
Sp4	1500011b03rik	-0.25
Tbp	1500011b03rik	-0.25
Zfp148	1500011b03rik	-0.25
Ctcf	1700001g17rik	-0.25
E2f1	1700001g17rik	-0.25
E2f6	1700001g17rik	-0.25
Egr1	1700001g17rik	-0.25
Elf1	1700001g17rik	-0.25
Etv6	1700001g17rik	-0.25
Gabpa	1700001g17rik	-0.25
Irf1	1700001g17rik	-0.25
Klf4	1700001g17rik	-0.25
Klf5	1700001g17rik	-0.25
Klf7	1700001g17rik	-0.25
Rest	1700001g17rik	-0.25
Sp1	1700001g17rik	-0.25
Sp2	1700001g17rik	-0.25
Sp3	1700001g17rik	-0.25
Sp4	1700001g17rik	-0.25
Srf	1700001g17rik	-0.25
Tbp	1700001g17rik	-0.25
Ctcf	1810026j23rik	-0.25
E2f1	1810026j23rik	-0.25
E2f4	1810026j23rik	-0.25
E2f6	1810026j23rik	-0.25
Egr1	1810026j23rik	-0.25
Elf1	1810026j23rik	-0.25
Ets1	1810026j23rik	-0.25
Etv6	1810026j23rik	-0.25
Gabpa	1810026j23rik	-0.25
Irf1	1810026j23rik	-0.25
Klf4	1810026j23rik	-0.25
Nrf1	1810026j23rik	-0.25
Pbx3	1810026j23rik	-0.25
Sp1	1810026j23rik	-0.25
Sp3	1810026j23rik	-0.25
Sp4	1810026j23rik	-0.25
Zfp143	1810026j23rik	-0.25
Egr1	2210417a02rik	0.25
Hey1	2210417a02rik	0.25
Irf1	2210417a02rik	0.25
Klf13	2210417a02rik	0.25
Klf4	2210417a02rik	0.25
Klf7	2210417a02rik	0.25
Sp1	2210417a02rik	0.25
Sp3	2210417a02rik	0.25
Sp4	2210417a02rik	0.25
Taf1	2210417a02rik	0.25
Ctcf	2510009e07rik	-0.25
E2f6	2510009e07rik	-0.25
Egr1	2510009e07rik	-0.25
Elf1	2510009e07rik	-0.25
Ets1	2510009e07rik	-0.25
Gabpa	2510009e07rik	-0.25
Klf4	2510009e07rik	-0.25
Nrf1	2510009e07rik	-0.25
Pbx3	2510009e07rik	-0.25
Rest	2510009e07rik	-0.25
Sp1	2510009e07rik	-0.25
Sp2	2510009e07rik	-0.25
Sp3	2510009e07rik	-0.25
Sp4	2510009e07rik	-0.25
Zfp143	2510009e07rik	-0.25
E2f4	2810417h13rik	-0.25
Egr1	2810417h13rik	-0.25
Egr2	2810417h13rik	-0.25
Egr3	2810417h13rik	-0.25
Elf1	2810417h13rik	-0.25
Elk1	2810417h13rik	-0.25
Ets1	2810417h13rik	-0.25
Etv6	2810417h13rik	-0.25
Gabpa	2810417h13rik	-0.25
Sp1	2810417h13rik	-0.25
Sp2	2810417h13rik	-0.25
Sp3	2810417h13rik	-0.25
Sp4	2810417h13rik	-0.25
Zfp148	2810417h13rik	-0.25
Ctcf	4930427a07rik	-0.25
E2f4	4930427a07rik	-0.25
E2f6	4930427a07rik	-0.25
Egr1	4930427a07rik	-0.25
Elf1	4930427a07rik	-0.25
Ets1	4930427a07rik	-0.25
Etv6	4930427a07rik	-0.25
Fos	4930427a07rik	-0.25
Gabpa	4930427a07rik	-0.25
Irf1	4930427a07rik	-0.25
Klf4	4930427a07rik	-0.25
Nfya	4930427a07rik	-0.25
Nfyb	4930427a07rik	-0.25
Nrf1	4930427a07rik	-0.25
Pbx3	4930427a07rik	-0.25
Rest	4930427a07rik	-0.25
Sp1	4930427a07rik	-0.25
Sp2	4930427a07rik	-0.25
Sp3	4930427a07rik	-0.25
Tbp	4930427a07rik	-0.25
Zfp143	4930427a07rik	-0.25
Zfp148	4930427a07rik	-0.25
Egr1	4930513n10rik	0.25
Irf1	4930513n10rik	0.25
Nfya	4930513n10rik	0.25
Pbx3	4930513n10rik	0.25
Sp1	4930513n10rik	0.25
Sp2	4930513n10rik	0.25
Sp3	4930513n10rik	0.25
Irf1	4930594c11rik	0.25
Klf4	4930594c11rik	0.25
Jund	4931406h21rik	0.25
Ctcf	4931414p19rik	-0.25
E2f1	4931414p19rik	-0.25
E2f4	4931414p19rik	-0.25
Egr1	4931414p19rik	-0.25
Fos	4931414p19rik	-0.25
Gabpa	4931414p19rik	-0.25
Irf1	4931414p19rik	-0.25
Klf4	4931414p19rik	-0.25
Klf5	4931414p19rik	-0.25
Klf7	4931414p19rik	-0.25
Nrf1	4931414p19rik	-0.25
Sp1	4931414p19rik	-0.25
Sp2	4931414p19rik	-0.25
Sp3	4931414p19rik	-0.25
Sp4	4931414p19rik	-0.25
Tbp	4931414p19rik	-0.25
Zfp143	4931414p19rik	-0.25
Atf3	6330403a02rik	0.25
Cdc5l	6330403a02rik	0.33
Egr1	6330403a02rik	0.25
Irf1	6330407a03rik	0.25
Jund	6330407a03rik	0.25
Klf5	6330407a03rik	0.25
Sp1	6330407a03rik	0.25
Taf1	6330407a03rik	0.25
E2f1	6330416g13rik	-0.25
E2f4	6330416g13rik	-0.25
E2f6	6330416g13rik	-0.25
Egr1	6330416g13rik	-0.25
Elf1	6330416g13rik	-0.25
Ets1	6330416g13rik	-0.25
Etv6	6330416g13rik	-0.25
Fos	6330416g13rik	-0.25
Gabpa	6330416g13rik	-0.25
Hic1	6330416g13rik	-0.25
Irf1	6330416g13rik	-0.25
Myc	6330416g13rik	-0.25
Sp2	6330416g13rik	-0.25
Sp4	6330416g13rik	-0.25
Zfp143	6330416g13rik	-0.25
Ctcf	8430408g22rik	-0.25
Fos	8430408g22rik	-0.25
Klf4	8430408g22rik	-0.25
Atf3	9130230l23rik	0.25
Egr1	9130230l23rik	0.25
Irf1	9130230l23rik	0.25
Jund	9130230l23rik	0.25
Nfya	9130230l23rik	0.25
Sp1	9130230l23rik	0.25
Sp4	9130230l23rik	0.25
E2f1	9430015g10rik	-0.25
E2f4	9430015g10rik	-0.25
E2f6	9430015g10rik	-0.25
Egr1	9430015g10rik	-0.25
Egr2	9430015g10rik	-0.25
Egr3	9430015g10rik	-0.25
Ets1	9430015g10rik	-0.25
Fos	9430015g10rik	-0.25
Klf4	9430015g10rik	-0.25
Nfya	9430015g10rik	-0.25
Pbx3	9430015g10rik	-0.25
Smarcc2	9430015g10rik	-0.25
Sp1	9430015g10rik	-0.25
Sp2	9430015g10rik	-0.25
Sp3	9430015g10rik	-0.25
Sp4	9430015g10rik	-0.25
Zfp143	9430015g10rik	-0.25
Zfp148	9430015g10rik	-0.25
Zfp523	9430015g10rik	-0.25
Ctcf	9530082p21rik	-0.25
E2f1	9530082p21rik	-0.25
E2f4	9530082p21rik	-0.25
Egr1	9530082p21rik	-0.25
Elf1	9530082p21rik	-0.25
Ets1	9530082p21rik	-0.25
Irf1	9530082p21rik	-0.25
Klf5	9530082p21rik	-0.25
Myc	9530082p21rik	-0.25
Rest	9530082p21rik	-0.25
Sp1	9530082p21rik	-0.25
Sp2	9530082p21rik	-0.25
Sp3	9530082p21rik	-0.25
Sp4	9530082p21rik	-0.25
Tbp	9530082p21rik	-0.25
Zfp148	9530082p21rik	-0.25
Ctcf	9930104l06rik	-0.25
Egr1	9930104l06rik	-0.25
Ets1	9930104l06rik	-0.25
Irf1	9930104l06rik	-0.25
Klf7	9930104l06rik	-0.25
Smarcc2	9930104l06rik	-0.25
Sp1	9930104l06rik	-0.25
Tbp	9930104l06rik	-0.25
Zfp143	9930104l06rik	-0.25
Egr1	9930111j21rik1	-0.25
Ets1	9930111j21rik1	-0.25
Srf	9930111j21rik1	-0.25
Irf1	A930013f10rik	0.25
Ctcf	Aa388235	-0.25
E2f1	Aa388235	-0.25
E2f4	Aa388235	-0.25
Elk1	Aa388235	-0.25
Fos	Aa388235	-0.25
Irf1	Aa388235	-0.25
Myc	Aa388235	-0.25
Nfya	Aa388235	-0.25
Nfyb	Aa388235	-0.25
Nrf1	Aa388235	-0.25
Pbx3	Aa388235	-0.25
Smarcc2	Aa388235	-0.25
Zfp143	Aa388235	-0.25
Zfp148	Aa388235	-0.25
Ctcf	Acad11	-0.25
Egr1	Acad11	-0.25
Elf1	Acad11	-0.25
Elk1	Acad11	-0.25
Ets1	Acad11	-0.25
Etv6	Acad11	-0.25
Fos	Acad11	-0.25
Gabpa	Acad11	-0.25
Irf1	Acad11	-0.25
Klf7	Acad11	-0.25
Smarcc2	Acad11	-0.25
Sp1	Acad11	-0.25
Sp2	Acad11	-0.25
Sp3	Acad11	-0.25
Sp4	Acad11	-0.25
Zfp143	Acad11	-0.25
Ctcf	Acad9	-0.25
Egr1	Acad9	-0.25
Elf1	Acad9	-0.25
Elk1	Acad9	-0.25
Ets1	Acad9	-0.25
Etv6	Acad9	-0.25
Gabpa	Acad9	-0.25
Irf1	Acad9	-0.25
Rest	Acad9	-0.25
Ctcf	Acot7	-0.25
E2f1	Acot7	-0.25
E2f4	Acot7	-0.25
E2f6	Acot7	-0.25
Egr1	Acot7	-0.25
Egr2	Acot7	-0.25
Egr3	Acot7	-0.25
Elf1	Acot7	-0.25
Ets1	Acot7	-0.25
Fos	Acot7	-0.25
Gabpa	Acot7	-0.25
