		GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_down	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up
		6	5	1	10	0	42	2	4	1	30	8	32
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC0p58_FDR25_down	6	7	0	1	2	0	0	2	2	1	0	1	0
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC0p58_FDR25_up	101	1	5	0	1	0	0	4	0	2	5	0	19
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC0p58_FDR25_down	19	0	0	0	0	5	0	0	0	0	0	0	0
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC0p58_FDR25_up	0	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC0p58_FDR25_down	13	0	0	0	0	0	0	5	1	1	0	0	0
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC0p58_FDR25_up	5	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC0p58_FDR25_down	0	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC0p58_FDR25_up	13	0	0	0	0	0	0	0	0	0	0	6	0
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down	63	4	0	0	1	6	14	19	0	2	5	1	7
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_up	240	8	0	2	6	10	11	3	0	39	11	8	6
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC0p58_FDR25_down	74	0	0	0	0	1	0	0	2	0	0	1	2
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC0p58_FDR25_up	115	0	1	1	0	5	8	10	4	21	0	1	0
