Total genes and peaks mapped to +/-SFBbp of gene genesets of various gene sets

	Total peaks mapped to various ATACseq peak sets

	Total peaks mapped to the intersection of ATACseq-based and gene-based sets

		GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_down	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up
	totGenes	45	58	50	160	185	390	27	38	309	172	246	556
	totPeaks	891	634	744	1489	2374	2911	569	463	4197	1576	2365	4374
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC0p58_FDR25_down	6089	29	21	34	64	121	124	18	15	198	58	114	184
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC0p58_FDR25_up	973	3	7	8	10	13	19	4	10	24	15	17	30
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC0p58_FDR25_down	23	0	0	0	0	5	0	0	0	0	0	0	0
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC0p58_FDR25_up	1	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC0p58_FDR25_down	105	0	0	0	0	1	0	1	1	3	0	0	1
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC0p58_FDR25_up	6	0	0	0	0	0	0	0	0	1	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC0p58_FDR25_down	63	0	0	0	0	0	0	0	0	1	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC0p58_FDR25_up	34	0	0	0	0	0	0	0	0	3	1	2	0
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down	12307	55	48	54	115	180	258	50	38	492	133	261	373
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_up	4095	39	12	23	39	70	68	11	12	91	32	46	107
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC0p58_FDR25_down	2918	17	9	17	18	68	35	10	10	120	20	45	72
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC0p58_FDR25_up	391	2	5	3	2	3	8	1	2	12	5	7	7
