Significance of peak overlap between gene expression and accessibility clusters

	Raw p-values from the hypergeometric distribution are reported.

		GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_down	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC1_FDR10_down	NA	9.8785347924e-07	4.30991951239e-07	2.06519958723e-06	0.000695809403596	0.0	0.0	0.0404524926994	8.39672360414e-05	0.0	2.49178344625e-09	0.0	0.0
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC1_FDR10_up	NA	0.0302430516033	9.2449537813e-06	0.0335469807577	0.000190843188632	0.118659985687	0.00249544485022	0.0182560542561	2.55258100057e-06	0.00128895854971	6.56945183108e-06	0.0124586314711	2.55254225401e-06
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC1_FDR10_down	NA	0.00153381511481	0.0019765664616	0.00170412276982	0.00544501617342	1.57981612161e-05	0.013230647079	0.00092051480169	0.00129534518626	0.0104943339769	0.00585243423135	0.00836189618038	0.0188194866291
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC1_FDR10_down	NA	0.00734136196962	0.00945256570985	0.0081538733277	0.0258687114972	0.0298523126866	0.0619341394438	0.00441103600136	0.0062027741714	0.0493813213001	0.0277827926205	0.0395068872715	0.0871651390631
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC1_FDR10_up	NA	0.000306947320717	0.000395620707493	0.000341052464226	0.00109136821426	0.00126189417654	0.00266020918344	0.000184168085468	0.00025919972177	0.00210770456326	0.00117322082878	0.00167797822022	0.00379250361138
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC1_FDR10_down	NA	0.0103846860286	0.0133651682501	0.0115320582143	0.0364500548413	0.0420276192322	0.086596773072	0.00624343305688	0.00877619300293	0.0692324024893	0.0391312079422	0.0555056855865	0.121206053062
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC1_FDR10_up	NA	0.00275921090946	0.00355505522157	0.00306537185171	0.00977980744736	0.0113001974357	0.0236893373867	0.00165633943426	0.00233044511412	0.0188107054444	0.0105098538194	0.0150012445516	0.0336202014121
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC1_FDR10_down	NA	4.46820358491e-12	3.7968311735e-05	1.04271313806e-09	2.83207901575e-11	0.0	0.0	0.0	8.18212733122e-08	1.62587721064e-10	0.0	0.0	0.0
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC1_FDR10_up	NA	9.80002745621e-11	0.000396493370527	0.000223404113131	4.99631233053e-08	1.77045734739e-08	2.12432893498e-09	0.147678651321	2.28869712071e-09	2.32033725567e-10	9.78794016793e-06	3.84632736772e-09	0.0
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC1_FDR10_down	NA	0.189050574872	0.236695421507	0.0227832994294	0.00685977734456	0.0	0.10987390398	0.0070024055881	0.162177277834	1.5100920514e-10	0.0467706563982	2.99062874465e-08	1.51005007866e-05
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC1_FDR10_up	NA	0.0122062996174	0.0157054353309	0.0135535538847	0.0427439530351	0.0492597294847	0.10108280392	0.00734131174161	0.0103171284395	0.0809441518601	0.0458769411257	0.0649772784831	0.141019274329
