	Hsf1	Hsf2	Irf1	Irf2	Irf3	Irf8	Irf9	Nfkb1	Srf	Stat2
Adamts2	0	0	-0.25	0	0	0	-0.25	0	0	-0.25
Aebp1	0	0	-0.25	0	-0.25	0	0	0	0	0
Ai467606	0	0	-0.25	0	0	-0.25	0	0	0	0
Apobec1	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Arhgap22	0	0	-0.25	0	0	0	0	0	-0.25	-0.25
Atf3	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25
Athl1	-0.25	0	-0.25	0	-0.25	0	0	0	0	-0.25
C3	0	0	0	0	0	0	0	0	-0.25	0
Ccdc66	0	0	0	0	-0.25	0	0	0	0	0
Ccl2	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0
Ccl3	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Ccl4	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Cd2	0	0	-0.25	-0.25	0	-0.25	0	0	0	0
Cd209a	-0.25	-0.25	0	0	0	-0.25	0	0	0	0
Cdt1	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25
Chordc1	-0.25	-0.25	0	0	0	0	0	0	0	0
Col15a1	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0
Cpm	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0
Csf1r	-0.25	0	-0.25	-0.25	0	0	0	0	0	0
Dbf4	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0
Ddx58	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25
Ddx60	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Dusp10	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25
Dusp8	0	0	-0.25	0	-0.25	0	0	0	-0.25	0
Egr1	0	0	-0.25	0	0	0	0	0	-0.25	0
Egr2	0	0	-0.25	0	0	0	0	0	-0.25	0
Eri2	0	0	-0.25	0	0	0	0	0	0	0
Fcer1g	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Flt3l	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0
Fos	-0.25	0	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25
Frmd8	0	0	-0.25	0	0	0	0	0	0	0
Gbp4	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Gbp5	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Gbp9	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Gfod1	0	0	0	0	0	0	0	0.33	0	0
Gnat1	0	0	-0.25	0	0	0	0	0	-0.25	0
Gpc6	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25
Gpr141	-0.25	-0.25	0	0	0	0	0	0	0	0
