		GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_down	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up
		9	12	7	18	5	57	7	7	7	59	23	46
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC1_FDR10_down	27	13	2	5	2	0	3	0	2	0	1	0	2
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC1_FDR10_up	42	0	6	0	5	0	5	0	5	0	6	6	14
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC1_FDR10_down	5	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC1_FDR10_down	7	0	0	0	0	0	0	0	0	1	0	0	0
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC1_FDR10_up	0	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC1_FDR10_down	4	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC1_FDR10_up	3	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC1_FDR10_down	15	0	0	2	2	5	1	0	0	2	4	2	2
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC1_FDR10_up	145	9	2	3	5	8	9	0	1	11	5	7	1
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC1_FDR10_down	45	1	1	4	2	6	1	0	2	4	2	0	3
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC1_FDR10_up	22	0	0	2	0	0	0	0	0	0	0	0	0
