Regulator	Target	Weight
Irf1	Adamts2	-0.25
Irf9	Adamts2	-0.25
Stat2	Adamts2	-0.25
Irf1	Aebp1	-0.25
Irf3	Aebp1	-0.25
Irf1	Ai467606	-0.25
Irf8	Ai467606	-0.25
Irf1	Apobec1	-0.25
Irf2	Apobec1	-0.25
Irf3	Apobec1	-0.25
Irf8	Apobec1	-0.25
Irf9	Apobec1	-0.25
Stat2	Apobec1	-0.25
Irf1	Arhgap22	-0.25
Srf	Arhgap22	-0.25
Stat2	Arhgap22	-0.25
Hsf1	Atf3	-0.25
Hsf2	Atf3	-0.25
Irf1	Atf3	-0.25
Irf2	Atf3	-0.25
Irf3	Atf3	-0.25
Irf8	Atf3	-0.25
Irf9	Atf3	-0.25
Srf	Atf3	-0.25
Stat2	Atf3	-0.25
Hsf1	Athl1	-0.25
Irf1	Athl1	-0.25
Irf3	Athl1	-0.25
Stat2	Athl1	-0.25
Srf	C3	-0.25
Irf3	Ccdc66	-0.25
Hsf1	Ccl2	-0.25
Hsf2	Ccl2	-0.25
Irf1	Ccl2	-0.25
Irf2	Ccl2	-0.25
Irf3	Ccl2	-0.25
Irf9	Ccl2	-0.25
Irf1	Ccl3	-0.25
Irf2	Ccl3	-0.25
Irf3	Ccl3	-0.25
Irf8	Ccl3	-0.25
Irf9	Ccl3	-0.25
Stat2	Ccl3	-0.25
Irf1	Ccl4	-0.25
Irf2	Ccl4	-0.25
Irf3	Ccl4	-0.25
Irf8	Ccl4	-0.25
Irf9	Ccl4	-0.25
Stat2	Ccl4	-0.25
Irf1	Cd2	-0.25
Irf2	Cd2	-0.25
Irf8	Cd2	-0.25
Hsf1	Cd209a	-0.25
Hsf2	Cd209a	-0.25
Irf8	Cd209a	-0.25
Hsf1	Cdt1	-0.25
Hsf2	Cdt1	-0.25
Irf1	Cdt1	-0.25
Irf3	Cdt1	-0.25
Irf8	Cdt1	-0.25
Irf9	Cdt1	-0.25
Stat2	Cdt1	-0.25
Hsf1	Chordc1	-0.25
Hsf2	Chordc1	-0.25
Irf1	Col15a1	-0.25
Irf2	Col15a1	-0.25
Irf8	Col15a1	-0.25
Irf9	Col15a1	-0.25
Hsf1	Cpm	-0.25
Hsf2	Cpm	-0.25
Irf1	Cpm	-0.25
Srf	Cpm	-0.25
Hsf1	Csf1r	-0.25
Irf1	Csf1r	-0.25
Irf2	Csf1r	-0.25
Hsf1	Dbf4	-0.25
Hsf2	Dbf4	-0.25
Irf1	Dbf4	-0.25
Srf	Dbf4	-0.25
Irf1	Ddx58	-0.25
Irf2	Ddx58	-0.25
Irf3	Ddx58	-0.25
Irf8	Ddx58	-0.25
Irf9	Ddx58	-0.25
Srf	Ddx58	-0.25
Stat2	Ddx58	-0.25
Irf1	Ddx60	-0.25
Irf2	Ddx60	-0.25
Irf3	Ddx60	-0.25
Irf8	Ddx60	-0.25
Irf9	Ddx60	-0.25
Stat2	Ddx60	-0.25
Irf1	Dusp10	-0.25
Irf2	Dusp10	-0.25
Irf3	Dusp10	-0.25
Irf8	Dusp10	-0.25
Irf9	Dusp10	-0.25
Srf	Dusp10	-0.25
Stat2	Dusp10	-0.25
Irf1	Dusp8	-0.25
Irf3	Dusp8	-0.25
Srf	Dusp8	-0.25
Irf1	Egr1	-0.25
Srf	Egr1	-0.25
Irf1	Egr2	-0.25
Srf	Egr2	-0.25
