Regulator	Target	Weight
Atf3	6330416g13rik	-0.25
E2f1	Abtb2	0.25
Ep300	Abtb2	0.25
Foxa1	Abtb2	0.25
Taf1	Abtb2	0.25
Hsf1	Ahsa1	-0.25
E2f1	Antxr2	0.25
Ep300	Antxr2	0.25
Foxa1	Antxr2	0.25
Sp4	Antxr2	0.25
Taf1	Antxr2	0.25
Yy1	Antxr2	0.25
Atf3	Atf3	-0.25
Hsf1	Atf3	-0.25
Hsf2	Atf3	-0.25
Atf3	Banp	-0.25
Atf3	Bcl6	-0.25
Hsf1	Bcl6	-0.25
Hsf2	Bcl6	-0.25
E2f1	Bend3	0.25
Ep300	Bend3	0.25
Sp4	Bend3	0.25
Taf1	Bend3	0.25
Yy1	Bend3	0.25
Ep300	Capg	0.25
Foxa1	Capg	0.25
Sp4	Capg	0.25
Taf1	Capg	0.25
Yy1	Capg	0.25
Hsf1	Ccl2	-0.25
Hsf2	Ccl2	-0.25
Ep300	Cd14	0.25
Foxa1	Cd14	0.25
Sp4	Cd14	0.25
Taf1	Cd14	0.25
Yy1	Cd14	0.25
Atf3	Cebpa	-0.25
Atf3	Chmp7	-0.25
Hsf1	Chordc1	-0.25
Hsf2	Chordc1	-0.25
E2f1	Cish	0.25
Ep300	Cish	0.25
Foxa1	Cish	0.25
Sp4	Cish	0.25
Ep300	Clec7a	0.25
Sp4	Clec7a	0.25
E2f1	Cnnm2	0.25
Sp4	Cnnm2	0.25
Taf1	Cnnm2	0.25
Yy1	Cnnm2	0.25
Atf3	Col4a2	-0.25
Atf3	Dnajb1	-0.25
Hsf1	Dnajb1	-0.25
Hsf2	Dnajb1	-0.25
Atf3	Dok2	-0.25
Hsf1	Dok2	-0.25
Atf3	Egr2	-0.25
E2f1	Exoc5	0.25
Ep300	Exoc5	0.25
Sp4	Exoc5	0.25
Yy1	Exoc5	0.25
Atf3	Fkbp4	-0.25
Atf3	Fn1	-0.25
E2f1	Foxo1	0.25
Ep300	Foxo1	0.25
Foxa1	Foxo1	0.25
Sp4	Foxo1	0.25
Taf1	Foxo1	0.25
Yy1	Foxo1	0.25
Atf3	Gab1	-0.25
Ep300	Gda	0.25
Taf1	Gda	0.25
Yy1	Gda	0.25
Ep300	Gpr126	0.25
Foxa1	Gpr126	0.25
Sp4	Gpr126	0.25
Taf1	Gpr126	0.25
Yy1	Gpr126	0.25
Atf3	Hip1	-0.25
Hsf1	Hip1	-0.25
Hsf2	Hip1	-0.25
Atf3	Hspa1a	-0.25
Hsf1	Hspa1a	-0.25
Hsf1	Hspa1b	-0.25
Atf3	Hspa4l	-0.25
Atf3	Hspa8	-0.25
Hsf1	Hspa8	-0.25
Hsf2	Hspa8	-0.25
Hsf1	Hsph1	-0.25
Hsf2	Hsph1	-0.25
E2f1	Ica1l	0.25
Ep300	Ica1l	0.25
Taf1	Ica1l	0.25
Yy1	Ica1l	0.25
Atf3	Il16	-0.25
Hsf1	Il16	-0.25
Atf3	Kbtbd11	-0.25
E2f1	Lats2	0.25
Ep300	Lats2	0.25
Sp4	Lats2	0.25
Taf1	Lats2	0.25
Yy1	Lats2	0.25
Atf3	Lifr	-0.25
E2f1	Lphn2	0.25
Ep300	Lphn2	0.25
Foxa1	Lphn2	0.25
Taf1	Lphn2	0.25
Yy1	Lphn2	0.25
E2f1	Lrrc8d	0.25
Ep300	Lrrc8d	0.25
Foxa1	Lrrc8d	0.25
Sp4	Lrrc8d	0.25
Taf1	Lrrc8d	0.25
Yy1	Lrrc8d	0.25
E2f1	Marcks	0.25
Ep300	Marcks	0.25
Foxa1	Marcks	0.25
Sp4	Marcks	0.25
Taf1	Marcks	0.25
Yy1	Marcks	0.25
Ep300	Myo1e	0.25
Taf1	Myo1e	0.25
Yy1	Myo1e	0.25
E2f1	Mzt1	0.25
Ep300	Mzt1	0.25
Sp4	Mzt1	0.25
Taf1	Mzt1	0.25
Yy1	Mzt1	0.25
Atf3	Neat1	-0.25
Atf3	Nfkbid	-0.25
Ep300	Nrg1	0.25
Foxa1	Nrg1	0.25
E2f1	Ocrl	0.25
Ep300	Ocrl	0.25
Sp4	Ocrl	0.25
Yy1	Ocrl	0.25
E2f1	Pde3b	0.25
Ep300	Pde3b	0.25
Sp4	Pde3b	0.25
Taf1	Pde3b	0.25
Yy1	Pde3b	0.25
E2f1	Phlpp1	0.25
Ep300	Phlpp1	0.25
Foxa1	Phlpp1	0.25
Sp4	Phlpp1	0.25
Taf1	Phlpp1	0.25
Yy1	Phlpp1	0.25
E2f1	Pkib	0.25
Ep300	Pkib	0.25
Foxa1	Pkib	0.25
Sp4	Pkib	0.25
Taf1	Pkib	0.25
Yy1	Pkib	0.25
Atf3	Plod1	-0.25
Atf3	Polg2	-0.25
E2f1	Prdm1	0.25
Ep300	Prdm1	0.25
Sp4	Prdm1	0.25
Taf1	Prdm1	0.25
Yy1	Prdm1	0.25
E2f1	Rasa2	0.25
Ep300	Rasa2	0.25
Sp4	Rasa2	0.25
Taf1	Rasa2	0.25
Yy1	Rasa2	0.25
Atf3	Relt	-0.25
Hsf1	Relt	-0.25
Hsf2	Relt	-0.25
Atf3	Sh2d3c	-0.25
E2f1	Slc16a3	0.25
Ep300	Slc16a3	0.25
Sp4	Slc16a3	0.25
Taf1	Slc16a3	0.25
Yy1	Slc16a3	0.25
Ep300	Slc16a7	0.25
Foxa1	Slc16a7	0.25
Taf1	Slc16a7	0.25
Atf3	Slc36a1	-0.25
Ep300	Slc7a11	0.25
Foxa1	Slc7a11	0.25
Sp4	Slc7a11	0.25
Taf1	Slc7a11	0.25
Yy1	Slc7a11	0.25
E2f1	Smad3	0.25
Ep300	Smad3	0.25
Sp4	Smad3	0.25
Taf1	Smad3	0.25
Yy1	Smad3	0.25
E2f1	Spred1	0.25
Ep300	Spred1	0.25
Sp4	Spred1	0.25
Taf1	Spred1	0.25
Yy1	Spred1	0.25
E2f1	St7	0.25
Ep300	St7	0.25
Foxa1	St7	0.25
Sp4	St7	0.25
Taf1	St7	0.25
Yy1	St7	0.25
Ep300	Stat4	0.25
Sp4	Stat4	0.25
Taf1	Stat4	0.25
E2f1	Stk3	0.25
Ep300	Stk3	0.25
Sp4	Stk3	0.25
Taf1	Timp1	0.25
Yy1	Timp1	0.25
E2f1	Tmed5	0.25
Ep300	Tmed5	0.25
Sp4	Tmed5	0.25
Taf1	Tmed5	0.25
Yy1	Tmed5	0.25
E2f1	Trps1	0.25
Ep300	Trps1	0.25
Foxa1	Trps1	0.25
Sp4	Trps1	0.25
Taf1	Trps1	0.25
Yy1	Trps1	0.25
E2f1	Ubxn7	0.25
Ep300	Ubxn7	0.25
Foxa1	Ubxn7	0.25
Sp4	Ubxn7	0.25
Taf1	Ubxn7	0.25
Yy1	Ubxn7	0.25
E2f1	Vdr	0.25
Ep300	Vdr	0.25
Sp4	Vdr	0.25
Taf1	Vdr	0.25
Yy1	Vdr	0.25
E2f1	Zcchc11	0.25
Ep300	Zcchc11	0.25
Foxa1	Zcchc11	0.25
Sp4	Zcchc11	0.25
Taf1	Zcchc11	0.25
Yy1	Zcchc11	0.25
E2f1	Zswim6	0.25
Ep300	Zswim6	0.25
Sp4	Zswim6	0.25
Taf1	Zswim6	0.25
Yy1	Zswim6	0.25
