Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Hsf2	Atf3	-.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	7.82246018227e-06, 7.82246018227e-06, 0.0202429218542	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Ccl2	-.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	7.82246018227e-06, 7.82246018227e-06, 0.0202429218542	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Cd209a	-.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	7.82246018227e-06, 7.82246018227e-06, 0.0202429218542	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Cdt1	-.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	7.82246018227e-06, 7.82246018227e-06, 0.0202429218542	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Chordc1	-.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	7.82246018227e-06, 7.82246018227e-06, 0.0202429218542	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Cpm	-.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	7.82246018227e-06, 7.82246018227e-06, 0.0202429218542	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Dbf4	-.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	7.82246018227e-06, 7.82246018227e-06, 0.0202429218542	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Gpc6	-.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	7.82246018227e-06, 7.82246018227e-06, 0.0202429218542	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Gpr141	-.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	7.82246018227e-06, 7.82246018227e-06, 0.0202429218542	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Gpr68	-.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	7.82246018227e-06, 7.82246018227e-06, 0.0202429218542	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
