Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Foxj3	Abtb2	.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	5.28630266099e-05, 0.0288271337822, 0.156202658894, 0.156202658894, 0.397439369441, 0.397439369441, 0.520706569994, 0.520706569994, 0.530106975596, 0.530106975596, 0.623525772299, 0.832005639631, 0.898059153395, 0.898059153395	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19	Foxj3
Foxj3	Basp1	.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	5.28630266099e-05, 0.0288271337822, 0.156202658894, 0.156202658894, 0.397439369441, 0.397439369441, 0.520706569994, 0.520706569994, 0.530106975596, 0.530106975596, 0.623525772299, 0.832005639631, 0.898059153395, 0.898059153395	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19	Foxj3
Foxj3	Cish	.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	5.28630266099e-05, 0.0288271337822, 0.156202658894, 0.156202658894, 0.397439369441, 0.397439369441, 0.520706569994, 0.520706569994, 0.530106975596, 0.530106975596, 0.623525772299, 0.832005639631, 0.898059153395, 0.898059153395	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19	Foxj3
Foxj3	Cyth1	.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	5.28630266099e-05, 0.0288271337822, 0.156202658894, 0.156202658894, 0.397439369441, 0.397439369441, 0.520706569994, 0.520706569994, 0.530106975596, 0.530106975596, 0.623525772299, 0.832005639631, 0.898059153395, 0.898059153395	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19	Foxj3
Foxj3	F5	.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	5.28630266099e-05, 0.0288271337822, 0.156202658894, 0.156202658894, 0.397439369441, 0.397439369441, 0.520706569994, 0.520706569994, 0.530106975596, 0.530106975596, 0.623525772299, 0.832005639631, 0.898059153395, 0.898059153395	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19	Foxj3
Foxj3	Igj	.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	5.28630266099e-05, 0.0288271337822, 0.156202658894, 0.156202658894, 0.397439369441, 0.397439369441, 0.520706569994, 0.520706569994, 0.530106975596, 0.530106975596, 0.623525772299, 0.832005639631, 0.898059153395, 0.898059153395	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19	Foxj3
Foxj3	Lats2	.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	5.28630266099e-05, 0.0288271337822, 0.156202658894, 0.156202658894, 0.397439369441, 0.397439369441, 0.520706569994, 0.520706569994, 0.530106975596, 0.530106975596, 0.623525772299, 0.832005639631, 0.898059153395, 0.898059153395	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19	Foxj3
Foxj3	Map4k4	.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	5.28630266099e-05, 0.0288271337822, 0.156202658894, 0.156202658894, 0.397439369441, 0.397439369441, 0.520706569994, 0.520706569994, 0.530106975596, 0.530106975596, 0.623525772299, 0.832005639631, 0.898059153395, 0.898059153395	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19	Foxj3
Foxj3	Pkib	.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	5.28630266099e-05, 0.0288271337822, 0.156202658894, 0.156202658894, 0.397439369441, 0.397439369441, 0.520706569994, 0.520706569994, 0.530106975596, 0.530106975596, 0.623525772299, 0.832005639631, 0.898059153395, 0.898059153395	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19	Foxj3
Foxj3	Rnf157	.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	5.28630266099e-05, 0.0288271337822, 0.156202658894, 0.156202658894, 0.397439369441, 0.397439369441, 0.520706569994, 0.520706569994, 0.530106975596, 0.530106975596, 0.623525772299, 0.832005639631, 0.898059153395, 0.898059153395	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19	Foxj3
