Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Klf16	2210417A02Rik	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	AI846148	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Acoxl	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Afmid	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Agbl5	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Ankrd28	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Aptx	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Asap2	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	BC030307	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Bend4	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Cbwd1	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Cd320	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Cdt1	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Clcf1	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Cnnm2	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Crtc3	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	D3Ertd751e	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Dact3	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Dennd5b	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Dhx35	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Dtnbp1	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	E2f7	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Eaf2	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Egf	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Erg	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Fdps	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Gbe1	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Get4	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Gfod1	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Gnal	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Grap2	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Gzmm	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Habp4	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Hectd2	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Hemk1	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Hist1h2ag	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Kcp	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Kit	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Klf16	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Lin54	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Lpar2	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Lphn2	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Lrrc1	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Lrrc32	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Lrrc8b	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Mamld1	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Map4k4	.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	6.57490125066e-05, 6.57490125066e-05	E10880_hg19, M5412_1.01_hg19	Klf16
