	Bclaf1	Ctcf	E2f1	E2f4	E2f6	Egr1	Egr3	Ets1	Etv6	Fos	Gabpa	Irf1	Klf16	Klf4	Klf5	Klf7	Nfya	Nfyb	Nrf1	Setdb1	Smarcc2	Sp1	Sp2	Sp3	Sp4	Srf	Tbp
1110058l19rik	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	-0.25	0	0	0	-0.25	0
1110059g10rik	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500011b03rik	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
1700001g17rik	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
1810026j23rik	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	0
2210417a02rik	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
2510009e07rik	0	-0.25	0	0	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0
2810417h13rik	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0
4930427a07rik	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25
4930513n10rik	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0	0	0
4930594c11rik	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931414p19rik	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
6330407a03rik	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
6330416g13rik	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0
8430408g22rik	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
9130230l23rik	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0.25	0	0
9430015g10rik	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.75	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
9530082p21rik	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
9930104l06rik	0	-0.25	0	0	0	-0.25	0	-0.25	0	0	0	-0.25	0	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25
9930111j21rik1	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0
A930013f10rik	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aa388235	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0
Acad11	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.75	0	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
Acad9	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0
Acot7	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Acoxl	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Actr8	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Adam33	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0
Adamts2	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adat3	0	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25
Adck1	0	0	0	-0.25	0	-0.25	0	-0.25	0	0	0	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Adck5	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Adcy6	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adi1	-0.25	0	-0.25	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0
Adpgk	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	0
Afmid	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Agbl5	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Agpat4	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0	0	0
Ahrr	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Ahsa1	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0
Ai462493	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Ai467606	0	0	0	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.75	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25
Ai846148	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Akap8l	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Akr7a5	0	-0.25	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
Aldob	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amica1	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0
Ampd2	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Ankrd28	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Ankrd50	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Ankzf1	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0.25	0	0
Ano1	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Aoc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0
Apbb2	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0
Apex2	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0
