	Bclaf1	E2f4	Egr2	Elf2	Elk1	Ets1	Etv6	Fos	Foxp1	Gabpa	Hsf1	Irf1	Klf7	Nfe2l2	Nfya	Nfyb	Nrf1	Pbx3	Rfx5	Setdb1	Sp1	Sp2	Sp4	Stat1	Stat3	Tbp	Thap1	Ybx1	Yy1
2310061j03rik	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6330407a03rik	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A530032d15rik	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn1	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamtsl4	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0
Adora2a	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adss	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akt3	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcam	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alpk2	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amica1	0	0	0	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0	0	0	-0.25	0	-0.25	0	0	-0.25	0	0
Ankrd33b	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anln	-0.25	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25
Ap3m2	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Aph1c	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arap2	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap19	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25
Arhgap28	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef18	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0
Asb2	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	-0.25
Asf1b	-0.25	-0.25	0	0	-0.25	0	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25
Aspm	-0.25	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	-0.25
Atf3	0	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Aurkb	-0.25	-0.25	0	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25
B430306n03rik	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0
Banp	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25
Batf2	0	0	0	-0.25	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0
Bbs5	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bc017643	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25
Bc024978	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0
Braf	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btg2	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	-0.25
Btla	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calhm2	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catsperg1	-0.25	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25
