Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Junb	Agpat4	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Aig1	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Arhgap10	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Entpd1	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Etv1	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Fam129b	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Gfod1	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Hr	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Nr1d1	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Pcyt1b	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Phlpp1	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Pkib	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Prune2	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Rnf217	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Slc36a4	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Smad3	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Specc1l	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Ston2	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Syn1	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Junb	Tlr5	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000230233644116, 0.0863863363361, 0.384354972928	M0305_1.01_mm9, M2161_1.01_hg19, M4493_1.01_hg19, M6136_1.01_hg19	Junb
Hlx	Entpd1	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000763090060103	M0928_1.01_mm9, E10666_hg19, M0928_1.01_hg19	Hlx
Hlx	Pkib	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000763090060103	M0928_1.01_mm9, E10666_hg19, M0928_1.01_hg19	Hlx
Hlx	Smad3	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000763090060103	M0928_1.01_mm9, E10666_hg19, M0928_1.01_hg19	Hlx
Hlx	Stat4	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000763090060103	M0928_1.01_mm9, E10666_hg19, M0928_1.01_hg19	Hlx
Hlx	Tlr5	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000763090060103	M0928_1.01_mm9, E10666_hg19, M0928_1.01_hg19	Hlx
Fos	Acsf2	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000261251551242, 0.0276303495017, 0.036739042757, 0.0500414687265, 0.0987302355418, 0.0987302355418, 0.164377788279, 0.662965114226, 0.726964417267, 0.913841208412, 0.924760561231	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19	Fos
Fos	Agpat4	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000261251551242, 0.0276303495017, 0.036739042757, 0.0500414687265, 0.0987302355418, 0.0987302355418, 0.164377788279, 0.662965114226, 0.726964417267, 0.913841208412, 0.924760561231	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19	Fos
Fos	Aig1	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000261251551242, 0.0276303495017, 0.036739042757, 0.0500414687265, 0.0987302355418, 0.0987302355418, 0.164377788279, 0.662965114226, 0.726964417267, 0.913841208412, 0.924760561231	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19	Fos
Fos	Arhgap10	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000261251551242, 0.0276303495017, 0.036739042757, 0.0500414687265, 0.0987302355418, 0.0987302355418, 0.164377788279, 0.662965114226, 0.726964417267, 0.913841208412, 0.924760561231	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19	Fos
Fos	Asap2	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000261251551242, 0.0276303495017, 0.036739042757, 0.0500414687265, 0.0987302355418, 0.0987302355418, 0.164377788279, 0.662965114226, 0.726964417267, 0.913841208412, 0.924760561231	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19	Fos
Fos	Camk1	.25	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	0.000261251551242, 0.0276303495017, 0.036739042757, 0.0500414687265, 0.0987302355418, 0.0987302355418, 0.164377788279, 0.662965114226, 0.726964417267, 0.913841208412, 0.924760561231	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19	Fos
