Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Atf3	5730508B09Rik	.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	0.000261293200549, 0.0166258316433, 0.0286709655727, 0.0846875471853, 0.116891434114, 0.26370071934, 0.365633278157, 0.376532224378, 0.40457914832, 0.469039214286, 0.484983765089, 0.658076952537, 0.840623220845	M0291_1.01_mm9, M0292_1.01_mm9, E10052_hg19, E10053_hg19, E10054_hg19, E10055_hg19, E10056_hg19, E10057_hg19, E10058_hg19, M4321_1.01_hg19, M4370_1.01_hg19, M4422_1.01_hg19, M4467_1.01_hg19, M5972_1.01_hg19	Atf3
Atf3	9130230L23Rik	.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	0.000261293200549, 0.0166258316433, 0.0286709655727, 0.0846875471853, 0.116891434114, 0.26370071934, 0.365633278157, 0.376532224378, 0.40457914832, 0.469039214286, 0.484983765089, 0.658076952537, 0.840623220845	M0291_1.01_mm9, M0292_1.01_mm9, E10052_hg19, E10053_hg19, E10054_hg19, E10055_hg19, E10056_hg19, E10057_hg19, E10058_hg19, M4321_1.01_hg19, M4370_1.01_hg19, M4422_1.01_hg19, M4467_1.01_hg19, M5972_1.01_hg19	Atf3
Atf3	A530054K11Rik	.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	0.000261293200549, 0.0166258316433, 0.0286709655727, 0.0846875471853, 0.116891434114, 0.26370071934, 0.365633278157, 0.376532224378, 0.40457914832, 0.469039214286, 0.484983765089, 0.658076952537, 0.840623220845	M0291_1.01_mm9, M0292_1.01_mm9, E10052_hg19, E10053_hg19, E10054_hg19, E10055_hg19, E10056_hg19, E10057_hg19, E10058_hg19, M4321_1.01_hg19, M4370_1.01_hg19, M4422_1.01_hg19, M4467_1.01_hg19, M5972_1.01_hg19	Atf3
Atf3	Acvr2a	.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	0.000261293200549, 0.0166258316433, 0.0286709655727, 0.0846875471853, 0.116891434114, 0.26370071934, 0.365633278157, 0.376532224378, 0.40457914832, 0.469039214286, 0.484983765089, 0.658076952537, 0.840623220845	M0291_1.01_mm9, M0292_1.01_mm9, E10052_hg19, E10053_hg19, E10054_hg19, E10055_hg19, E10056_hg19, E10057_hg19, E10058_hg19, M4321_1.01_hg19, M4370_1.01_hg19, M4422_1.01_hg19, M4467_1.01_hg19, M5972_1.01_hg19	Atf3
Atf3	Adamts6	.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	0.000261293200549, 0.0166258316433, 0.0286709655727, 0.0846875471853, 0.116891434114, 0.26370071934, 0.365633278157, 0.376532224378, 0.40457914832, 0.469039214286, 0.484983765089, 0.658076952537, 0.840623220845	M0291_1.01_mm9, M0292_1.01_mm9, E10052_hg19, E10053_hg19, E10054_hg19, E10055_hg19, E10056_hg19, E10057_hg19, E10058_hg19, M4321_1.01_hg19, M4370_1.01_hg19, M4422_1.01_hg19, M4467_1.01_hg19, M5972_1.01_hg19	Atf3
Atf3	Adss	.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	0.000261293200549, 0.0166258316433, 0.0286709655727, 0.0846875471853, 0.116891434114, 0.26370071934, 0.365633278157, 0.376532224378, 0.40457914832, 0.469039214286, 0.484983765089, 0.658076952537, 0.840623220845	M0291_1.01_mm9, M0292_1.01_mm9, E10052_hg19, E10053_hg19, E10054_hg19, E10055_hg19, E10056_hg19, E10057_hg19, E10058_hg19, M4321_1.01_hg19, M4370_1.01_hg19, M4422_1.01_hg19, M4467_1.01_hg19, M5972_1.01_hg19	Atf3
Atf3	Agrn	.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	0.000261293200549, 0.0166258316433, 0.0286709655727, 0.0846875471853, 0.116891434114, 0.26370071934, 0.365633278157, 0.376532224378, 0.40457914832, 0.469039214286, 0.484983765089, 0.658076952537, 0.840623220845	M0291_1.01_mm9, M0292_1.01_mm9, E10052_hg19, E10053_hg19, E10054_hg19, E10055_hg19, E10056_hg19, E10057_hg19, E10058_hg19, M4321_1.01_hg19, M4370_1.01_hg19, M4422_1.01_hg19, M4467_1.01_hg19, M5972_1.01_hg19	Atf3
Atf3	Alpk2	.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	0.000261293200549, 0.0166258316433, 0.0286709655727, 0.0846875471853, 0.116891434114, 0.26370071934, 0.365633278157, 0.376532224378, 0.40457914832, 0.469039214286, 0.484983765089, 0.658076952537, 0.840623220845	M0291_1.01_mm9, M0292_1.01_mm9, E10052_hg19, E10053_hg19, E10054_hg19, E10055_hg19, E10056_hg19, E10057_hg19, E10058_hg19, M4321_1.01_hg19, M4370_1.01_hg19, M4422_1.01_hg19, M4467_1.01_hg19, M5972_1.01_hg19	Atf3
Atf3	Appl1	.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	0.000261293200549, 0.0166258316433, 0.0286709655727, 0.0846875471853, 0.116891434114, 0.26370071934, 0.365633278157, 0.376532224378, 0.40457914832, 0.469039214286, 0.484983765089, 0.658076952537, 0.840623220845	M0291_1.01_mm9, M0292_1.01_mm9, E10052_hg19, E10053_hg19, E10054_hg19, E10055_hg19, E10056_hg19, E10057_hg19, E10058_hg19, M4321_1.01_hg19, M4370_1.01_hg19, M4422_1.01_hg19, M4467_1.01_hg19, M5972_1.01_hg19	Atf3
Atf3	Arap2	.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	0.000261293200549, 0.0166258316433, 0.0286709655727, 0.0846875471853, 0.116891434114, 0.26370071934, 0.365633278157, 0.376532224378, 0.40457914832, 0.469039214286, 0.484983765089, 0.658076952537, 0.840623220845	M0291_1.01_mm9, M0292_1.01_mm9, E10052_hg19, E10053_hg19, E10054_hg19, E10055_hg19, E10056_hg19, E10057_hg19, E10058_hg19, M4321_1.01_hg19, M4370_1.01_hg19, M4422_1.01_hg19, M4467_1.01_hg19, M5972_1.01_hg19	Atf3
