Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Stat3	Abcg1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Ahsa1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Asb2	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Atf3	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Bcl6	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Btg2	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Ccl3	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Chordc1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Cpm	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Dnajb1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Egr1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Fkbp4	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Fos	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Hip1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Hspa1a	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
Stat3	Hspa8	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	0.000505491987912, 0.0197799011322, 0.379817877039, 0.398230296724, 0.465831820312, 0.543936037848, 0.629732119918, 0.629732119918, 0.643824352868, 0.643824352868, 0.75448339053, 0.763464986561, 0.819205198738, 0.993421442866	M5949_1.01_mm9, E11734_hg19, E11735_hg19, E11736_hg19, E11737_hg19, E11738_hg19, E11739_hg19, E11740_hg19, E11741_hg19, M1831_1.01_hg19, M3844_1.01_hg19, M3845_1.01_hg19, M4348_1.01_hg19, M4418_1.01_hg19, M4511_1.01_hg19, M4512_1.01_hg19, M6314_1.01_hg19	Stat3
