Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Klf16	1500011B03Rik	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	1700001G17Rik	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	4931414P19Rik	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	9430015G10Rik	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	AI462493	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	AI467606	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Acad11	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Acot7	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Adck1	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Adck5	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Ahrr	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Akap8l	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Ampd2	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Arhgef10	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Arid3b	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Arl6	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
Klf16	Atf3	-.5	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	7.17123781813e-06, 7.17123781813e-06	E10880_hg19, M5412_1.01_hg19	Klf16
