		GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_down	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up
		12	10	7	17	5	58	9	7	8	61	23	48
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC1_FDR10_down	30	15	2	5	2	0	3	0	2	0	1	0	3
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC1_FDR10_up	44	0	6	0	5	0	5	0	5	0	7	5	13
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC1_FDR10_down	5	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC1_FDR10_down	8	0	0	0	0	0	0	0	0	1	0	0	0
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC1_FDR10_up	0	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC1_FDR10_down	3	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC1_FDR10_up	3	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC1_FDR10_down	15	0	0	2	1	4	1	0	0	1	4	2	2
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC1_FDR10_up	146	8	2	3	5	8	8	0	0	10	5	7	1
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC1_FDR10_down	44	1	0	4	2	5	0	0	2	2	1	0	2
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC1_FDR10_up	20	0	0	2	0	0	0	0	0	0	0	0	0
