	Hh_v_GF_CD11b-CD103-	Hh_v_GF_CD11b-CD103+	Hh_v_GF_CD11b+CD103-	Hh_v_GF_CD11b+CD103+	Hh_v_GF_Monocyte	Hh_v_GF_Macrophage
A1cf	0.00316025022781	-0.253512139817	0.262527298382	-0.780723114452	-0.000897563472189	-0.0669180986761
A2m	0.00144115945048	0.00431218140326	0.102700400394	0.000611523172573	0.0964031162864	-0.0918779591467
A3galt2	0.15593173471	0.809082798339	-0.939453144791	0.892608168663	0.334296130613	-0.545396547824
A4galt	0.149745436067	0.360151525109	0.535262229143	-0.194571473825	0.742018886702	-0.182014000282
A4gnt	0.0054665786328	0.000805375979832	0.01439083114	7.52096951462e-05	-0.00764558689364	0.000460149711755
Aaas	0.4280508433	-0.260528239997	-0.21395732475	-0.303650670685	1.00378819277	0.709691440098
Aacs	0.0674619804409	0.801652051794	-0.244706057776	-0.910802688697	-0.507867130481	-0.359713335045
Aadac	0.000132902004665	0.000247351612204	9.33007296529e-05	-0.0522531086138	-4.65337276754e-05	0.00025628421778
Aadacl3	0.0026261089184	0.00431218140326	0.00163377810255	0.000611523172573	-0.00126389379534	0.00447403019936
Aadat	-0.352374355593	0.000730826823725	0.000286468325634	0.000124716784823	-0.000213014031478	-0.0676351746427
Aaed1	-0.135035012245	-0.138582406511	0.135498456158	-0.840508285141	0.412096674325	-0.385687801759
Aagab	-0.207014441313	-0.0495099664189	0.769849722317	0.407060352398	0.0329457232878	-0.0720109102439
Aak1	-0.12737151201	-0.142571809998	-0.101754703322	0.42084950081	0.160086001315	-0.255827107805
Aamdc	-0.276889468085	-0.16406822111	0.632880840324	-0.345512089062	1.04053035013	0.178181756264
Aamp	0.148673342095	0.190754855104	-0.463062966099	0.205982030896	-0.0901784142133	0.140894649095
Aanat	0.967900623682	-0.612167825518	0.254717170051	-0.371591981723	1.6700825991	0.108504676448
Aar2	-0.0499106511706	0.185831653202	-0.453691569609	-0.112568176969	0.246297443017	0.494647020973
Aard	0.0950106676743	-1.06494935524	1.09569573344	-0.216404685062	-0.619072916425	-0.535573332233
Aars	0.272499408596	0.633748399281	0.175538958104	0.313585833239	0.379190577639	0.123715838388
Aars2	-0.434426048374	-0.429001048673	0.0881639523734	0.0519910524686	1.76862989083	0.242328793526
Aarsd1	-0.0166464059051	-0.192492008153	0.257867807008	0.226494820254	0.858539203453	0.545315970993
Aasdh	-0.105024713108	0.267663217826	-0.758204214673	-0.220939926184	-0.132636176895	-0.331945147574
Aasdhppt	0.335980032203	-0.0346095663043	0.824580815152	0.285495404624	-0.699186875212	0.159043131501
Aass	0.000229700606868	0.0971490660495	-0.0497316647445	7.86400155456e-05	-0.000126676948008	-0.223040010615
Aatf	0.0723865875714	-0.0780309964806	-0.281157289229	0.23594339086	-0.525099332392	0.0527231496866
Aatk	-0.981174814494	-0.22856991636	0.0272111272868	-0.281361813224	0.49104951294	0.0166765243549
Abat	-0.709135471602	0.145247828974	0.413335989406	-1.21298172472	0.0468500791516	-0.797231669441
Abca1	-0.481766886328	0.60266651396	-0.0466396413894	-0.00536022310953	-0.0731151505474	-0.0813776260742
Abca12	-0.0283522453886	0.164099093583	0.0195063930033	2.68687153671e-05	-0.193595231499	-0.0567306230497
Abca13	0.849027531796	0.277842799258	0.545833787065	0.867277450467	-1.42411429023	0.0307064380158
Abca14	0.00020592786096	0.000389016797742	0.000154340279851	6.03832530634e-05	-0.000113932723623	0.0213178585342
Abca15	0.000867617736537	0.101094260162	0.00163377810255	0.000101437221128	-0.000759407991349	-0.0801369430946
Abca16	0.000249285287755	0.000468195982803	0.000185364652691	8.00507581734e-05	-0.284723101266	-0.0799242616696
Abca17	-0.0325298788489	-0.827575846704	-0.123901434287	0.336189130527	-0.428572838052	-1.06702532234
Abca2	0.315035005505	0.0587272970634	0.256801795326	0.595223653367	0.366329891388	0.565830081616
Abca3	0.112417388653	0.0662566881983	0.127051879269	0.476313268952	0.159964906266	0.264756752415
Abca4	0.448608268589	0.221752188649	0.0621015770202	-0.178093416169	0.476516862738	0.219985878814
Abca5	-0.0579458756911	-0.0641361690364	0.659844014309	-0.802044382886	-0.737348213188	-1.44038824249
Abca6	0.483695134702	-0.0413189017496	-0.448853946979	-1.66573845289	-0.29360540757	-0.484037677872
Abca7	0.166489942782	-0.0127329050491	0.517312395639	-0.151883607394	0.704480201925	-0.0771711090617
Abca8a	-2.13029191696	-1.1344276742	-0.28308455153	-0.236860706861	-0.663956983688	-1.01317537551
Abca8b	-1.15754326548	-0.625797479172	-1.3782109789	-0.227428411896	-0.212677802548	0.307763729065
Abca9	-0.57073927177	-0.973348430149	-0.490963998316	-1.9512244631	-1.20674673701	-0.430279447179
Abcb10	-0.770761990658	-0.525592147871	-0.453208355885	0.204482040209	-0.207035559298	0.147706445225
Abcb11	0.0662028657352	0.0219861109647	7.39725190118e-05	0.0907099498587	-5.99848447004e-05	-0.0994108152944
Abcb1a	0.562469579559	-0.138935538152	0.694753217194	0.51877330458	-0.0407435005962	0.101086339309
Abcb1b	0.408491838354	-0.305345382965	-0.0914517129561	-0.0394264860045	-0.638943630233	-0.349963956715
Abcb4	0.486892949123	1.66441159166	0.615399177176	0.365006438009	0.258036349555	-0.0915624406634
Abcb5	-0.147666126407	0.000419387987497	-0.0481960352908	6.20319506825e-05	-0.000114509188536	-0.0406551680054
