	Hh_v_GF_CD11b-CD103-	Hh_v_GF_CD11b-CD103+	Hh_v_GF_CD11b+CD103-	Hh_v_GF_CD11b+CD103+	Hh_v_GF_Monocyte	Hh_v_GF_Macrophage
Zfp648	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Zfy2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Aadacl3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Zfp616	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Zfp572	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Zfp474	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Zbtb8b	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Wnt7a	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Wfdc9	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Wbscr28	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vtcn1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vsx2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r98	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r82	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r7	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Akr1b3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r66	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r63	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r56	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r55	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r37	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r32	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r23	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r15	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r13	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r124	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r121	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r12	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r114	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r113	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r111	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn2r108	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Akr1c6	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Akr1d1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r66	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r63	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r60	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r52	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r5	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r42	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r35	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r236	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r231	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r224	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r214	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r193	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r184	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r180	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r13	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r123	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r121	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Arx	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Vmn1r11	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
