	Hh_v_GF_CD11b-CD103-	Hh_v_GF_CD11b-CD103+	Hh_v_GF_CD11b+CD103-	Hh_v_GF_CD11b+CD103+	Hh_v_GF_Monocyte	Hh_v_GF_Macrophage
Gpr124	 -0.36026	-0.071697	 0.060757	 -0.05188	   1.0978	 -0.14208
Ptprn	 -0.37054	-0.060617	 0.098481	-0.042155	   1.0316	 -0.13082
Pls3	  -0.27726	0.00021214	   0.27435	  -0.24531	    1.1959	  -0.27032
Taf6l	 -0.22372	-0.062378	  0.21142	 -0.16306	   1.2739	-0.090002
Nxpe2	  -0.24242	  -0.15649	   0.15625	  -0.36681	    1.0212	-0.0098192
Rhbdd3	   -0.4667	-0.0077556	   0.15235	  -0.27493	     1.078	  0.023525
Chst14	  -0.24391	  -0.23273	   0.37082	-0.0030854	    1.0609	  -0.17803
Mir3474	-0.28291	-0.16188	 0.32073	-0.13312	  1.1261	-0.45771
Dus1l	 -0.24676	  0.11996	 -0.14078	-0.090989	   1.2451	 0.052017
Spsb1	-0.25196	0.042056	-0.11618	0.033927	  1.0337	0.056102
Sytl2	 -0.24701	-0.076363	 -0.25424	 -0.23459	   1.1574	 0.025216
Etnk2	  -0.04084	-0.0054606	 -0.018115	     -0.37	    1.2114	  0.022134
Xpnpep2	 -0.25363	 0.010731	0.0027312	 -0.45425	   1.1435	 0.054976
Rpusd2	 -0.10983	-0.027244	 -0.17271	 -0.38253	   1.4607	  0.12199
Smim8	 -0.16223	     -0.1	 -0.18108	 -0.31911	   1.4367	-0.037556
Alox12	   0.2558	  0.18459	-0.076822	  0.25508	   1.2818	 -0.15717
Mtif3	0.023665	 0.14523	 -0.1447	 0.24937	   1.209	-0.10822
Pde4c	0.0020336	  0.27459	0.0096491	   0.1776	   1.2154	 -0.23608
Lepre1	 0.11189	0.076441	 0.14551	 0.29716	  1.2216	-0.36164
Gm11166	  0.14569	 0.033798	 0.011218	0.0018161	   1.0101	  -0.3395
S100a9	0.055223	0.028936	0.010907	0.004216	  1.1413	-0.26809
Gpr98	 0.010392	 -0.14371	0.0064765	0.0020843	   1.1278	-0.061106
Ap5z1	 -0.33556	 -0.14827	-0.074096	 0.061019	    1.277	 -0.54831
Nckap5l	 -0.3395	-0.22569	-0.11214	 0.25906	  1.3714	-0.30091
Cinp	 -0.31815	-0.033149	 -0.21836	 0.091239	   1.0623	 -0.23604
Rasal2	-0.14245	 0.13561	-0.17366	 0.24096	  1.2496	-0.39704
Ccnb1	  -0.1817	 -0.28448	 0.048969	  0.30549	   1.2872	-0.023732
Foxm1	 -0.14489	  -0.2236	 -0.29539	0.0061666	   1.2228	 -0.15151
Ncaph	-0.028091	 -0.22818	  -0.2672	  0.14642	   1.3877	-0.082102
Aamdc	-0.27689	-0.16407	 0.63288	-0.34551	  1.0405	 0.17818
Arpc5l	-0.048231	 -0.11681	  0.54299	 -0.16535	   1.1184	 0.088422
Hes6	-0.40033	-0.24219	   0.368	0.029295	  1.4447	 0.10287
Hmbs	-0.15488	0.088418	 0.36999	-0.19069	  1.4186	0.053424
Prkra	-0.041902	-0.046498	  0.44148	  -0.2038	   1.5378	  0.02215
Cd200	0.063174	0.098189	 0.59505	0.003366	  1.4291	-0.13615
Cd209g	 0.013704	 0.023803	  0.80848	0.0028263	   1.4698	 -0.25625
Grk4	 0.19384	 0.28321	 0.39944	-0.11483	  1.6068	-0.24013
Ankrd42	 -0.38044	-0.071078	   0.4809	  -0.4686	   1.1777	 -0.32606
Fanci	-0.27905	0.019774	 0.65634	-0.26615	  1.2097	 -0.2132
Wdr38	-0.48717	 0.13585	 0.71707	-0.48793	  1.0542	-0.14237
Rhot2	-0.17259	 -0.1108	 0.27043	-0.62148	  1.0376	 -0.2972
Acad11	   0.205	 0.41776	-0.11919	-0.13253	  1.0772	 0.33521
Aldh7a1	 0.16145	 0.57939	-0.16402	0.017741	  1.2399	 0.49133
