	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage	SFB_v_GF_CCR6-ILC3	SFB_v_GF_CCR6+ILC3	SFB_v_GF_SCA+CCR6+ILC3	DKO_v_JAX_3day_CCR6-ILC3	DKO_v_JAX_3day_CCR6+ILC3	DKO_v_JAX_eday_SCA+CCR6+ILC3
A1bg	0	0	0	0	0	0	0.800143285886	-0.769588105287	0.482754994069	-0.596700478164	-0.872922074702	0.0211487349229
A1cf	-0.818116012735	-0.835657537502	-0.816661427868	-0.689562532321	-0.551054150971	-0.544236240571	-0.000342250376638	0.00072363215436	0.064327637333	-0.0548309803371	1.78875457752	-0.081893315634
A2m	-0.00525478904841	-0.00131301085991	-0.000157292465845	-0.000620742979262	-0.0019452498389	-0.00234778184865	0.017656788187	0.0235570215654	0.0180736550077	0.000109530968489	1.56516192971	4.43603370161e-05
A3galt2	0.728952716391	0.229789886992	1.20325908787	0.448459183055	0.785900190875	0.922247900591	-0.566804136308	-2.11003895787	-0.821039545314	-0.31002226053	1.41491028829	-0.0121499562762
A4galt	0.74994451955	0.226249401465	0.790998999882	0.611026995883	-0.360063582514	0.0577757049537	-0.0209984761954	3.20619030762	0.377161020565	-0.131794151195	0.374599862712	-0.26294988785
A4gnt	0.227954111459	0.064633895368	0.11600248433	0.525179672495	-0.121566580564	0.522496159146	-0.00255188219415	0.00542350081663	0.603963005162	0.000986015180744	0.735277769032	0.130866218234
Aaas	-0.126465591581	-0.671951608435	-0.122654022195	-0.300070516206	-0.464143536397	-0.47874858146	-0.268173594061	0.217011041016	-0.205275895416	-0.0990004852344	-1.75955302752	0.274009927158
Aacs	-0.0542861403118	0.599024517226	-0.585048253928	-0.182949099153	-0.634769929526	0.051969973435	-0.159952942887	0.7134042019	0.0151739300212	0.0366966245841	-2.06666910712	0.0840945672355
Aadac	-0.396554055836	-0.39650928488	-0.396323980921	-0.396718440989	-0.39689224038	-0.396371074327	-0.00453789927553	0.0097120728892	0.00496451448332	0.00185166232922	1.00463904309	0.266113790539
Aadacl2	0	0	0	0	0	0	-0.0128493398661	0.0280106367363	0.0152056785591	0.00588236538114	0.738018182602	0.001271743349
Aadacl3	-0.136755868622	-0.138566969024	-0.131711893541	-0.137874701144	-0.133575803075	-0.134017138006	-0.00179535377412	0.00380826030023	0.509993412518	0.00068235095623	0.766487636623	0.000280732217139
Aadat	0.104871951871	0.106603920359	0.107361440676	0.106752860868	0.106979656719	0.187628767929	-0.000752816472598	0.163307334865	0.272783954814	0.000280283645507	1.12578093717	0.036182965758
Aaed1	0.507173329129	-0.388233878166	-0.23712073977	0.302488660269	0.47836289442	0.31001140038	-0.264711176251	-2.26065537701	0.146529966312	0.0204300041357	0.434428555609	0.12344959831
Aagab	-0.272993380038	-0.124754455469	-0.211441151523	-0.484166910743	0.124569143158	-0.533335787652	-0.072011080175	-0.940184359852	-0.164823166283	-0.476280359452	0.4112287603	-0.505719102174
Aak1	-0.0845707066534	-0.0106830044811	-0.322261320627	-0.287877718953	-0.106289703225	-0.485856649474	-0.153698142171	-0.861391582521	-0.169173255727	0.0390097180824	-1.05853296702	0.00501386263329
Aamdc	0.27309644083	-0.0989074675767	0.162894789366	0.0109522793923	-0.0562327315192	-0.08941101498	0.0104943978438	-1.4236692633	0.0741169060459	0.326692534724	1.85616955485	0.0815831654296
Aamp	-0.247857565342	0.150864235675	-0.0174517838686	0.160242487192	0.577368145352	0.123114423412	0.0475152305678	0.540589252289	0.537039502268	-0.440439668361	-1.86293440094	0.0326250916423
Aanat	0.591241912809	0.873636351041	1.20367452307	0.35338671293	1.05179466124	0.934514496531	-0.00184884540314	0.00391761544577	0.85106611934	-0.188119937527	0.427119368384	0.132261621457
Aar2	0.0232543745283	0.742205945192	-0.121971626429	0.39062306438	0.460137720796	0.0632616879164	0.608815389842	-0.926824954266	0.88645706607	0.346734901059	-1.23625333573	0.109646990385
Aard	0.291706449111	0.0274720914781	0.0372859235821	0.042688889595	0.0203990575134	0.217030193042	-0.00202542151306	0.00429868698986	1.15039286229	0.000773534020903	0.359513530454	0.000319097783059
Aars	-0.0840780083889	0.251369824614	0.0253489236843	-0.00430431381981	0.388238933461	-0.0287461476652	0.496710077131	0.772115923136	0.155480347936	0.0117877269555	0.228817628638	0.197733918099
Aars2	-0.894141506117	-0.849461730392	0.0140992126085	0.26652881837	-0.281533276626	-0.555342157192	0.404371779417	1.12654065556	-0.763152031633	1.19227701268	-0.608397183883	-0.253627595424
Aarsd1	-0.0239769308568	-0.0297740570352	0.235810350534	-0.0665560439102	0.389431576317	0.250251537507	0.869729470381	-0.236743501956	-0.16179480515	0.317366260623	0.812973085455	0.32530059449
Aasdh	-0.485270167788	-0.655090276002	0.460148658468	-0.454466066433	0.619249827943	-0.177670639266	-0.647384182854	-1.10309245174	1.15465246727	0.26574269791	-1.64975439311	0.594397842775
Aasdhppt	0.438799125443	0.31960981481	1.01467539028	0.250460918999	0.617536862432	0.728964662745	-1.10677107245	-0.758738791979	0.193246690513	0.0361530600902	1.84505193332	0.635599848023
Aass	-0.0300614483989	-0.0302234793023	-0.0296489562112	-0.0298410714041	-0.0297041229437	0.000239582989861	0.232409767231	0.00126624761744	0.0184225430418	-0.204757606164	-0.652927927832	0.0415817930047
Aatf	-0.231347179973	-0.178251351806	-0.12222668103	-0.325550271268	-0.42282291952	-0.311661148637	0.58557775573	-0.224653978885	-0.052632683902	0.3791078532	0.337843280553	0.418517898169
Aatk	0.425850786781	-0.837624475506	0.655697465479	-0.43297595605	1.48463592482	0.981498843838	0.357119822335	-1.30278434845	0.671763676934	0.308509742104	1.73808965268	0.545107875646
Abat	-0.658654628554	0.0865298744328	-0.755926609947	-0.267075296256	-0.789247963027	0.00734218475409	-1.65344548808	-0.43085113156	0.348404023451	-0.0526478488337	2.02373378158	-0.72517408958
Abca1	0.79033899529	-0.0916943508257	0.562321639096	-0.228853531526	0.980902763643	0.736716602627	0.361735380261	0.141945671246	0.730842558547	-0.434643442546	-0.506616203284	-0.808012500435
Abca12	0.029552108814	0.0294332482181	0.0297829160072	0.0295594426016	0.0294928605022	0.0296294133556	0.0120797382485	0.000697478188052	0.195369972716	-0.107849158972	1.49242942954	0.0742471573044
Abca13	0.51855694727	0.181411550821	0.290502895841	-0.500635883248	0.80362433965	0.66915498593	-0.160846526259	0.00168474719974	0.197460658294	-0.0701390104269	0.625431987017	-0.0870073332173
Abca14	-0.132448382811	-0.132330221294	-0.131910959544	-0.132615808322	-0.132126422191	-0.0193128001822	-0.000241066246976	0.179635533501	0.0870681149096	8.88377483656e-05	1.70515780491	0.0090537564372
Abca15	-0.191071305453	-0.19198374119	-0.186027127016	-0.192948097075	-0.187946432312	-0.190723550549	0.0174726048597	0.000407086025763	0.180050147078	7.09146887142e-05	-0.45703145953	-0.00664625419079
Abca16	-0.0625630435604	-0.0624214742896	-0.0619201614181	-0.0624937180882	-0.0632916018566	-0.0626643531214	0.0506420309799	0.523567047194	0.000525237610724	0.00203923614849	1.36057580044	7.9061490516e-05
Abca17	-0.242237880631	0.122292281668	0.360451994868	0.0588025649771	-1.33397544822	-1.04543375879	0.120076295413	-0.104798910429	0.0424283627154	0.000164852552664	1.73290470289	0.033378699889
Abca2	0.20334039394	-0.274147150143	-0.175540089779	-0.26273845386	-0.00785443384644	0.20951092544	0.131192603328	-0.0698774584156	-0.500867592357	0.0708354931715	0.0330263689121	0.108985315765
Abca3	-0.328398971058	-0.498133919415	-0.607005319657	-0.141335861721	-0.0369421802885	-0.118549667549	-0.445119942804	0.111917611262	-0.389288967378	-0.0941499396635	1.26037339421	-0.20643289832
Abca4	0.506324777908	0.505391044524	0.587950426212	0.508573011644	0.865121291875	0.507856224165	0.393911799402	0.252143755222	0.380907879816	0.0176718754227	2.41020741376	-0.0900270965826
Abca5	0.404965364962	0.547993836398	-0.418728557089	-0.0154465957612	0.099893604413	0.108417354671	-0.1342442873	0.0369253234447	0.351375756709	0.24632990832	0.779373016043	0.0149930574913
Abca6	0.57726402193	-0.870603888664	-0.999252920695	-0.86504675691	0.407094626309	0.724304706856	0.388280857133	-0.116929647698	-0.48434819316	0.000908801161256	1.8951930597	0.374763718966
Abca7	-0.438338800794	-0.344609754592	-0.386733178099	-0.388034522488	0.185903858298	-0.424563352642	-0.0149711897139	-0.136962268222	-0.167763322999	0.0355062647472	-0.0444718439375	0.664167979415
Abca8a	-0.820073297179	-0.862577191926	0.0414901374487	-0.47836741271	-0.317739655246	-0.148095994535	0.251164636289	-0.00885833595332	0.353180082781	0.0106661422815	1.54733954828	-0.116833426239
Abca8b	0.942209201305	0.600954367506	0.633643704363	0.596992474516	1.07770302462	0.548950718341	0.150885331472	0.000897294713094	0.304041225295	0.000156442997978	-0.82178485689	-0.521407432905
Abca9	0.355341050792	-2.63744717936	-0.285471892515	-0.641967774834	-0.237828897138	-0.155376351845	0.280121953861	0.422313597911	0.149006349659	-0.28672708761	2.26030046121	0.0860337262887
Abcb10	-0.248586678332	-0.0601641981092	-0.723160912167	0.0426786833282	-0.183718199927	-0.604949418867	0.114900551753	-1.362085596	0.423767823496	-0.131158034476	1.48433744673	-0.180345985235
Abcb11	-0.0811053573312	-0.128042972333	-0.127790229807	-0.127985247182	-0.127784235467	-0.127960989212	0.138939433729	0.0013040494239	0.256143398738	0.000228895508633	1.20917264104	9.29946000548e-05
Abcb1a	0.561254223652	-0.197268144909	0.194204999373	0.297907575965	0.1203580656	0.643553651107	0.539327299732	0.422464870503	0.32699903505	0.0234125246241	-0.509597568141	-0.0708460247968
Abcb1b	0.620078705674	0.427156118105	0.477804682392	0.175028125275	0.735098426976	0.676994631263	0.250470963242	0.284149048303	0.500063393946	0.0474792051921	0.572918094229	0.295043715524
Abcb4	0.286844106984	-0.204589404303	0.0918895368939	-0.437789100454	0.0478807795038	-0.0153673592548	0.179583220721	-2.46408354115	0.606406224231	-0.468362391238	1.19682119921	0.281323604862
Abcb5	-0.141343354581	-0.14061564043	-0.14033728822	-0.141023311407	-0.0857647975312	-0.140575768976	-0.0823279404871	0.000835327068119	0.0904421071862	0.000146085153186	1.3493174899	0.105488597729
Abcb6	0.319456564546	-0.23760150337	-0.281165167387	-0.881577377217	-1.10628374334	-0.38438576725	-0.358448813367	-0.342944021048	-0.916785008192	-0.827123028928	2.20175585527	-0.869119329203
Abcb7	0.349233486102	0.207045925302	0.340591356578	0.204941549901	0.259325490547	0.183997588332	-0.291351940587	0.205037272225	-0.327265506438	0.388980902957	-0.730793614112	0.164566789386
Abcb8	0.219608519958	0.39557719699	0.436945024499	-0.108626902391	-0.471149369567	-0.16510887088	-0.210323937731	-2.04928450281	-1.27793012103	0.376354824632	0.182568474131	0.0491554295645
Abcb9	-0.453388808787	-0.678107521383	-0.437092806193	-0.650003843876	-0.560629643688	-0.330148319699	-0.739749463724	-2.55214485576	-0.43630868232	-0.0348517735183	-0.146226760003	0.0158856498199
Abcc1	-0.216285060465	-0.079553907878	0.122131443658	-0.124138120595	0.140584813051	0.0505140634452	0.302965594651	0.793403778768	0.831114789576	-0.158050966623	-0.652744452005	0.165312370122
Abcc10	-0.981375682159	-0.996404139078	-0.321856529836	-0.495741233809	-0.128790318542	-0.283999542084	0.68473140839	1.17351292077	0.0405482734007	0.0015272541554	0.83819440003	0.516480044371
Abcc12	-0.277133207143	-0.27724212979	-0.277737889497	-0.143985286028	-0.276621633901	-0.276689433934	0.694877919888	0.00061153469007	0.000287674038919	0.0001067553691	0.886171046507	-0.0604824607162
Abcc2	0.731644076508	0.141560888091	0.359633723272	0.904326624926	1.04567069368	0.0831911706318	0.196984826466	-0.576214100127	0.367861083606	-0.00510199068131	2.99801666809	-0.124422367013
Abcc3	0.0187025766236	-0.270944261078	-0.457220574347	-0.718755747003	-0.289751240127	-0.32248750155	-0.722539923863	0.868011421846	-0.360549776736	0.109732522444	-0.765330205737	-0.264074597643
Abcc4	-0.000614564916747	0.888858751523	-0.0814049252646	0.263535995252	0.213320260324	0.162788677128	-0.059400371139	-0.71180963924	0.686954767096	0.467303213775	1.67089071995	-0.155097986593
Abcc5	-1.07618128434	-0.803004355266	-1.50023807387	-0.844915208768	-0.160210675653	-0.140135237587	-0.875517873836	-2.1856731712	0.219803672089	0.27871233812	1.75232449803	-0.116657039308
Abcc6	-0.01877067585	-0.0187091379695	-0.018534007796	-0.0187797305036	-0.0189236954227	-0.0189641912225	0.217592303035	0.000848816334206	0.104823025903	0.000148258095437	1.333651911	6.00560980696e-05
Abcc8	0.580668997815	0.39351799512	0.399377682769	0.392469859847	1.20341468727	0.563887412051	0.747237260576	0.00157302727778	0.323693898741	0.0936590991141	1.40442167743	0.0413196421324
Abcc9	0.98224444748	0.810421405189	0.858986714067	1.06526110322	0.647794788318	1.93680964927	0.723305831407	1.65042476596	-0.165018335269	-0.0348058225806	1.36280854875	-0.633621453734
Abcd1	-0.221004326197	-0.157499053047	0.0238922231113	-0.117791219302	-0.125884944774	-0.323221836545	-0.317012220534	1.39466195969	-0.833433070804	0.201882672693	0.838954300256	-0.0927056277718
Abcd2	-0.22822882011	-1.95153976925	-1.12225794407	0.0522512648966	-0.52792437515	-0.0705930961274	0.185494808068	0.394972099279	0.642788641852	0.390234179255	1.62721343176	-0.234253898703
