	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage
A1cf	-0.818116012735	-0.835657537502	-0.816661427868	-0.689562532321	-0.551054150971	-0.544236240571
A2m	-0.00525478904841	-0.00131301085991	-0.000157292465845	-0.000620742979262	-0.0019452498389	-0.00234778184865
A3galt2	0.728952716391	0.229789886992	1.20325908787	0.448459183055	0.785900190875	0.922247900591
A4galt	0.74994451955	0.226249401465	0.790998999882	0.611026995883	-0.360063582514	0.0577757049537
A4gnt	0.227954111459	0.064633895368	0.11600248433	0.525179672495	-0.121566580564	0.522496159146
Aaas	-0.126465591581	-0.671951608435	-0.122654022195	-0.300070516206	-0.464143536397	-0.47874858146
Aacs	-0.0542861403118	0.599024517226	-0.585048253928	-0.182949099153	-0.634769929526	0.051969973435
Aadac	-0.396554055836	-0.39650928488	-0.396323980921	-0.396718440989	-0.39689224038	-0.396371074327
Aadacl3	-0.136755868622	-0.138566969024	-0.131711893541	-0.137874701144	-0.133575803075	-0.134017138006
Aadat	0.104871951871	0.106603920359	0.107361440676	0.106752860868	0.106979656719	0.187628767929
Aaed1	0.507173329129	-0.388233878166	-0.23712073977	0.302488660269	0.47836289442	0.31001140038
Aagab	-0.272993380038	-0.124754455469	-0.211441151523	-0.484166910743	0.124569143158	-0.533335787652
Aak1	-0.0845707066534	-0.0106830044811	-0.322261320627	-0.287877718953	-0.106289703225	-0.485856649474
Aamdc	0.27309644083	-0.0989074675767	0.162894789366	0.0109522793923	-0.0562327315192	-0.08941101498
Aamp	-0.247857565342	0.150864235675	-0.0174517838686	0.160242487192	0.577368145352	0.123114423412
Aanat	0.591241912809	0.873636351041	1.20367452307	0.35338671293	1.05179466124	0.934514496531
Aar2	0.0232543745283	0.742205945192	-0.121971626429	0.39062306438	0.460137720796	0.0632616879164
Aard	0.291706449111	0.0274720914781	0.0372859235821	0.042688889595	0.0203990575134	0.217030193042
Aars	-0.0840780083889	0.251369824614	0.0253489236843	-0.00430431381981	0.388238933461	-0.0287461476652
Aars2	-0.894141506117	-0.849461730392	0.0140992126085	0.26652881837	-0.281533276626	-0.555342157192
Aarsd1	-0.0239769308568	-0.0297740570352	0.235810350534	-0.0665560439102	0.389431576317	0.250251537507
Aasdh	-0.485270167788	-0.655090276002	0.460148658468	-0.454466066433	0.619249827943	-0.177670639266
Aasdhppt	0.438799125443	0.31960981481	1.01467539028	0.250460918999	0.617536862432	0.728964662745
Aass	-0.0300614483989	-0.0302234793023	-0.0296489562112	-0.0298410714041	-0.0297041229437	0.000239582989861
