	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage
Gm15179	 0.1097	0.10988	0.11053	0.11001	0.10829	0.11013
Olfr535	 0.1097	0.10988	0.11053	0.11001	0.10829	0.11013
Vmn2r115	0.11017	0.11035	0.11098	0.11047	0.10908	0.11011
Ceacam9	0.10907	0.10926	0.10992	0.10939	0.10761	0.10952
Gp1bb	0.10904	0.10924	0.11062	0.10819	 0.1085	 0.1095
Flg2	0.10945	0.10963	0.10855	0.10976	0.10996	0.10936
Slc5a9	0.10921	 0.1094	0.10947	0.10948	0.11004	0.10943
Gm5796	0.10939	0.10816	0.11075	0.10907	0.10991	0.10984
Mir543	 0.1093	0.10948	0.11015	0.10961	0.10981	0.10781
Olfr279	0.10912	0.10931	0.10998	0.10944	0.10964	0.10763
Mir666	0.10931	0.10898	0.11081	0.10925	0.10927	0.10887
Spata18	0.10947	0.10895	0.11036	0.10979	0.10999	0.10849
Vmn2r16	0.10969	0.10891	0.11086	   0.11	 0.1102	0.10895
Myl3	0.10789	0.10929	0.11063	0.10942	0.10962	0.10866
Ugt1a10	0.10839	0.10943	0.11081	0.10991	0.11011	0.10951
Hoxb13	0.10969	0.10983	0.11039	0.10893	0.11042	0.11036
Retnlb	0.11012	 0.1103	0.11093	0.10863	0.11061	0.11054
Slc22a6	 0.1093	0.10976	0.11085	0.10876	0.11009	0.10921
Clca6	0.11014	0.11015	0.11021	0.11012	 0.1101	0.11018
Crabp1	0.11034	0.10899	 0.1108	0.11064	0.11082	0.11076
Mir320	0.10973	0.10973	0.11124	0.11073	 0.1104	0.11085
Fate1	0.11072	0.11089	 0.1115	0.10928	0.11119	0.11113
Htr6	 0.1104	 0.1107	0.11123	0.10993	0.11125	0.11119
Slitrk2	0.11092	0.11043	 0.1117	0.10993	0.11139	0.11133
Slc13a5	0.11027	 0.1107	0.11133	0.10969	0.11052	0.11067
Foxn1	0.10977	0.11063	0.11152	0.11069	 0.1112	0.11061
Oca2	0.10971	0.11095	0.11123	0.11107	0.11125	0.11057
Gm8579	 0.1103	0.11085	0.11146	0.11097	0.11115	0.10953
Gprin1	0.11066	0.11057	0.11048	0.11096	0.11115	 0.1101
Gm6559	0.11005	0.11023	0.11051	0.11035	0.11054	0.10881
Klk1b24	0.11016	0.11034	0.11097	0.11046	0.11065	0.10875
Reg4	0.10928	 0.1093	0.10928	0.11497	0.10934	0.10927
Atp12a	0.11176	0.11177	0.11174	0.11176	0.11176	0.11177
Tas1r2	0.11186	0.11191	0.11196	0.11162	0.11171	0.11194
Spaca7	0.11189	0.11184	0.11131	0.11189	0.11207	0.11228
Gm10787	0.11176	0.11192	 0.1125	0.11063	0.11221	0.11175
Nkx2-6	0.11117	0.11192	 0.1125	0.11081	0.11221	0.11215
Inmt	0.11142	0.11079	0.11219	0.11142	0.11188	0.11089
Rnf224	0.11157	0.11174	0.11233	  0.111	0.11203	0.11087
Vmn1r55	0.11098	0.11152	0.11211	0.11163	0.11181	0.11027
Tlx3	0.11172	  0.111	0.11268	0.11222	0.11239	0.11179
Xkr4	0.11111	0.11046	0.11225	0.11178	0.11167	0.11189
Cmtm5	0.11008	0.11152	0.11182	0.11163	0.11156	0.11175
Gm13288	0.11085	 0.1114	  0.112	0.11152	 0.1102	0.11163
Slitrk1	0.11116	0.11133	0.11192	0.11145	0.10987	0.11156
Ttc39d	0.11099	0.11116	0.11177	0.11128	0.10998	0.11089
Syndig1	0.11136	0.11089	0.11213	0.11165	0.11052	0.11176
Kcnip1	0.11128	0.11145	0.11205	0.11082	0.11089	0.11116
Gm5084	0.11149	0.11166	0.11196	0.11178	0.11085	 0.1112
Olfr410	0.11175	0.11192	0.11221	0.11203	0.11077	0.11192
Gm9994	0.11135	0.11151	0.11101	0.11065	0.11181	0.11175
Timp4	0.11105	0.11094	0.11026	0.11134	0.11152	0.11121
Ctcfl	0.11192	0.11208	0.11239	 0.1117	0.11209	 0.1113
Tcerg1l	0.11123	0.11173	0.11257	 0.1121	0.11227	0.11114
Kank4os	0.11213	0.11229	0.11285	 0.1124	0.11256	0.11088
Trim71	0.11212	0.11246	0.11302	0.11229	0.11274	0.11135
Gm20759	0.11232	0.11248	0.11258	0.11259	0.11148	0.11249
Slc6a5	 0.1123	0.11222	0.11301	0.11256	0.11146	 0.1123
Nkx3-2	0.11248	0.11221	0.11293	0.11249	0.11237	0.11231
Tmprss12	0.11241	0.11236	0.11313	0.11268	0.11211	 0.1118
Tmem150cos	0.11191	0.11177	0.11317	0.11227	0.11289	0.11283
Bsnd	0.11232	0.11318	0.11371	0.11328	0.11344	0.11238
Skor2	0.11213	0.11306	 0.1136	0.11317	0.11333	0.11234
Rprl2	0.11189	 0.1128	0.11335	0.11291	0.11307	0.11202
Ptprq	 0.1122	0.11337	0.11388	0.11346	0.11339	0.11325
Defb50	0.11278	0.11293	0.11203	0.11304	 0.1132	 0.1126
Lrit1	0.11274	0.11289	0.11266	  0.113	0.11316	0.11199
Mir153	0.11306	0.11321	0.11374	0.11207	0.11347	0.11302
Mir874	0.11276	0.11291	0.11321	0.11174	0.11318	0.11289
Prm2	0.11274	0.11248	0.11343	 0.1117	0.11316	 0.1131
Calb2	0.11313	0.11187	 0.1138	0.11338	0.11353	0.11348
Car5a	0.11325	0.11339	0.11367	0.11349	0.11342	0.11234
Cemip	0.11341	0.11371	0.11382	0.11331	0.11313	0.11328
Olfr462	0.11319	0.11315	0.11324	0.11292	 0.1133	0.11328
Drd5	0.11356	0.11385	0.11335	0.11395	 0.1141	0.11337
Vmn2r-ps54	0.11355	0.11369	0.11339	0.11379	0.11394	 0.1129
Glyat	0.11379	0.11393	0.11404	0.11402	0.11417	0.11287
Ccdc160	0.11303	0.11318	0.11371	0.11261	0.11233	0.11338
H1fnt	0.11325	 0.1134	0.11391	0.11349	0.11214	0.11359
Olfr1348	0.11341	0.11355	0.11406	0.11365	0.11243	0.11358
Acsbg2	0.10631	0.10709	 0.1102	0.10601	0.10658	0.10681
Calml3	0.10698	0.10752	0.11034	0.10646	0.10854	0.10694
Olfr270	0.10725	0.10746	0.11022	0.10759	0.10708	0.10613
Dmp1	 0.1081	0.10749	0.11045	0.10803	0.10749	0.10884
Slco1b2	0.10769	0.10664	0.11046	0.10803	 0.1072	0.10864
Gldnos	0.10682	0.10687	0.11058	0.10775	 0.1069	0.10857
Mir3070b	 0.1064	0.10768	0.11028	0.10781	0.10683	0.10844
Epo	0.10692	0.10679	0.11045	0.10818	0.10885	0.10871
Gulo	0.10671	0.10718	0.10876	0.10812	0.10887	0.10873
Ferd3l	0.10804	0.10825	0.11043	0.10743	0.10893	0.10715
Gm8363	0.10803	0.10731	0.11044	0.10836	0.10893	0.10714
Sohlh2	0.10811	0.10741	0.11042	0.10845	0.10896	0.10721
Olfr115	0.10831	 0.1088	0.10949	0.10894	0.10915	0.10727
Adcy1	0.10706	0.10706	0.10734	0.10709	0.10708	0.10726
Rdh8	0.10717	 0.1072	0.10711	0.10703	0.10724	0.10724
Rergl	0.10727	0.10721	0.10747	0.10712	0.10723	0.10736
Hoxd3os1	0.10698	0.10684	0.10716	0.10768	0.10752	0.10858
Dytn	0.10692	0.10713	0.10739	0.10728	 0.1056	0.10743
Khdrbs2	0.10682	0.10704	 0.1059	0.10719	 0.1074	0.10664
Dlgap2	 0.1069	0.10712	0.10738	0.10726	0.10706	0.10581
Gm5294	0.10671	0.10706	0.10804	0.10706	0.10684	0.10566
Ins1	0.10694	0.10715	0.10789	0.10729	0.10752	0.10528
Mdh1b	0.10725	0.10746	0.10819	 0.1076	0.10782	0.10562
Fam170b	0.10754	0.10775	0.10801	0.10789	0.10767	0.10649
Krt6a	0.10752	0.10712	0.10846	0.10787	0.10809	0.10632
Psg22	0.10588	0.10718	0.10697	 0.1072	0.10826	0.10669
Trim54	0.10525	0.10686	0.10763	0.10701	0.10724	0.10623
Emilin3	0.10607	0.10768	0.10795	0.10782	0.10804	0.10751
Rtp2	0.10666	0.10779	 0.1086	0.10792	 0.1087	0.10704
Gm12429	0.10746	0.10683	0.10734	 0.1078	0.10877	 0.1073
Ces1a	0.10767	0.10787	0.10859	0.10598	0.10823	0.10815
Olfr521	0.10773	0.10794	0.10866	0.10628	0.10829	0.10786
Cyp2d12	0.10786	0.10807	 0.1088	0.10666	0.10766	0.10835
Gm19277	0.10718	0.10739	0.10812	0.10546	0.10775	0.10767
Hmx3	0.10832	0.10852	0.10922	0.10865	0.10718	 0.1082
Lrrtm4	0.10763	0.10818	0.10889	0.10832	0.10668	0.10846
Htr5a	0.10757	0.10778	0.10768	0.10792	0.10651	0.10806
Olfr513	0.10761	0.10781	0.10853	0.10795	0.10605	0.10809
Iqsec3	0.10847	0.10844	0.10853	0.10849	0.10844	0.10846
Mrgprg	0.10787	0.10838	0.10711	0.10852	0.10873	0.10866
Olfr15	0.10771	0.10827	0.10792	 0.1084	0.10898	0.10748
Mir365-2	0.10811	0.10887	0.10957	0.10745	0.10921	0.10914
Cacna2d3	0.10557	0.10579	0.10658	0.10595	0.10567	0.10416
Tmem179	0.10554	0.10577	  0.106	0.10592	0.10616	0.10413
Prss55	0.10531	0.10614	 0.1059	0.10646	0.10585	0.10446
Cst8	0.10576	0.10635	0.10712	 0.1065	0.10673	0.10468
Olfr225	0.10587	0.10609	0.10687	0.10624	0.10604	0.10442
Olfr229	0.10585	0.10607	0.10685	0.10572	0.10646	0.10444
Tceal3	0.10595	 0.1059	0.10616	0.10591	0.10585	0.10587
Cdcp2	0.10582	0.10604	0.10682	0.10619	0.10416	0.10635
Esrrb	0.10558	 0.1058	0.10604	0.10596	0.10422	0.10611
Nobox	0.10379	0.10604	0.10681	0.10619	0.10642	0.10634
Gm9767	0.10665	0.10687	0.10762	0.10513	0.10724	0.10676
Zfp488	0.10651	0.10673	 0.1075	0.10519	0.10711	0.10632
Olfr1213	0.10587	0.10609	0.10634	0.10435	0.10648	 0.1064
Pax1	0.10557	0.10622	0.10699	0.10447	 0.1066	0.10652
Pyy	0.10522	0.10602	0.10695	0.10427	0.10507	0.10717
Cst9	0.10655	0.10497	0.10703	0.10692	0.10715	0.10707
Syt10	 0.1061	0.10452	 0.1071	0.10647	0.10619	0.10663
Sec14l4	0.10636	0.10515	0.10797	0.10741	0.10874	0.10649
Cckbr	0.10574	0.10452	0.10494	0.10733	0.10869	0.10611
Dhrs7c	0.10506	0.10628	  0.105	0.10653	0.10786	0.10528
Mir701	0.10435	0.10619	0.10511	0.10637	0.10769	0.10726
Bmp15	0.10548	0.10394	0.11013	0.10467	0.10818	0.10774
Olfr33	0.10521	0.10399	0.10998	0.10376	0.10804	 0.1076
Gm12830	0.10568	0.10447	0.11057	0.10427	0.10865	0.10605
Olfr715	0.10657	0.10507	 0.1105	0.10641	0.10855	0.10813
Spem1	0.10617	0.10535	0.11075	0.10579	 0.1088	0.10529
Hrk	0.10563	0.10507	 0.1104	0.10467	0.10584	0.10497
Serpina3m	0.10513	0.10596	0.10963	0.10427	0.10768	0.10416
Nr2e3	0.12354	0.10586	0.10643	0.10575	0.10578	0.10525
Aldh3a1	0.11565	0.11599	0.11669	0.11636	0.11648	0.11591
Asic2	0.11604	 0.1156	0.11652	0.11633	0.11645	0.11592
Nog	0.11604	0.11545	0.11642	0.11623	0.11623	0.11584
Gm15612	0.11631	0.11621	0.11668	0.11636	0.11649	0.11578
Catsperg2	0.11594	0.11606	0.11582	0.11566	0.11626	0.11581
Olfr1000	0.11499	  0.116	0.11641	0.11608	 0.1162	0.11589
Tmem63c	0.11534	0.11575	0.11624	0.11581	0.11618	 0.1158
Bhmt	0.11574	0.11616	0.11655	0.11623	0.11537	0.11631
Kcnq2	0.11601	0.11576	0.11653	 0.1162	0.11536	0.11628
Tpo	0.11575	0.11564	0.11628	0.11595	 0.1151	0.11582
Wt1os	0.11537	0.11579	0.11631	0.11598	0.11525	0.11606
Prss41	 0.1158	0.11591	0.11597	0.11599	0.11568	0.11533
Saa4	0.11524	0.11575	0.11617	0.11567	0.11568	0.11524
Ucn	0.11553	0.11565	0.11607	0.11573	0.11585	 0.1146
Znrf4	0.11555	0.11567	0.11474	0.11575	0.11587	0.11583
Gja8	0.11598	0.11653	0.11692	0.11661	0.11607	0.11643
Hhipl1	0.11659	0.11617	0.11715	0.11685	0.11667	0.11657
Rnase10	0.11662	 0.1161	 0.1171	 0.1168	0.11691	0.11624
Tescl	0.11669	0.11603	0.11717	0.11686	0.11653	0.11694
Gm17830	0.11637	0.11647	0.11686	0.11566	0.11666	0.11632
Arhgap33os	0.11761	0.11787	0.11767	0.11794	0.11803	 0.1175
Fam131c	0.11773	0.11782	0.11775	0.11742	0.11763	0.11795
Gsdmc3	0.11763	0.11761	0.11769	 0.1176	0.11764	 0.1176
Ccdc42	0.11723	0.11749	0.11798	0.11781	0.11791	0.11749
Oxtr	 0.1175	0.11696	0.11799	0.11772	0.11772	0.11755
Pin1rt1	0.11753	0.11735	0.11748	0.11769	0.11778	0.11725
Dgat2l6	0.11706	0.11716	0.11701	0.11723	0.11733	0.11654
Kcna7	 0.1171	0.11719	0.11724	0.11717	0.11715	0.11714
F11	0.11674	0.11692	0.11707	0.11699	 0.1167	0.11639
Gm10334	0.11702	0.11672	0.11748	0.11643	 0.1173	0.11726
Wdr93	 0.1171	 0.1172	0.11755	0.11642	0.11737	0.11708
Gm7977	0.11719	0.11661	0.11765	0.11748	0.11758	0.11755
Trpc4	0.11733	0.11698	0.11777	0.11715	0.11738	 0.1173
Kcnj4	0.11657	0.11731	0.11766	0.11738	0.11712	0.11735
Chrna7	0.11484	0.11541	0.11584	0.11457	0.11562	0.11557
