	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage
Cdh6	 1.0569	 1.0093	 1.0283	 1.0757	0.99309	 1.0396
Figf	 1.0426	 1.0144	 1.0396	 1.0546	0.99638	 1.0322
Olfr78	 1.0109	0.99789	 1.0358	0.99148	0.98557	 1.0334
Unc45b	 1.0358	0.95997	0.95738	   1.04	0.96631	 1.0579
Npy1r	 1.0074	0.98507	 1.0952	 1.0135	 1.0168	  1.092
Bdnf	1.1973	1.0539	 1.096	1.0391	1.0579	1.1019
Htr1d	1.0765	1.0736	1.0917	1.0588	1.0547	1.0762
Nmnat2	 1.091	1.0021	1.0562	1.1018	1.1183	1.1237
Fam69c	 1.0244	 1.0929	0.99853	0.98838	 1.1006	 1.0227
Mrgprf	 1.1109	 1.0985	0.99204	0.92008	 1.0092	  1.036
Ccdc68	0.94489	0.94063	0.98023	0.99745	0.92614	 1.1927
Cspg4	0.96407	0.96504	 1.0002	0.97735	0.89815	   1.12
Lmcd1	 1.0266	0.94284	0.91805	 1.0071	0.94337	 1.1499
Trnp1	0.93737	0.99488	0.94491	0.92583	 1.0124	 1.1044
Fam124a	 0.9385	0.91696	 0.9378	0.96185	 1.1502	 1.0156
Grrp1	0.93286	0.99483	 1.0703	0.88654	0.92182	 1.0479
Tead4	0.95169	0.96963	 1.0626	0.90444	0.93329	0.91387
Tmem88b	0.85736	 1.0154	0.95621	0.85382	0.80491	0.89522
Ccdc39	 1.0557	 1.0285	0.79001	 1.0502	0.93192	0.79251
Rgs4	 1.0277	0.90566	0.93488	 1.0525	0.92899	  0.919
Ptn	0.99887	0.98911	0.99563	 1.2381	0.98329	 1.0795
Stmn4	0.92305	 1.1016	0.93801	  1.297	 0.9246	0.92895
Tmem45b	 1.1254	0.85895	 1.0276	 1.3008	0.95392	0.92229
Bdkrb2	1.1059	1.0556	1.1972	1.0413	 1.124	1.2485
Cdh13	1.0706	1.1066	1.3661	1.0398	1.0676	1.1461
Kcne4	1.1818	 1.077	1.2934	1.0993	1.0786	1.1589
Nfatc4	1.0684	 1.081	1.1413	1.2245	1.0553	1.1808
Wnt5a	1.0711	1.0582	1.1142	1.1738	1.0473	1.2543
Rnf128	1.0374	1.0294	1.2182	1.1192	1.1228	1.0148
Sfrp4	1.1435	1.0655	1.1875	1.1997	1.0494	1.0703
Sipa1l2	 1.0069	0.81832	 1.3019	  1.058	 1.1951	 1.2344
C1qtnf9	 1.1135	0.83104	  1.139	0.81514	0.92295	 1.1936
Dysf	 1.0936	0.99515	 1.1659	 0.9033	0.89966	  1.192
Nov	 1.0439	 1.0201	 1.2007	 1.0148	0.98625	 1.1957
Ebf2	 1.1144	0.95182	 1.2553	0.85976	0.99209	 1.0837
Clec7a	 1.1666	 1.0918	 1.3555	0.94336	0.75699	 1.2047
Tmem252	  1.025	 1.0107	 1.3539	0.88438	 0.8823	 1.3327
Adamts5	 1.0241	 1.0077	0.97883	0.92238	 0.9524	 1.4908
Galnt18	0.97033	0.89465	0.97801	0.91482	0.92978	 1.4746
Sox18	 1.0743	 1.0102	 1.0951	 1.0854	0.86748	 1.5038
Gpr116	 1.1837	 1.0393	0.86803	 1.0329	0.98123	 1.4686
Avpr1a	1.0477	1.0016	1.1198	1.0036	1.0263	 1.421
Kcna6	1.0645	1.0508	1.0509	1.0408	1.0523	1.3894
Ndst3	1.0285	1.0253	1.0544	1.0011	1.1071	1.2613
Phlpp1	 1.0396	 1.0806	0.96158	 0.9711	 1.1233	 1.3822
Vgll3	 1.044	1.0576	1.0328	1.0263	1.3023	1.4149
Mmrn2	 1.0301	 1.2431	 1.1357	0.88984	   1.05	 1.4253
Olfr1444	 1.1775	0.88981	0.94138	0.96016	 1.2367	 1.0972
Prss52	 1.1132	0.85753	 1.0506	0.94238	  1.341	0.81642
Ap3s1	 1.1501	 1.0389	0.84718	0.74371	0.72221	 1.0516
Bcam	 1.1311	 1.0617	0.63538	0.71674	 0.6721	0.95108
Pcdhgb1	 1.0793	0.89246	0.73323	0.82563	0.70043	0.94164
Pappa	 1.0699	 1.2712	0.83732	0.75121	 0.7283	 1.0883
Braf	0.98575	0.77851	 0.8312	0.88641	 0.6906	 1.1791
Gm6377	0.95847	 0.7071	0.82766	0.89086	0.60976	 1.0131
Lrrc8d	 1.0311	 0.8256	0.90078	0.98612	0.54528	 1.0846
Fam117b	0.99223	0.88346	0.96625	 0.8816	0.78711	 1.1369
Fgd5	 1.0739	0.93962	0.84113	0.86373	0.76499	  1.131
Fhl5	   1.08	0.84814	0.94186	 0.8814	0.85338	  1.017
Kcna2	 1.1239	0.89388	 1.0077	0.88583	0.84694	 1.0414
Fam13c	 1.0361	 0.8085	 1.1051	0.90484	0.75579	 1.0747
Lrfn4	 1.0548	0.85194	 1.0565	0.81925	0.68664	 1.1551
Gpihbp1	 1.2561	0.82816	0.87538	 0.8248	0.81554	0.89027
Ttc9	 1.3418	0.77569	0.74117	0.75426	 0.8325	0.97665
Pde3b	 1.2964	0.86514	0.74005	0.74942	 1.0354	 1.0434
Trim46	 1.2468	 1.1102	0.82199	0.89142	0.95421	 1.0865
Ackr2	 1.4097	 1.0116	0.99824	0.93189	0.97182	  1.035
Atp6v0e2	1.4177	1.0391	1.1624	1.0079	1.0454	1.0227
Gdnf	1.3953	1.0258	1.1061	1.0838	1.0154	1.0429
Btnl9	1.3395	1.0847	1.0907	1.1185	1.0902	1.0894
Marcks	 1.3574	0.90807	 1.1942	 1.0826	 1.0589	 1.0187
Sh3bgrl	 1.2988	 1.1692	 1.0487	 1.1751	0.88904	 1.1841
Foxi1	 1.5954	0.87411	0.89001	 0.8645	0.94481	0.84703
Gja4	 1.5909	 0.9401	 1.1221	0.91698	0.90518	0.97617
St8sia2	 1.5552	0.92243	 1.0799	0.88098	0.89001	 0.9344
Tnfrsf19	 1.5473	0.81116	 1.2523	0.79574	0.87197	 1.1353
Arhgef15	   1.41	 1.0366	 1.2025	 1.0467	0.99717	 1.4708
Slc2a10	 1.3593	 0.9742	 1.2232	0.98685	0.97461	 1.5034
Tmed5	 1.4226	0.83286	 1.1538	 1.1846	 0.8808	 1.3199
Treh	 1.4305	0.92252	 1.1065	 1.1261	0.79831	 1.2672
Rbp4	 1.3787	 1.3568	 1.1616	0.94832	 0.8258	 1.2354
Rasl12	 1.5893	0.97544	 1.3754	 1.3672	0.97621	 1.0213
Cnnm2	 1.3137	 1.2588	0.90842	 0.8022	 1.2161	 1.2868
Oprd1	 1.2238	 1.2281	0.75742	0.74255	 1.2757	 1.0164
Serpinb9b	 1.4325	 1.2418	0.68516	 1.1771	 1.4525	 1.2763
Arhgdig	 1.2057	0.92408	 1.4426	 1.0152	 1.2253	0.86409
Dmpk	0.89909	0.82928	  1.399	0.93078	 1.2626	0.81422
Plcd4	 1.1924	0.99793	  1.357	0.68405	 1.1245	 1.1602
Sall1	 1.0639	0.96805	 1.3856	0.88339	 1.2312	 1.0989
Ebf3	 1.0026	0.84731	 1.5814	0.91321	 0.9361	0.95954
Kncn	0.88327	0.84525	 1.5234	0.85423	0.89966	  1.283
Steap2	0.89181	0.92465	 1.5643	0.96316	0.93682	 1.2577
Cpeb3	 1.4864	0.89441	 1.5078	0.89014	0.99585	0.89082
Nuggc	 1.3832	0.74229	  1.734	 1.0768	 1.0348	  1.031
Hyal1	 1.5247	0.88637	 1.7899	0.95888	0.79663	0.71854
Pde10a	 1.4606	 1.0413	 1.4983	0.67491	 0.9858	 1.1962
Bcap29	 1.1243	0.88112	 1.0393	 1.2381	 0.6307	0.85012
Igfals	 1.2333	0.92266	 1.2178	 1.2898	0.65543	0.81037
Lats2	 1.2467	0.99536	 1.0233	 1.2507	0.64103	 1.0001
Sulf1	 1.1396	0.76696	 1.0159	 1.5298	0.57326	0.69911
Efcab9	 1.3396	0.92896	 1.0645	 1.4857	0.51736	 1.1911
Filip1	 1.2656	0.58973	 1.2252	 1.2617	0.72808	 1.4239
Mir1898	 1.0805	0.68083	 1.1411	 1.5138	0.70981	 1.2162
Slc41a2	 1.0207	0.81374	 1.3986	 1.0221	0.59781	  1.467
Eid3	0.89272	0.87805	 1.2118	0.70749	 1.2171	 1.7276
Gfod1	0.88875	 1.1113	 1.0854	0.87319	 1.3301	 1.8685
Napb	0.96684	  1.239	 1.2488	0.49413	 1.2508	 1.5045
Gm15713	 0.8549	0.90931	 1.2303	 0.7378	 1.0261	 1.4819
Gpd2	0.77811	0.93861	0.97634	0.83015	 1.1194	 1.4335
Shisa4	0.74361	0.80325	   1.05	0.74911	 1.0698	 1.3243
Map4k4	0.51224	 0.7342	 1.1527	 1.0612	 1.0797	 1.3761
Slc18a2	0.70651	 1.0003	 1.1607	 1.0421	0.98948	  1.324
Glis3	 1.1226	0.70728	0.91483	0.91012	 1.3214	 1.4163
Pcp4l1	 1.2858	0.70833	 1.0199	0.69938	 1.2966	 1.2699
Gm12657	0.79347	0.53633	0.89198	0.92932	 1.2774	 1.4514
Slc15a2	0.90658	 0.6904	 1.0078	0.99578	 1.2397	 1.3313
Mir3075	0.95767	0.44921	 0.9259	 1.1673	 1.3034	 1.1267
Gm13939	 1.0412	0.97264	 0.8404	0.96702	 1.5226	 1.2975
Klhl30	  0.857	0.90357	0.90793	 0.9932	 1.4259	  1.233
Procr	0.67089	 1.0743	0.83729	0.96323	  1.379	 1.3554
Rnf157	0.82326	 0.9651	0.75326	 1.0229	 1.2716	 1.3274
Mast4	0.86737	0.93817	 1.0845	  1.013	 1.5799	 1.4096
Syt13	 1.0464	0.97485	 1.0809	0.96017	 1.4641	 1.5688
Osr1	1.0604	1.0992	1.0837	1.0534	1.6122	1.2945
Omp	1.1191	1.0729	1.0506	1.1094	 1.665	1.6345
Cacng7	0.96237	  1.463	 1.0131	0.98584	 1.0657	0.97259
Ntn1	0.93088	 1.2547	 1.1543	 1.0117	  1.109	0.94442
Pcdh12	1.0696	1.2736	1.2688	0.9726	1.0336	1.0907
Gm5483	 1.0169	 1.3925	 1.0567	 1.2719	0.92321	 1.0078
Kcnh2	1.2786	1.5944	1.0877	1.1874	1.0732	1.0463
Mmp15	1.0505	1.4077	 1.175	1.2401	1.2852	1.1281
Chrm3	 1.1032	 1.6341	  1.233	0.66221	 1.1194	0.75709
Ly6c1	 1.2975	 1.4961	 1.1168	0.82166	 1.2278	 0.9414
Kcnj13	0.97097	 1.7627	 1.4944	0.69285	 1.0675	 1.0219
Mir7078	 1.1189	 1.4526	 1.6914	 1.1955	 1.3481	0.97388
Scarna3a	 1.3244	 1.5575	 1.4864	0.97624	 1.2643	0.76863
Gabrb1	  1.597	 1.2539	0.95551	 1.3951	 1.0056	0.91618
Tbr1	 1.6613	 1.5408	0.99628	 1.1947	 1.2556	0.84021
Ackr1	1.3345	1.2648	1.2995	1.2214	1.2267	1.3424
Opcml	1.3066	1.3205	1.3014	1.2276	1.1665	1.3267
Cap2	1.2885	1.2916	1.3625	1.2736	1.2701	1.3051
Trpc3	 1.276	1.2117	1.3981	1.2299	1.2292	1.2973
Meox2	1.2605	1.2375	1.4904	1.1896	1.1896	1.3592
Fibin	1.1816	1.2055	1.2083	1.1824	  1.25	1.2036
Olfml2a	1.1813	1.1583	 1.241	1.2007	1.1573	1.2219
Zfp711	1.2006	1.1944	1.2037	1.2025	1.1902	 1.326
Chmp4c	1.1483	1.1343	1.0534	1.1564	1.0175	1.4796
Itga7	1.1151	1.1301	1.1387	1.1287	1.1551	 1.418
Mark1	1.2083	1.1684	1.2845	1.1575	1.2007	1.4702
Slc6a14	1.2017	1.1417	1.1655	1.1497	1.1373	1.5474
Fxyd6	 1.0902	  1.294	  1.378	 0.9208	0.86846	 1.4467
Slco2a1	1.0167	1.2732	1.4663	1.0587	1.0343	1.3179
Cldn3	 1.2553	 1.0796	0.91617	 1.3347	 1.2236	 1.2445
