	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage	LI_v_SI_SPF_CCR6-ILC3	LI_v_SI_SPF_CCR6+ILC3	LI_v_SI_SPF_ILC2
A1bg	0	0	0	0	0	0	-1.9145444585726	-0.817334394923312	0.125807432079616
A1cf	-0.822957080206752	-0.581120771636815	-0.822416247085828	0.00646985361430749	-0.834901780645597	-0.77043509788185	0.0723402038746018	0.385548881537068	-0.0845833405648849
A2m	-0.00788544865530909	-0.00416319711641767	-0.00467175033654686	0.000988234143805427	-0.00426055225256435	0.088793795735923	0.0491503459308309	-0.956617222845781	-0.0841590144380918
A3galt2	0.996376460684421	0.913584983573159	1.22496854314664	0.701004083636743	0.695114836417554	1.00437337667913	0.660591722940993	-0.659330403424866	0.955242287327212
A4galt	0.528401096382129	1.01707788818953	0.410838195067177	0.795703452962381	1.1269830882404	1.07830850878803	-1.47612754808647	-2.04766509930607	-1.39651792716351
A4gnt	-0.303241181711336	-0.301336803815805	-0.300641193202526	-0.30264919217461	-0.294727045994648	-0.30293382761099	-3.88970300242211	-3.26544279720062	-3.11243684813487
Aaas	-1.35238594690147	-0.729003451977107	-1.01550933375666	-0.478382158449615	-1.06129431756628	-1.23427077361209	0.202382168605224	-0.281086372523504	-0.0789241609344853
Aacs	-0.034665510532377	-0.586660421425137	0.0476385476678553	0.304752787250679	-0.136685292491798	0.112603043054597	0.324053841081047	0.664839783400976	-0.181344090898814
Aadac	-0.396759044605868	-0.396669441889215	-0.39660217234431	-0.344344460499143	-0.396981914299611	-0.396676700712377	-0.00556574388221914	-0.111628636973786	1.23632223635408
Aadacl2	0	0	0	0	0	0	-0.00734440789392399	0.0456297487727788	-0.0341181859976855
Aadacl3	-0.140713886146439	-0.141417155280954	-0.136226351411367	-0.136265724020731	-0.135891105488289	-0.139227549767181	0.347911292633293	0.0586101207999757	0.252181485792254
Aadat	0.457104156458263	0.106127644129907	0.106532672687139	0.107043235641533	0.106574763876108	0.173631675787941	0	0	0
