	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage	LI_v_SI_SPF_CCR6-ILC3	LI_v_SI_SPF_CCR6+ILC3	LI_v_SI_SPF_ILC2
Mir125b-1	        0	        0	        0	        0	        0	        0	-0.023483	  0.45672	 0.010136
Mir7215	        0	        0	        0	        0	        0	        0	-0.023483	  0.45672	 0.010136
Xlr5b	        0	        0	        0	        0	        0	        0	-0.028101	  0.45384	0.0083215
Snord123	 -0.012121	-0.0099633	-0.0076414	-0.0076807	 -0.014007	 -0.010643	 -0.028101	   0.45384	 0.0083215
Mir7668	         0	         0	         0	         0	         0	         0	  -0.02163	   0.42669	-0.0040352
Zic1	         0	         0	         0	         0	         0	         0	-0.0084786	   0.45535	 -0.025909
Mir6958	  0.03056	 0.032725	 0.032219	 0.037877	 0.035383	 0.032046	-0.023483	  0.45672	 0.010136
Uncx	 0.027731	 0.032725	 0.035047	 0.037877	 0.035383	 0.032046	-0.028101	  0.45384	0.0083215
Asb16	 -0.042127	 -0.041977	 -0.041889	 -0.041954	-0.0083304	   0.10583	 -0.023483	   0.45672	  0.010136
Vmn2r67	-0.044979	-0.042814	-0.040492	-0.037662	-0.043025	 0.054745	-0.028101	  0.45384	0.0083215
Kl	-0.0077703	-0.0075371	-0.0070458	-0.0070242	-0.0070204	  0.053582	  0.038522	    0.5009	 -0.083971
Gm7104	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689	-0.023483	  0.45672	 0.010136
Ssmem1	-0.068808	-0.024666	  0.11212	-0.068661	-0.068524	-0.068886	-0.028101	  0.45384	0.0083215
Mafa	   0.03056	  0.029897	  0.035047	  0.037877	  0.035383	  0.032046	-0.0075291	   0.33435	 -0.038603
Neu2	        0	        0	        0	        0	        0	        0	 0.072423	  0.27419	-0.053314
Mir6963	-0.024371	 0.033812	-0.023811	-0.023705	-0.024539	 0.020054	 -0.20269	  0.43132	 -0.04711
Aldh3b2	  -0.1022	 -0.10212	 -0.10206	 -0.10197	  0.15736	-0.053607	-0.027935	  0.43436	 -0.16258
Csnka2ip	-0.046831	-0.046722	-0.046592	-0.046855	  0.23045	-0.046755	  0.15143	  0.45342	-0.086038
Fbxw28	       0	       0	       0	       0	       0	       0	 0.16523	 0.21481	0.070113
Mir5128	 0.019919	-0.079387	-0.078814	-0.077277	-0.080083	-0.013647	  0.21343	  0.26126	 0.099824
Gm6614	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689	  0.17178	  0.32496	-0.047759
Sox1	-0.047848	 0.055424	-0.040492	-0.037662	-0.040156	-0.043493	  0.12065	  0.32248	-0.012396
Klk4	  0.07717	-0.066157	-0.066196	-0.066008	 -0.06608	-0.066175	  0.10953	  0.36078	-0.054664
Mir3091	 -0.12633	-0.076182	  -0.1263	 0.013471	 -0.12745	 -0.12653	  0.15855	  0.35818	-0.025792
Tdrd9	 -0.14573	 -0.14556	-0.049099	 -0.14512	  -0.1052	 -0.10377	  0.23025	  0.34408	-0.065315
Igfbp1	        0	        0	        0	        0	        0	        0	  0.40003	  0.52169	-0.042831
Tmem132cos	-0.016288	 -0.01403	-0.013499	 -0.01364	-0.013443	-0.014173	  0.26985	  0.44384	-0.027269
Meiob	-0.056623	-0.093644	-0.093193	  -0.0929	 -0.03969	-0.093928	  0.28165	  0.48076	-0.044817
Cyp2d10	 0.066874	 0.073588	  0.07591	 0.078739	 0.076245	  0.17115	-0.023483	  0.45672	 0.010136
Mir138-2	  0.10355	  0.10313	  0.10287	  0.10801	  0.10571	  0.10379	-0.023483	  0.45672	 0.010136
Mir6993	   0.14514	  0.052746	  0.055068	  0.057898	  0.055404	  0.052067	 -0.022222	   0.47787	-0.0078287
