	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage	LI_v_SI_SPF_CCR6-ILC3	LI_v_SI_SPF_CCR6+ILC3	LI_v_SI_SPF_ILC2
Olfr488	        0	        0	        0	        0	        0	        0	   1.1254	 0.049525	-0.043322
Olfr71	        0	        0	        0	        0	        0	        0	   1.1254	 0.049525	-0.043322
Iqcf4	        0	        0	        0	        0	        0	        0	   1.1011	  0.04842	-0.041897
Odf1	        0	        0	        0	        0	        0	        0	   1.1011	  0.04842	-0.041897
Gm1631	        0	        0	        0	        0	        0	        0	   1.0723	 0.047126	-0.040241
Olfr1406	        0	        0	        0	        0	        0	        0	   1.0723	 0.047126	-0.040241
Olfr730	        0	        0	        0	        0	        0	        0	   1.0723	 0.047126	-0.040241
Vmn1r206	        0	        0	        0	        0	        0	        0	   1.0723	 0.047126	-0.040241
Vmn1r61	        0	        0	        0	        0	        0	        0	   1.0723	 0.047126	-0.040241
Olfr1009	        0	        0	        0	        0	        0	        0	   1.0864	 0.047769	-0.041063
Nkx2-2	 -0.012354	 -0.010188	-0.0078663	-0.0050368	 -0.014263	 -0.013656	    1.0723	  0.047126	 -0.040241
Nps	        0	        0	        0	        0	        0	        0	   1.0382	 0.045615	-0.038358
Olfr1143	        0	        0	        0	        0	        0	        0	   1.0382	 0.045615	-0.038358
Serpina3a	        0	        0	        0	        0	        0	        0	   1.0078	 0.053178	-0.048104
Wnt7a	-0.024784	-0.025487	-0.020296	-0.020295	-0.019961	-0.026126	   1.0382	 0.045615	-0.038358
Nxph2	-0.044979	-0.045683	-0.040492	 0.060576	-0.040156	-0.043493	   1.0382	 0.045615	-0.038358
En1	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	   1.1621	   0.0522	-0.044824
Olfr113	-0.025757	-0.025114	-0.024828	 -0.02446	-0.024797	 0.096846	   1.1011	  0.04842	-0.041897
Olfr283	-0.025274	 -0.02493	-0.024541	-0.025103	-0.023911	  0.13231	   1.0382	 0.045615	-0.038358
Cyp2g1	        0	        0	        0	        0	        0	        0	   1.1844	 0.052902	-0.046457
Olfr551	        0	        0	        0	        0	        0	        0	   1.1811	 0.052207	-0.046822
Defb20	        0	        0	        0	        0	        0	        0	   1.1465	 0.050496	-0.044584
Plac1	        0	        0	        0	        0	        0	        0	   1.1616	 0.051689	-0.045161
Gm11564	        0	        0	        0	        0	        0	        0	   1.2509	 0.055412	-0.051079
Olfr464	        0	        0	        0	        0	        0	        0	   1.2593	 0.055826	-0.051634
Olfr1489	        0	        0	        0	        0	        0	        0	   1.2744	 0.056564	-0.052626
Olfr1321	        0	        0	        0	        0	        0	        0	   1.2211	 0.053983	-0.049175
Vmn1r6	        0	        0	        0	        0	        0	        0	   1.2319	 0.054501	-0.049864
Olfr815	       0	       0	       0	       0	       0	       0	  1.2092	0.053422	-0.04843
Wnt7b	-0.0029179	-0.0027122	 -0.002472	-0.0026881	-0.0033058	-0.0029277	    1.2426	  0.014802	-0.0096111
Nlrp4f	 -0.011917	-0.0097509	  0.078924	-0.0074684	-0.0070938	  -0.01043	    1.2299	  0.068027	 -0.032639
Actl11	  0.03056	 0.032725	 0.035047	 0.037877	  0.13362	 0.032046	   1.0723	 0.047126	-0.040241
Dlx2	 0.049603	 0.049834	 0.050165	 0.049952	 0.050447	  0.10225	   1.1296	 0.056646	-0.052738
St6gal2	 0.050755	 0.052921	 0.055243	 0.052415	 0.055578	 0.052242	   1.1011	  0.04842	-0.041897
Tmem210	 0.056898	 0.056177	 0.057388	 0.057515	 0.057416	 0.056751	   1.0723	 0.047126	-0.040241
Olfr1351	   0.1288	 0.032725	 0.035047	 0.037877	 0.035383	 0.032046	    1.165	 0.051351	-0.045701
Pcdha2	   0.1288	 0.032725	 0.035047	 0.037877	 0.035383	 0.032046	   1.1465	 0.050496	-0.044584
Kera	  0.03056	 0.032725	  0.13329	 0.037877	 0.035383	 0.032046	   1.0063	 0.062496	-0.058497
Srrm3	 0.016689	 0.016893	 0.017012	 0.098205	 0.016811	  0.14795	   1.0382	 0.045615	-0.038358
Dmbx1	0.042287	0.042577	0.042292	0.043021	0.042425	0.041864	  1.1032	0.058261	 0.14583
Hfe2	0.050755	0.052921	0.055243	0.058072	0.049921	0.052242	  1.0368	0.066416	0.061346
Olfr520	  0.10593	   0.1628	 0.013182	 0.013152	 0.013212	 0.012837	   1.0382	 0.045615	-0.038358
Elovl3	  0.03056	 0.032725	 0.035047	 0.037877	 0.035383	 0.029217	   1.1252	 -0.12389	-0.054738
Gm6307	 0.048346	 0.048575	 0.048604	 0.048804	 0.048315	  0.04853	   1.1171	  -0.1701	-0.057488
Lelp1	        0	        0	        0	        0	        0	        0	   1.1252	 -0.12389	-0.054738
Tex33	        0	        0	        0	        0	        0	        0	   1.1266	 -0.14811	-0.056577
Olfr424	        0	        0	        0	        0	        0	        0	   1.1839	-0.068346	-0.055038
Gm16551	 0.059086	 0.059255	 0.059453	 0.059597	 0.058481	 0.059203	   1.2744	 0.056564	-0.052626
Krt84	  0.03056	 0.032725	 0.035047	 0.037877	 0.035383	  0.13028	   1.2744	 0.056564	-0.052626
Olfr477	-0.027091	-0.024925	-0.022604	-0.022643	-0.022268	   0.1606	   1.2509	 0.055412	-0.051079
Gm11487	       0	       0	       0	       0	       0	       0	  1.0964	0.059224	-0.28207
Olfr631	-0.035162	-0.034502	-0.034121	-0.034359	-0.033796	  0.24871	    1.089	  0.05002	-0.039614
Csmd2os	-0.025091	-0.022926	-0.020604	-0.020643	  0.17642	-0.023605	   1.1254	 0.049525	-0.043322
Ms4a5	 -0.10149	 -0.10198	 -0.10284	 -0.10229	  0.14643	-0.049855	   1.1254	 0.049525	-0.043322
Slc2a2	 -0.05579	 -0.05569	-0.055571	-0.055528	  0.12366	  0.12294	   1.1386	  0.12763	 -0.10878
Prg3	-0.018103	-0.017825	-0.017733	-0.017497	  0.34393	 0.050327	   1.0678	  0.05538	-0.050534
Atp6ap1l	 0.092277	 0.092806	 0.093395	 0.094126	 0.093456	  0.25153	   1.0382	 0.045615	-0.038358
Gm17830	  0.11608	  0.11625	  0.11644	  0.11574	  0.11646	  0.23159	   1.0934	 0.048808	-0.041144
Olfr1480	 0.050755	 0.052921	 0.055243	 0.058072	 0.055578	  0.24872	   1.0037	 0.053792	-0.048275
Slc22a7	 0.062859	 0.065025	 0.067346	 0.070176	 0.067682	  0.32059	   1.0723	 0.047126	-0.040241
Dhrs7c	  0.10449	   0.1052	  0.17363	  0.10814	   0.1064	  0.23959	   1.1811	 0.052207	-0.046822
Otop1	  0.05014	  0.11313	 0.050745	  0.12647	 0.050527	  0.23505	   1.2521	  0.05547	-0.051157
Lhx1	 0.12018	  0.2009	 0.12042	 0.19347	 0.12032	  0.1681	  1.2692	0.056315	-0.05229
Brinp1	 0.065772	 0.070766	 0.073088	 0.075918	 0.073423	  0.25513	   1.0077	 -0.18206	-0.050545
Ctsj	 0.070951	 0.073117	 0.075438	 0.078268	 0.070116	  0.17068	   1.0833	 -0.11281	-0.050964
Olfr452	 0.050755	 0.052921	 0.055243	 0.058072	 0.055578	  0.24872	    1.093	 -0.14021	-0.053504
Notum	 0.037146	  0.13017	 0.037472	 0.037493	 0.037488	  0.32016	    1.009	 -0.14467	-0.048142
Pnpla1	0.0018558	0.0029741	 0.002528	0.0081445	0.0056451	  0.18335	   1.0836	 -0.11573	-0.061331
Gm10640	-0.012844	 0.051752	  0.21453	-0.012985	  0.24588	 0.038244	   1.1464	 -0.10142	-0.025319
Lemd1	0.050755	0.052921	 0.25172	0.058072	0.055578	0.052242	  1.0572	0.056285	-0.22875
Epha10	 0.12096	 0.12137	 0.16602	 0.38679	 0.12119	 0.14911	  1.1384	 0.16799	-0.10795
Rdh8	  0.10709	  0.10714	  0.13752	   0.3506	  0.10718	  0.10712	   1.1465	 0.050496	-0.044584
Hrnr	  0.25703	 0.086952	 0.089274	 0.092103	  0.28693	 0.086272	   1.0382	 0.045615	-0.038358
Klk1b4	   0.3385	 0.084343	 0.086665	 0.089494	    0.087	 0.080835	   1.0723	 0.047126	-0.040241
Lefty2	  0.24701	 0.058095	 0.058181	 0.058102	  0.05819	 0.058059	   1.1723	 0.051929	-0.045999
Zdhhc11	 0.36218	 0.19727	 0.11494	 0.11525	 0.11497	 0.18003	  1.0272	0.055872	-0.05107
Cep104	-0.028177	  0.23976	   0.1198	0.0096457	 -0.11468	 0.041658	   1.2462	  0.21263	 -0.13362
Klra14-ps	-0.0044815	 -0.004158	-0.0040455	-0.0034702	-0.0037191	-0.0039133	    1.2345	   0.36621	  -0.26312
Amer3	-0.15948	-0.15934	-0.15917	-0.15948	-0.15916	 0.12544	  1.0478	0.055775	 0.15281
Tmem72	 -0.1138	-0.11386	-0.11351	-0.11362	-0.11331	0.014982	  1.1107	0.061375	 0.19628
Htr1f	-0.080847	-0.078682	 -0.07636	-0.081265	  0.02219	-0.079361	   1.0462	 0.059151	  0.21839
Ppy	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689	   1.0008	-0.099399	  0.11546
Gm17019	-0.090465	  -0.0883	-0.085978	-0.083148	-0.090806	 0.086569	   1.1011	  0.04842	-0.041897
Svs2	-0.076462	 -0.14226	 -0.14191	  -0.1426	 -0.14187	 0.055775	   1.1254	 0.049525	-0.043322
Mypn	  -0.10978	  -0.10959	   -0.1094	-0.0078295	  -0.10939	  0.026069	     1.165	  0.051351	 -0.045701
Lypd2	-0.095463	-0.016923	-0.094683	 -0.09621	-0.094638	 -0.09521	   1.1465	 0.050496	-0.044584
Oas1f	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689	   1.0382	 0.045615	-0.038358
Th	-0.076575	-0.075094	 -0.07275	-0.074956	-0.077846	-0.075766	   1.1815	 0.060139	  0.10417
Got1l1	 -0.14071	 -0.13855	 -0.13623	 -0.13913	 -0.13589	 -0.13923	    1.057	 0.059375	-0.055871
Krt32	 -0.14071	 -0.13855	 -0.13623	 -0.13913	 -0.13589	 -0.13923	   1.1011	  0.04842	-0.041897
