	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage
A1cf	-0.822957080206752	-0.581120771636815	-0.822416247085828	0.00646985361430749	-0.834901780645597	-0.77043509788185
A2m	-0.00788544865530909	-0.00416319711641767	-0.00467175033654686	0.000988234143805427	-0.00426055225256435	0.088793795735923
A3galt2	0.996376460684421	0.913584983573159	1.22496854314664	0.701004083636743	0.695114836417554	1.00437337667913
A4galt	0.528401096382129	1.01707788818953	0.410838195067177	0.795703452962381	1.1269830882404	1.07830850878803
A4gnt	-0.303241181711336	-0.301336803815805	-0.300641193202526	-0.30264919217461	-0.294727045994648	-0.30293382761099
Aaas	-1.35238594690147	-0.729003451977107	-1.01550933375666	-0.478382158449615	-1.06129431756628	-1.23427077361209
Aacs	-0.034665510532377	-0.586660421425137	0.0476385476678553	0.304752787250679	-0.136685292491798	0.112603043054597
Aadac	-0.396759044605868	-0.396669441889215	-0.39660217234431	-0.344344460499143	-0.396981914299611	-0.396676700712377
Aadacl3	-0.140713886146439	-0.141417155280954	-0.136226351411367	-0.136265724020731	-0.135891105488289	-0.139227549767181
Aadat	0.457104156458263	0.106127644129907	0.106532672687139	0.107043235641533	0.106574763876108	0.173631675787941
Aaed1	-0.311007285688325	-0.322411562665376	-0.367579426190172	-0.150195829669695	-0.160713324892442	-0.0834366436898267
Aagab	0.226042878772057	-0.233891212456221	-1.1372985645934	-0.708117365246967	-0.701519488809712	-0.631989943712773
Aak1	-0.275624365702547	-0.32188688977811	-0.577160588754944	-0.523559067486669	-0.0832186245748462	-0.377770680653222
Aamdc	-0.0398334365619608	-0.241536696658098	-0.684232387654008	-0.262393137507122	-1.29876379263951	-0.358553494439554
Aamp	-0.279379231045668	0.210428940426733	0.817480403942036	0.590128780280938	0.608866540170443	0.310324642161028
Aanat	0.736648302402416	1.78752933902226	1.25983993502048	2.30666552115973	0.741894999912447	1.44896392037624
Aar2	0.333489736811998	0.419388375551365	1.33827822292567	1.35777599540431	0.832288790283304	0.468135550281104
Aard	0.483903606741679	1.09569508476236	0.0265191038232757	0.614246825562024	0.835323187802006	0.57433991405302
Aars	-0.0869574896341691	-0.31793267859713	0.23927714799432	0.689557785733529	0.330546253548547	0.0622938682881371
Aars2	-0.0730761207190156	0.142314832157455	0.00250058274672989	-0.358141553748941	-1.16096362873613	-0.0518175065858283
Aarsd1	-0.610560765780792	-0.304816588660678	-0.527590852326667	-0.390001206658766	-0.831367003917077	-0.517473389023275
Aasdh	0.149369903192476	-0.443898488826962	-0.406665013258433	0.0733682918390363	0.158521823478912	0.202294043008827
Aasdhppt	0.15565559099903	0.441576106073716	0.158108672514228	0.258776423301931	0.813267160555571	0.170254579642
Aass	-0.0304151133209596	-0.0304713198421853	0.0197671865485365	-0.0296636012910534	-0.0299466880734643	0.192159913182871
Aatf	-0.627908982889769	-0.318553992422383	-0.236519439891977	-0.560869598477064	-0.267349276432133	-0.445561139412871
Aatk	0.424754244545906	0.282275151088699	-0.653196427547602	0.648920433549565	-0.360374846498177	0.238432825885124
Abat	0.382190184880294	0.0468456673104797	-0.0429762386050891	0.772617520739404	0.404767764466541	0.535916806901893
Abca1	2.02656002018464	3.52615958839555	2.9515458418281	2.31835406501508	1.31928414746067	1.86804623622707
Abca12	0.0578603965480418	0.0415587960847653	0.0295952887531195	0.0296184361535784	0.22298363220295	0.0863308656323869
Abca13	-0.78433755261847	-0.945174920343392	-1.05013851295561	-1.61581323737691	-0.0089117738474585	-0.50580044949918
Abca14	-0.13276558719835	-0.132582468433768	-0.132368085717208	-0.132480948408755	-0.132344818372094	-0.0493866532337353
Abca15	-0.192470158716515	-0.192585886936541	-0.1905415848864	-0.192715839925987	-0.190148592301258	-0.111358951851816
