	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage
Gpbp1	0.67716	0.32471	 1.2183	0.96896	 0.9092	0.75243
Smndc1	0.62141	0.33896	 1.1999	0.98608	0.84998	0.73285
Mir7013	0.66257	0.36836	 1.1267	 1.0011	0.75266	0.80426
Snord96a	0.53152	 0.4485	 1.1998	0.91284	0.84711	0.65629
Pdcd10	0.62958	0.39295	 1.1087	0.82045	 1.0413	0.65068
Ube2d2a	0.66242	 0.4987	 1.0404	0.96206	0.96514	0.75795
Arl5a	0.74036	0.29179	0.96362	 1.0317	0.73684	0.67022
Mob1b	 0.9364	 0.2057	 1.0291	0.94239	0.76251	 0.6312
Ireb2	 1.0333	0.50759	 0.9631	 1.0172	 1.0113	0.74696
Krit1	0.88694	0.52319	 1.1107	0.91651	0.88972	0.83931
Pdlim5	0.94522	0.54722	 1.0465	0.94249	0.97433	0.83149
Sypl	 1.0438	0.49752	0.97553	0.79432	0.77193	0.74858
Mier3	 1.0551	0.34598	 0.8395	 1.0086	 1.1175	 0.9193
A3galt2	0.99638	0.91358	  1.225	  0.701	0.69511	 1.0044
Armcx1	0.91554	0.76791	 1.2387	0.88548	0.89874	0.89983
Cdh19	0.82594	0.70572	 1.2206	 0.8356	 0.7192	0.95212
Cdca4	0.76308	0.40554	 1.2842	0.66056	0.80681	 1.0615
Cpne9	0.91234	0.42394	 1.2611	0.82316	0.81804	0.88723
Zbtb6	0.75811	0.36061	 1.1512	0.84143	0.91703	0.84622
Rasa1	0.74977	0.56257	 1.1034	0.69462	0.83291	0.72528
Zmym5	0.84127	0.59063	 1.0888	0.69564	0.73425	 0.9248
Kcnc3	0.73464	 0.6046	 1.2712	0.50164	 0.9878	0.87948
Nipsnap3a	0.56055	0.56451	 1.1639	0.57515	0.88147	0.94496
Caml	 1.0189	0.33625	 1.2009	0.79297	0.89868	0.55639
Scoc	 1.2542	0.27189	 1.0202	0.69608	0.78835	0.68097
Cnep1r1	 1.1426	0.24556	 1.0448	0.80435	0.56193	0.68918
Sirt1	  1.029	0.32795	 1.0003	0.94429	0.43462	0.69421
Acsl3	0.26069	0.57805	 1.3381	0.74794	0.66413	0.88388
Nr1i2	0.36612	0.59333	 1.3395	0.62971	0.94563	0.74083
Arl8a	 0.5321	 0.4402	 1.1366	0.39735	0.52722	0.74495
Gm4532	0.40808	0.46331	 1.0894	0.32437	 0.7275	0.87247
Adprm	0.70687	0.68044	 1.2793	0.71606	0.71718	0.36803
Lrig1	  0.703	0.57853	 1.1242	0.81441	0.75899	0.43047
Glul	 0.5394	0.74703	 1.0862	 0.7605	 0.3992	 0.4218
Hgs	0.56653	0.66814	   1.11	0.76796	 0.5327	0.66068
Nav3	0.55418	0.64583	 1.1517	0.63475	0.40626	0.60004
Gna13	0.59381	0.48969	 1.0428	0.67443	0.61022	0.51085
Rock2	0.43081	0.51654	  1.009	0.77346	0.54765	0.57451
Styk1	0.35991	0.54272	 1.0634	0.70066	0.72463	0.42528
Mtmr7	0.47876	0.46756	 1.0149	0.51474	0.39425	0.33388
Rap2c	0.51621	0.52364	 1.1325	 0.6506	0.35458	0.35072
Atp1b3	0.80542	 0.4127	 1.1768	0.71531	0.45168	0.61088
Cbll1	0.65425	 0.3141	 1.1947	0.67673	0.58447	0.56305
Msl2	0.59004	0.28927	 1.1105	 0.7297	0.77246	0.68739
Pgs1	0.67642	 0.2452	 1.0245	0.72469	 0.6511	0.65125
Crtap	0.74643	0.18691	 1.1132	 0.5728	0.73498	0.40566
Rb1cc1	0.68763	 0.3716	 1.0031	0.44013	0.57126	0.53913
Vcpip1	0.65175	0.20855	 1.0981	0.83571	0.53905	0.35812
Zdhhc1	0.92457	0.36141	 1.1076	0.70321	0.39172	0.36842
Gif	0.64283	0.17727	 1.2842	0.53559	0.54716	0.48715
Stom	 0.53052	0.044593	  1.2737	 0.42045	  0.4558	 0.47113
Adam1a	0.82218	0.31966	 1.2887	0.47704	0.64782	0.74663
Ssh3	0.66951	0.36128	 1.5676	0.55774	0.48889	0.84138
Ankrd9	0.80975	0.59288	 1.2742	0.59306	0.51873	 0.7402
Rab15	 0.8029	0.58309	 1.1291	0.68294	0.36574	0.94005
Lgals3	0.90258	0.43557	 1.1872	0.33319	0.40502	 1.1156
Vsig10l	0.70833	0.18917	 1.2397	0.56484	0.22849	 1.0579
Abhd5	0.52442	0.84448	0.78214	 1.1879	0.70602	0.45222
Spin1	0.33067	0.76106	0.79874	 1.0257	0.78342	0.53482
Gm16062	0.70939	0.89976	0.79419	 1.1009	0.86976	0.69888
Gm5434	0.58813	0.69332	 0.8853	 1.1711	0.83358	0.67031
Kdm5c	0.57883	0.75581	 1.0075	 1.0522	0.88437	0.66024
Cd59a	0.29073	 1.0055	 1.0092	 1.3597	 0.7842	0.67399
Nfkb2	0.15506	0.77945	0.98172	 1.2401	0.79443	0.76146
Evc	0.38122	 0.6737	 1.0507	  1.352	0.66803	0.85781
Syne2	0.48821	0.66659	 1.0329	 1.4398	0.75551	0.96225
Mettl6	0.39688	0.64425	0.91952	 1.2781	0.78458	0.84805
Usp42	0.47934	0.67687	0.85587	 1.3039	0.68947	 0.7996
Ago3	0.41949	0.72918	 1.1587	 1.0934	0.67565	0.62971
Bet1l	  0.304	0.69583	 1.0429	 1.0216	 0.5305	0.76704
Stxbp3a	0.37565	0.72404	  1.138	0.95773	0.62408	  0.724
Stxbp3b	0.52257	0.70773	 1.1631	 1.0552	0.71712	0.82973
Tma16	0.58677	0.65996	 1.2721	 1.1264	0.59414	 0.8407
Gdf11	0.47088	0.75164	 1.0371	0.73076	0.56296	0.88641
Zfp78	0.31879	0.92678	 1.2042	0.84679	0.71581	0.89182
Dnajc14	0.58485	0.82588	 1.0206	 1.2909	0.44988	0.90754
Lpar4	0.42032	0.78587	 1.0075	 1.2349	0.50971	0.89367
Kdm5b	0.50857	0.75102	0.88812	 1.3587	0.35437	0.72279
Sertad2	 0.6783	0.53761	0.94355	 1.0623	0.50227	0.81136
Sgpl1	0.58839	0.59139	0.93787	 1.2804	0.50548	0.86917
Eif6	0.43836	0.62946	 1.0504	  1.158	0.26337	0.78721
Pfkp	0.48448	0.53158	 1.0403	 1.0202	0.29641	0.78168
Atmin	0.81513	0.67521	 1.1152	 1.2703	 0.7969	0.14802
Ifnar1	0.61084	0.75692	 1.1065	0.94241	0.55557	0.23688
Mmp17	0.69068	0.83117	0.87571	 1.0669	0.62053	0.25218
Cand1	0.59718	0.27849	0.93636	 1.2836	0.65732	0.54616
Ddx6	 0.6289	0.55582	0.99083	 1.1564	0.70482	0.53049
Trmt44	0.58351	0.49636	 0.8774	 1.1454	0.69712	0.60589
Med13	0.50057	0.46227	0.97905	 1.1044	0.72288	0.66099
Zswim8	0.53326	0.40547	0.96358	 1.0022	0.68132	0.61253
