	Dmrta1	E2f7	Ebf1	Egr2	Egr3	Elk3	Foxk1	Ikzf1	Klf8	Maz	Mlx	Mzf1	Nfyb	Nr3c1	Pparg	Runx2	Tfap4	Tfeb	Zbtb14	Zbtb7b	Zfp143
1600002k03rik	0	0	0	0	0	0	0	0	0	1.5	0	0	1.5	0	0	0	0	0	0	0	1.5
2210417a02rik	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
2310003h01rik	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
2410002f23rik	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0
2410127l17rik	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0
2810006k23rik	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	1.5	0	0
4921507p07rik	0	0	0	-1.5	0	0	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	-1.5	-1.5
4930563e22rik	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5
4930581f22rik	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5	0	0	0	0
4930592i03rik	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5
4933427d14rik	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5
6430571l13rik	0	0	0	1.5	1.5	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	1.5
9430083a17rik	0	0	0	-1.5	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5
A330023f24rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
Aa388235	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
Abca5	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	-1.5	-1.5	-1.5
Abcb1a	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
Abcd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5
Acpt	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0
Acsl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Actn1	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5
Adam8	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0
Adap1	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adh1	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aebp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0
Afmid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Agpat2	0	0	0	1.5	1.5	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	1.5
Agrn	0	0	0	-1.5	0	0	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	-1.5	-1.5
Agrp	0	0	0	0	0	0	-1.0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	-1.5
Airn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0
Alpk1	0	0	0	-0.5	-0.5	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
Ampd3	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	-1.0	0	0	0	0	0	0
Ank	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Ankrd13b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5
Ano1	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anp32a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Antxr2	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anxa2	0	0	0	1.5	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5
Ap1m2	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0
App	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ar	0	0	0	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5
Arap2	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap29	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	1.5	0	0	0	0	0	-0.5	0
Arhgef10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
Arl13b	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Armcx3	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0	0	0
Armcx6	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0	0	0
Arrb2	0	0	0	0	0	0	0	0	0	1.5	0	0	1.5	0	0	0	1.5	0	0	0	0
Arrdc4	0	0	1.5	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0
Asph	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
Astl	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg2a	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	-1.0	0	0	0	0	0	0
Atp1a2	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1g2	0	0	0	0	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0
Aw011738	0	0	0	-1.5	0	0	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	-1.5	-1.5
Aw112010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0
Axin2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5	0
Bak1	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
Banf1	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0
Bc033916	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Bcap29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5
Bcar1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
Bend3	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	-1.5
Birc5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Bola2	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	1.5	0
Brf2	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0
Btbd16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
C1qtnf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5
Cacna1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0
Cacna1f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.5	0	0	0	0	0
Cadm1	0	0	0	-1.5	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	0
Camk2g	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0
Capn3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0
Car2	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Car5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Cask	0	0	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	-0.5	-0.5
Ccdc12	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	1.5
Ccdc30	0	0	0	0	0	0	0	0	0	-1.5	-0.5	0	0	0	0	0	0	-0.5	0	-1.5	0
Ccdc51	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0
Ccdc57	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5	0
Ccnd3	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	0	1.5	1.5
Ccr8	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1.5	0	0	0	0	0	0
Cd3d	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Cd3g	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Cd83	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0
Cdh10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0
Cdk1	0	0.5	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0
Cdkn2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Cenpi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
Cenpm	0	0	0	1.5	1.5	0	0	0	0	0	0	0	1.5	0	0	0	1.5	0	0	1.5	0
Chd3	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	0
Chst15	0	0	0	-0.5	0	0	0	0	1.5	-0.5	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5
Chsy1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
Cirbp	0	0	0	0	0	0	0	0	0	-1.5	0	0	-1.5	0	0	0	0	0	0	0	-1.5
Cisd3	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0
Cish	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Cmtm6	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5	0	0
Cmtm7	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	1.5	0	1.5	1.5	0
Cmtm8	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	-1.5	0
Cnnm2	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	0
Cnnm4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0
Cntln	1.0	0	0	0	0	0	0	0	0	-0.5	0	0	0	1.5	0	-0.5	0	0	-0.5	-0.5	-0.5
Coasy	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0
Col23a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	-1.5
Commd5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Copz2	0	0	0	-1.5	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coro1a	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	1.5	0
