Regulator	Target	Weight
Maz	1600002k03rik	1.5
Nfyb	1600002k03rik	1.5
Zfp143	1600002k03rik	1.5
Elk3	2210417a02rik	1.5
Zfp143	2210417a02rik	1.5
Egr3	2310003h01rik	-1.5
Zfp143	2310003h01rik	-1.5
Elk3	2410002f23rik	-1.5
Zbtb7b	2410002f23rik	-1.5
Egr2	2410127l17rik	-1.5
Elk3	2410127l17rik	-1.5
Zbtb14	2410127l17rik	-1.5
Egr2	2810006k23rik	1.5
Nfyb	2810006k23rik	1.5
Zbtb14	2810006k23rik	1.5
Egr2	4921507p07rik	-1.5
Maz	4921507p07rik	-1.5
Mzf1	4921507p07rik	-1.5
Zbtb7b	4921507p07rik	-1.5
Zfp143	4921507p07rik	-1.5
Egr2	4930563e22rik	-1.5
Elk3	4930563e22rik	-1.5
Zbtb7b	4930563e22rik	-1.5
Zfp143	4930563e22rik	-1.5
Nfyb	4930581f22rik	1.5
Tfap4	4930581f22rik	1.5
Egr2	4930592i03rik	-0.5
Egr3	4930592i03rik	-0.5
Zbtb14	4930592i03rik	-0.5
Zbtb7b	4930592i03rik	-0.5
Zfp143	4930592i03rik	-0.5
Egr2	4933427d14rik	-1.5
Elk3	4933427d14rik	-1.5
Zbtb7b	4933427d14rik	-1.5
Zfp143	4933427d14rik	-1.5
Egr2	6430571l13rik	1.5
Egr3	6430571l13rik	1.5
Nfyb	6430571l13rik	1.5
Zfp143	6430571l13rik	1.5
Egr2	9430083a17rik	-1.5
Egr3	9430083a17rik	-1.5
Zbtb7b	9430083a17rik	-1.5
Zfp143	9430083a17rik	-1.5
Pparg	A330023f24rik	1.5
Maz	Aa388235	1.5
Maz	Abca5	-1.5
Zbtb14	Abca5	-1.5
Zbtb7b	Abca5	-1.5
Zfp143	Abca5	-1.5
Mzf1	Abcb1a	-0.5
Zbtb14	Abcd3	-0.5
Zbtb7b	Abcd3	-0.5
Zfp143	Abcd3	-0.5
Elk3	Acpt	-1.5
Zbtb7b	Acpt	-1.5
Zbtb7b	Acsl3	-0.5
Zfp143	Acsl3	-0.5
Egr2	Actn1	-0.5
Egr3	Actn1	-0.5
Zbtb14	Actn1	-0.5
Zbtb7b	Actn1	-0.5
Zfp143	Actn1	-0.5
Nfyb	Adam8	1.5
Zbtb7b	Adam8	1.5
Elk3	Adap1	1.5
Elk3	Adh1	-0.5
Runx2	Aebp1	-1.5
Zfp143	Afmid	1.5
Egr2	Agpat2	1.5
Egr3	Agpat2	1.5
Maz	Agpat2	1.5
Zbtb7b	Agpat2	1.5
Zfp143	Agpat2	1.5
Egr2	Agrn	-1.5
Maz	Agrn	-1.5
Mzf1	Agrn	-1.5
Zbtb7b	Agrn	-1.5
Zfp143	Agrn	-1.5
Foxk1	Agrp	-1.0
Maz	Agrp	-1.5
Zbtb7b	Agrp	-1.5
Zfp143	Agrp	-1.5
Runx2	Airn	-0.5
Egr2	Alpk1	-0.5
Egr3	Alpk1	-0.5
Elk3	Alpk1	-0.5
Maz	Alpk1	-0.5
Klf8	Ampd3	0.5
Nr3c1	Ampd3	0.5
Pparg	Ampd3	-1.0
Zbtb7b	Ank	-0.5
Zfp143	Ank	-0.5
Zbtb7b	Ankrd13b	1.5
Zfp143	Ankrd13b	1.5
Egr3	Ano1	-1.5
Tfap4	Anp32a	1.5
Elk3	Antxr2	-1.5
Egr2	Anxa2	1.5
Mzf1	Anxa2	1.5
Zfp143	Anxa2	1.5
Maz	Ap1m2	-1.5
Egr2	App	-0.5
Egr2	Ar	-0.5
Egr3	Ar	-0.5
Maz	Ar	-0.5
Zfp143	Ar	-0.5
Egr2	Arap2	-0.5
Ebf1	Arhgap29	1.5
Klf8	Arhgap29	1.5
Nr3c1	Arhgap29	1.5
Zbtb7b	Arhgap29	-0.5
Zfp143	Arhgef10	-0.5
Maz	Arl13b	-0.5
Zbtb7b	Arl13b	-0.5
Zfp143	Arl13b	-0.5
Mlx	Armcx3	-0.5
Tfeb	Armcx3	-0.5
Mlx	Armcx6	-0.5
Tfeb	Armcx6	-0.5
Maz	Arrb2	1.5
Nfyb	Arrb2	1.5
Tfap4	Arrb2	1.5
Ebf1	Arrdc4	1.5
Egr2	Arrdc4	-0.5
Maz	Arrdc4	-0.5
Zbtb7b	Arrdc4	-0.5
Egr2	Asph	-0.5
Egr3	Asph	-0.5
Zbtb7b	Asph	-0.5
Egr2	Astl	1.5
Nfyb	Atg2a	-1.5
Pparg	Atg2a	-1.0
Egr2	Atp1a2	-1.5
Elk3	Atp6v1g2	1.5
Maz	Atp6v1g2	1.5
Zbtb7b	Atp6v1g2	1.5
Egr2	Aw011738	-1.5
Maz	Aw011738	-1.5
Mzf1	Aw011738	-1.5
Zbtb7b	Aw011738	-1.5
Zfp143	Aw011738	-1.5
Zbtb7b	Aw112010	1.5
Zbtb14	Axin2	-1.5
Zbtb7b	Axin2	-1.5
Maz	Bak1	1.5
Egr2	Banf1	1.5
Zbtb7b	Banf1	1.5
Klf8	Bc033916	-0.5
Zbtb7b	Bcap29	1.5
Zfp143	Bcap29	1.5
Zfp143	Bcar1	-1.5
Maz	Bend3	-1.5
Zbtb7b	Bend3	-1.5
Zfp143	Bend3	-1.5
Zfp143	Birc5	1.5
Mlx	Bola2	1.5
