Regulator	Target	Weight
Bach1	0610031j06rik	-1.5
Fos	0610031j06rik	-0.5
Maf	0610031j06rik	-1.5
Mef2c	0610031j06rik	-1.5
Nfe2	0610031j06rik	-1.5
Mef2c	1110034g24rik	1.5
Six5	1110034g24rik	1.5
Tcf7l1	1110034g24rik	1.5
Tcf7l2	1110034g24rik	1.5
Six5	1110037f02rik	1.5
Zfp105	1110037f02rik	1.5
Atf3	1700019b03rik	1.5
Fos	1700019b03rik	1.5
Hey1	1700019b03rik	1.5
Klf4	1700019b03rik	1.5
Klf5	1700019b03rik	1.5
Six5	1700019b03rik	1.5
Tbx2	1700019b03rik	1.5
Atf3	2310030g06rik	1.5
Fos	2310030g06rik	1.5
Mxi1	2310030g06rik	1.5
Nfib	2310030g06rik	0.5
Klf4	2700099c18rik	1.5
Elf1	4931440p22rik	1.5
Epas1	4931440p22rik	1.5
Foxo3	4931440p22rik	1.5
Nfib	4931440p22rik	0.5
Pax5	4931440p22rik	1.5
Mef2c	4932438a13rik	1.5
Erg	Abcb1a	0.5
Nfe2	Abcb1a	1.0
Pou4f1	Abcb1a	1.5
Atf3	Abcb1b	1.5
Creb3l4	Abcb1b	1.5
Creb5	Abcb1b	1.5
Crem	Abcb1b	1.5
Fos	Abcb1b	1.5
Hey1	Abcb1b	1.5
Nr2f2	Abcb1b	0.5
Fos	Abcb8	-0.5
Gata2	Abcb8	-1.5
Pax5	Abcb8	-0.5
Pknox2	Abcb8	-1.5
Rora	Abcb8	-0.5
Sox15	Abcb8	-1.5
Sox8	Abcb8	-1.0
Atf3	Ablim3	1.5
Bach1	Ablim3	1.5
Dbp	Ablim3	1.5
Foxa1	Ablim3	1.5
Hlf	Ablim3	0.5
Meis2	Ablim3	1.5
Nfe2	Ablim3	1.0
Nfil3	Ablim3	0.5
Pknox2	Ablim3	1.5
Tef	Ablim3	1.5
Zfp105	Ablim3	1.5
Elf1	Acad10	0.5
Hinfp	Acad10	0.5
Pax5	Acad10	0.5
Atf3	Acoxl	1.5
Bach1	Acoxl	1.5
Crem	Acoxl	1.5
Erg	Acoxl	1.5
Fos	Acoxl	1.5
Gata2	Acoxl	1.5
Zeb1	Acoxl	0.5
Epas1	Actg2	1.5
Mxi1	Actg2	1.5
Pax5	Actg2	1.5
Nr3c1	Actn2	1.5
Pax6	Actn2	1.0
Fos	Adam19	-0.5
Foxa1	Adam19	-1.5
Gata2	Adam19	-1.5
Maf	Adam19	-1.5
Rora	Adam19	-0.5
Mxi1	Adamts17	1.5
Fos	Adh4	1.5
Six5	Adh4	1.5
Elf1	Adrb2	1.5
Erg	Adrb2	1.5
Gata2	Adrb2	1.5
Mef2c	Adrb2	1.5
Pax5	Adrb2	1.5
Meis2	Ahr	1.5
Foxo1	Ahrr	1.5
Klf4	Ahrr	1.5
Klf5	Ahrr	1.5
Pax5	Ahrr	1.5
Fos	Aig1	1.5
Fosb	Aig1	1.5
Foxo1	Aig1	1.5
Foxo3	Aig1	1.5
Mef2c	Aig1	1.5
Sox8	Aig1	1.5
Atf3	Aldh7a1	1.5
Creb3l4	Aldh7a1	1.5
Creb5	Aldh7a1	1.5
Crem	Aldh7a1	1.5
Ebf1	Aldh7a1	0.5
Hey1	Aldh7a1	1.5
Hinfp	Aldh7a1	1.5
Klf4	Aldh7a1	1.5
Klf5	Aldh7a1	1.5
Klf8	Aldh7a1	1.5
Klf8	Ampd3	0.5
Nr3c1	Ampd3	0.5
Atf3	Ankrd12	1.5
Bach1	Ankrd12	1.5
Elf1	Ankrd12	1.5
Epas1	Ankrd12	1.5
Fos	Ankrd12	1.5
Fosb	Ankrd12	1.5
Foxo1	Ankrd12	1.5
Foxo3	Ankrd12	1.5
Gata2	Ankrd12	1.5
Id4	Ankrd12	1.5
Meis2	Ankrd12	1.5
Nfe2	Ankrd12	1.0
Nr2f2	Ankrd12	0.5
Nr3c1	Ankrd12	1.5
Pax5	Ankrd12	1.5
Pknox2	Ankrd12	1.5
Sox8	Ankrd12	1.5
Tbr1	Ankrd12	0.5
Tbx2	Ankrd12	1.5
Tcf7l1	Ankrd12	1.5
Tcf7l2	Ankrd12	1.5
Zeb1	Ankrd12	0.5
Dbp	Ankrd6	1.5
Elf1	Ankrd6	1.5
Gata2	Ankrd6	1.5
Hey1	Ankrd6	1.5
Klf4	Ankrd6	1.5
Klf5	Ankrd6	1.5
Klf8	Ankrd6	1.5
Nfib	Ankrd6	0.5
Nfil3	Ankrd6	0.5
Pax5	Ankrd6	1.5
Six5	Ankrd6	1.5
Fos	Anp32b	-0.5
Elf1	Antxr2	1.5
Erg	Antxr2	1.5
Foxa1	Antxr2	1.5
Gata2	Antxr2	1.5
Ebf1	Aplp2	0.5
Gata2	Aplp2	0.5
Nr3c1	Aplp2	0.5
Foxa1	Arhgap10	1.5
Foxo1	Arhgap10	1.5
Nr3c1	Arhgap10	1.5
Zfp105	Arhgap10	1.5
Ebf1	Arhgap29	1.5
Klf8	Arhgap29	1.5
Nr3c1	Arhgap29	1.5
Ebf1	Arrdc4	1.5
Ebf1	Art3	0.5
Gata2	Art3	1.5
Nfe2	Art3	1.0
Nr3c1	Asap2	1.5
Fos	Asb2	1.5
Fosb	Asb2	1.5
Gata2	Asb2	1.5
Mef2c	Asb2	1.5
Fos	Asl	-0.5
Gata2	Asl	-1.5
Mef2c	Asl	-1.5
Atf3	Asph	1.5
Ebf1	Asph	0.5
Elf1	Asph	1.5
Hey1	Asph	1.5
Hic1	Asph	0.5
Klf4	Asph	1.5
Klf5	Asph	1.5
Klf8	Asph	1.5
Nr3c1	Asph	1.5
Atf3	Atp1b1	0.5
Hey1	Atp1b1	0.5
Nr3c1	Atp1b1	0.5
Klf8	Atp6v1g3	0.5
Atf3	Atp8a2	1.5
Bach1	Atp8a2	1.5
Crem	Atp8a2	1.5
Ets2	Atp8a2	1.5
Fosb	Atp8a2	1.5
Hey1	Atp8a2	1.5
Mef2c	Atp8a2	1.5
Sox8	Atp8a2	1.5
Gata2	Atp8b4	-0.5
Gata2	Atxn7l1	-0.5
Mef2c	Atxn7l1	-1.5
Sox15	Atxn7l1	-1.5
Sox8	Atxn7l1	-1.0
Atf3	B4galt4	1.5
Elf1	B4galt4	1.5
Epas1	B4galt4	1.5
Hey1	B4galt4	1.5
Hinfp	B4galt4	1.5
Zeb1	B4galt4	0.5
Foxa1	Bach1	1.5
Zeb1	Bach1	0.5
Klf8	Bc033916	-0.5
Bach1	Bc035044	1.5
Fos	Bc035044	1.5
Foxo1	Bc035044	1.5
Klf4	Bc035044	1.5
Klf5	Bc035044	1.5
Klf8	Bc035044	1.5
Nfe2	Bc035044	1.0
Tcf7l2	Bc035044	1.5
Gata2	Bcap29	-0.5
Mef2c	Bcap29	-0.5
Nfe2	Bcap29	-0.5
Sox15	Bcap29	-0.5
Gata2	Bcl2l1	-1.5
Rora	Bcl2l1	-0.5
Elf1	Bcl2l11	0.5
Gata2	Bcl2l11	0.5
Mef2c	Bcl2l11	0.5
Nr3c1	Bcl2l11	0.5
Pax5	Bcl2l11	0.5
Zfp105	Bcl2l11	0.5
Elf1	Bean1	1.5
Erg	Bean1	1.5
Ets2	Bean1	1.5
Fos	Bean1	1.5
Foxa1	Bean1	1.5
Gata2	Bean1	1.5
Pax5	Bean1	1.5
Atf3	Bmp7	0.5
Hic1	Bmp7	0.5
Hoxa3	Bmp7	0.5
Pax5	Bmp7	0.5
Foxa1	Boc	1.5
Foxo3	Boc	1.5
Hoxa3	Boc	0.5
Elf1	Cables1	1.5
Erg	Cables1	1.5
Ets2	Cables1	1.5
Fos	Cables1	1.5
Foxo3	Cables1	0.5
Gata2	Cables1	1.5
Mxi1	Cables1	1.5
Nfe2	Cables1	1.0
Nr2f2	Cables1	0.5
Pax5	Cables1	1.5
Six5	Cables1	1.5
Sox8	Cacnb4	0.5
Tbr1	Cacnb4	0.5
Tbx2	Cacnb4	0.5
Tbx3	Cacnb4	0.5
Bach1	Camk2g	-1.5
Fos	Camk2g	-0.5
Gata2	Camk2g	-0.5
Nfe2	Camk2g	-1.5
Nr3c1	Capn3	1.5
Klf4	Car2	0.5
Klf5	Car2	0.5
Klf8	Car2	0.5
Nr3c1	Car2	1.5
Tcf7l1	Car2	1.5
Tcf7l2	Car2	1.5
Bach1	Cask	1.5
Fos	Cask	1.5
Hic1	Cask	0.5
Mef2c	Cask	1.5
Nfe2	Cask	1.0
Sox8	Cask	1.5
Atf3	Cblb	0.5
Elf1	Cblb	0.5
Mef2c	Cblb	1.5
Sox8	Cblb	1.5
Zfp105	Cblb	1.5
Hoxa3	Cc2d2a	0.5
Zfp105	Cc2d2a	1.5
Meis2	Ccdc53	-0.5
Pknox2	Ccdc53	-0.5
Epas1	Ccr9	1.5
Fos	Ccr9	1.5
Foxa1	Ccr9	1.5
Gata2	Ccr9	1.5
Mef2c	Ccr9	1.5
Nr2f2	Ccr9	0.5
Tcf7l1	Ccr9	1.5
Gata2	Cd101	-1.5
Pax5	Cd101	-0.5
Maf	Cd2	-0.5
Erg	Cd22	0.5
Gata2	Cd22	0.5
Sox8	Cd22	0.5
Fosb	Cd226	-1.5
Gata2	Cd226	-1.5
Tbr1	Cd226	-0.5
Ebf1	Cd27	0.5
Foxo1	Cd27	0.5
Bach1	Cd47	-1.5
Fos	Cd47	-0.5
Foxa1	Cd47	-1.5
Pax5	Cd47	-0.5
Smad1	Cd47	-1.5
Maf	Cd48	-1.5
Nr3c1	Cd83	1.5
Fos	Cdc14a	-0.5
Gata2	Cdc14a	-1.5
Maf	Cdc14a	-1.5
Nfe2	Cdc14a	-1.5
Pax5	Cdc14a	-0.5
Meis1	Cdyl2	-0.5
Meis2	Cdyl2	-0.5
Pknox2	Cdyl2	-1.5
Ets2	Chic1	1.5
Gata2	Chic1	1.5
Mef2c	Chic1	1.5
Klf8	Chst15	1.5
Epas1	Cnksr3	0.5
Hoxa3	Cnksr3	0.5
Dmrta1	Cntln	1.0
Nr3c1	Cntln	1.5
Bach1	Col15a1	1.5
Elf1	Col15a1	1.5
Fos	Col15a1	1.5
Nfe2	Col15a1	1.0
Nfib	Col15a1	0.5
Nr3c1	Col15a1	1.5
Sox15	Col15a1	1.5
Sox4	Col15a1	1.5
Sox8	Col15a1	1.5
Zeb1	Col15a1	0.5
Atf3	Col4a2	1.5
Erg	Col4a2	1.5
Gata2	Col4a2	1.5
Nfe2	Col4a2	1.0
Zeb1	Col4a2	0.5
Mef2c	Coro2a	-1.5
Tef	Coro2a	-0.5
Ebf1	Cpeb2	0.5
Fos	Crcp	-0.5
Gata2	Crcp	-1.5
Mef2c	Crcp	-1.5
Atf3	Crim1	0.5
Crem	Crim1	0.5
Ebf1	Crim1	2.0
Elf1	Crim1	0.5
Epas1	Crim1	0.5
Erg	Crim1	0.5
Ets2	Crim1	0.5
Fos	Crim1	0.5
Fosb	Crim1	0.5
Foxo1	Crim1	0.5
Gata2	Crim1	0.5
Hey1	Crim1	0.5
Hic1	Crim1	0.5
Mef2c	Crim1	0.5
Nr3c1	Crim1	2.0
Pax5	Crim1	0.5
Zeb1	Crim1	0.5
Zfp105	Crim1	0.5
Klf8	Cryba4	-0.5
Elf1	Ctla4	1.5
Erg	Ctla4	1.5
Mxi1	Ctla4	1.5
Nr3c1	Ctla4	1.5
Pax5	Ctla4	1.5
Ebf1	Cul9	0.5
Bach1	Cytip	1.5
Elf1	Cytip	1.5
Fos	Cytip	1.5
Mef2c	Cytip	1.5
Nfe2	Cytip	1.0
Tbx3	Cytip	0.5
Bach1	D16ertd472e	1.5
Fos	D16ertd472e	1.5
Fosb	D16ertd472e	1.5
Nfe2	D16ertd472e	1.0
Nr2f2	D16ertd472e	0.5
Pax5	D16ertd472e	1.5
Pax6	D16ertd472e	1.0
Sox4	D16ertd472e	1.5
Sox8	D16ertd472e	1.5
Fos	Dap	-0.5
Atf3	Dcbld1	1.5
Ebf1	Dcbld1	0.5
Fos	Dcbld1	1.5
Hey1	Dcbld1	1.5
Hic1	Dcbld1	0.5
Klf4	Dcbld1	1.5
Klf5	Dcbld1	1.5
Klf8	Dcbld1	1.5
Nr3c1	Dclk2	1.5
Atf3	Deptor	1.5
Fos	Deptor	1.5
Klf4	Deptor	1.5
Klf5	Deptor	1.5
Klf8	Deptor	1.5
Nr3c1	Deptor	1.5
Rora	Dgkg	-0.5
Mef2c	Dgkh	-0.5
Pax5	Dguok	-0.5
Atf3	Dixdc1	1.5
Fos	Dixdc1	1.5
Mxi1	Dixdc1	1.5
Nfib	Dixdc1	0.5
Atf3	Dleu2	0.5
Elf1	Dleu2	0.5
Hic1	Dleu2	0.5
Pax5	Dleu2	0.5
Tef	Dnajc18	1.5
Elf1	Dnase1l3	0.5
Erg	Dnase1l3	0.5
Ets2	Dnase1l3	0.5
Gata2	Dnase1l3	0.5
Pax5	Dnase1l3	0.5
Ebf1	Dtx1	0.5
Mxi1	Dtx1	1.5
Nfe2	Dtx1	1.0
Elf1	Dusp10	0.5
Ebf1	E130112n10rik	0.5
