Regulator	Target	Weight
Zbtb7b	0610031j06rik	1.5
Maz	1600002k03rik	1.5
Mzf1	1600002k03rik	1.5
Tfap4	1600002k03rik	1.5
Zbtb14	1600002k03rik	1.5
Zbtb7b	1600002k03rik	1.5
Zfp143	1600002k03rik	1.5
Egr2	1700001p01rik	-1.5
Egr3	1700001p01rik	-1.5
Maz	1700001p01rik	-1.5
Mlx	1700001p01rik	-1.5
Rbpj	1700001p01rik	-1.5
Tfeb	1700001p01rik	-1.5
Vdr	1700012b07rik	1.0
Egr2	1700067k01rik	-1.5
Egr3	1700067k01rik	-1.5
Maz	1700067k01rik	-1.5
Zbtb7b	1700067k01rik	-1.5
Zfp143	1700067k01rik	-1.5
Runx2	1810058i24rik	1.5
Elk3	2210417a02rik	1.5
Zfp143	2210417a02rik	1.5
Egr3	2310003h01rik	-1.5
Zfp143	2310003h01rik	-1.5
Rorc	2310007l24rik	1.5
Rara	2310030g06rik	-1.5
Tbx21	2310030g06rik	-1.5
Maz	2810006k23rik	1.5
Rara	2810006k23rik	1.5
Elk3	2900005j15rik	-1.5
Zbtb14	2900005j15rik	-1.5
Zfp143	2900005j15rik	-1.5
Egr2	2900041m22rik	1.5
Egr3	2900041m22rik	1.5
Nfyb	2900041m22rik	1.5
Runx2	4732471j01rik	-1.5
Egr2	4930486l24rik	1.5
Runx2	4930486l24rik	1.5
Pparg	4930550c14rik	-0.5
Egr2	4930563e22rik	-1.5
Elk3	4930563e22rik	-1.5
Zbtb7b	4930563e22rik	-1.5
Zfp143	4930563e22rik	-1.5
Egr2	4930581f22rik	1.5
Nfyb	4930581f22rik	1.5
Tfap4	4930581f22rik	1.5
Pparg	4931440p22rik	-0.5
Runx2	4932438h23rik	-1.5
Egr2	4933427d14rik	-1.5
Elk3	4933427d14rik	-1.5
Zbtb7b	4933427d14rik	-1.5
Zfp143	4933427d14rik	-1.5
Elk3	4933427e11rik	-0.5
Rara	5430421n21rik	1.5
