Regulator	Target	Weight
Bach1	1110007c09rik	-0.5
Fos	1110007c09rik	-0.5
Fosb	1110007c09rik	-1.5
Mef2c	1110007c09rik	-1.5
Nfe2	1110007c09rik	-0.5
Ar	1110034g24rik	1.5
Dbp	1110034g24rik	1.5
Elf1	1110034g24rik	1.5
Ets2	1110034g24rik	1.5
Foxo1	1110034g24rik	1.5
Gata2	1110034g24rik	1.5
Hlf	1110034g24rik	1.5
Hnf1b	1110034g24rik	1.5
Hoxa3	1110034g24rik	1.5
Hoxb6	1110034g24rik	0.5
Mef2c	1110034g24rik	1.5
Meis1	1110034g24rik	1.5
Mitf	1110034g24rik	1.5
Nfil3	1110034g24rik	1.5
Six5	1110034g24rik	1.5
Tcf7l1	1110034g24rik	1.5
Tcf7l2	1110034g24rik	1.5
Tef	1110034g24rik	1.5
Thrb	1110034g24rik	1.5
Pax5	1110037f02rik	1.5
Six5	1110037f02rik	1.5
Sox15	1110037f02rik	1.5
Sox17	1110037f02rik	1.5
Tcf7l1	1110037f02rik	1.5
Tcf7l2	1110037f02rik	1.5
Zfp105	1110037f02rik	1.5
Vdr	1700012b07rik	1.0
Atf3	1700019b03rik	1.5
Fos	1700019b03rik	1.5
Hey1	1700019b03rik	1.5
Klf4	1700019b03rik	1.5
Klf5	1700019b03rik	1.5
Six5	1700019b03rik	1.5
Tbx2	1700019b03rik	1.5
Dbp	1700028k03rik	1.5
Foxo1	1700028k03rik	1.5
Foxo3	1700028k03rik	0.5
Hlf	1700028k03rik	1.5
Nfil3	1700028k03rik	1.5
Tef	1700028k03rik	1.5
Atf3	1700029i15rik	1.5
Klf5	1700029i15rik	1.5
Arnt2	1700034h15rik	0.5
Bach1	1700034h15rik	0.5
Fos	1700034h15rik	0.5
Nfe2	1700034h15rik	0.5
Tcf7l2	1700034h15rik	0.5
Rorc	2310007l24rik	1.5
Sox4	2410131k14rik	1.5
Arnt	2510009e07rik	1.0
Atf3	2510009e07rik	1.5
Bach1	2510009e07rik	1.5
Elf1	2510009e07rik	1.5
Epas1	2510009e07rik	1.5
Ets2	2510009e07rik	1.5
Gata2	2510009e07rik	1.5
Hey1	2510009e07rik	1.5
Nfe2	2510009e07rik	1.5
Nr3c1	2510009e07rik	1.5
Pax5	2510009e07rik	1.5
Dbp	2700099c18rik	1.5
Foxa1	2700099c18rik	1.5
Foxc1	2700099c18rik	1.5
Foxc2	2700099c18rik	1.5
Klf4	2700099c18rik	1.5
Mitf	2700099c18rik	1.5
Tef	2700099c18rik	1.5
Elf1	2810025m15rik	1.5
Fos	2810025m15rik	1.5
Hey1	2810025m15rik	1.5
Hic1	2810025m15rik	1.5
Nfe2	2810025m15rik	1.5
Hoxa3	2810459m11rik	1.5
Pax5	2810459m11rik	1.5
Nr3c1	3110057o12rik	-0.5
Sox17	3110057o12rik	-0.5
Elf1	4930503l19rik	1.5
Ets2	4930503l19rik	1.5
Fos	4930503l19rik	1.5
Fosb	4930503l19rik	1.5
Gata2	4930503l19rik	1.5
Hlf	4930503l19rik	1.5
Tef	4930503l19rik	1.5
Fos	4930538k18rik	1.5
Fosb	4930538k18rik	1.5
Mef2c	4930538k18rik	1.5
Fos	4930550c14rik	1.5
Foxc1	4930550c14rik	1.5
Foxc2	4930550c14rik	1.5
Foxf1	4930550c14rik	0.5
Mef2c	4930550c14rik	1.5
Nfe2	4930550c14rik	1.5
Pax5	4930550c14rik	1.5
Rora	4930550c14rik	1.5
Sox15	4930550c14rik	1.5
Sox17	4930550c14rik	1.5
Sox18	4930550c14rik	0.5
Sox4	4930550c14rik	1.5
Sox8	4930550c14rik	1.5
Ar	4930592i03rik	1.5
Atf3	4930592i03rik	1.5
Dbp	4930592i03rik	1.5
Ebf1	4930592i03rik	1.5
Elf1	4930592i03rik	1.5
Esr1	4930592i03rik	0.5
Fos	4930592i03rik	1.5
Gata2	4930592i03rik	1.5
Hes1	4930592i03rik	1.5
Hey1	4930592i03rik	1.5
Hlf	4930592i03rik	1.5
Klf4	4930592i03rik	1.5
Klf5	4930592i03rik	1.5
Klf8	4930592i03rik	1.5
Mef2c	4930592i03rik	1.5
Nr1d1	4930592i03rik	1.5
Nr3c1	4930592i03rik	1.5
Pax5	4930592i03rik	1.5
Rora	4930592i03rik	1.5
Tef	4930592i03rik	1.5
Nfe2	4931440p22rik	1.5
Tbx2	4931440p22rik	1.5
Arnt	4932438h23rik	1.0
Bach1	4932438h23rik	1.5
Creb5	4932438h23rik	1.5
Elf1	4932438h23rik	1.5
Ets2	4932438h23rik	1.5
Fos	4932438h23rik	1.5
Gata2	4932438h23rik	1.5
Nfe2	4932438h23rik	1.5
Foxc2	4933406i18rik	1.5
Nr1d1	4933406i18rik	1.5
Rora	4933406i18rik	1.5
Sox17	4933406i18rik	1.5
Nr3c1	5330426p16rik	-0.5
Arnt2	6330407a03rik	0.5
Hoxa3	6330407a03rik	1.5
Mef2c	6330407a03rik	1.5
Atf3	6430548m08rik	1.5
Creb3l4	6430548m08rik	1.5
Creb5	6430548m08rik	1.5
Crem	6430548m08rik	1.5
Esr1	6430548m08rik	0.5
Fos	8430408g22rik	1.5
Klf4	8430408g22rik	1.5
Atf3	9630013a20rik	1.5
Elf1	9630013a20rik	1.5
Epas1	9630013a20rik	1.5
Fos	9630013a20rik	1.5
Fosb	9630013a20rik	1.5
Hey1	9630013a20rik	1.5
Klf4	9630013a20rik	1.5
Klf5	9630013a20rik	1.5
Klf8	9630013a20rik	1.5
Mef2c	9630013a20rik	1.5
Plagl1	9630013a20rik	1.5
Six5	9630013a20rik	1.5
Gata2	9630028b13rik	1.5
Mef2c	9630028b13rik	1.5
Thra	9630028b13rik	0.5
Thrb	9630028b13rik	1.5
Nr1d1	A930007i19rik	0.5
Rora	A930007i19rik	0.5
Atf3	A930011g23rik	1.5
Ebf1	A930011g23rik	1.5
Elf1	A930011g23rik	0.5
Ets2	A930011g23rik	1.5
Fos	A930011g23rik	0.5
Foxc1	A930011g23rik	1.5
Foxc2	A930011g23rik	1.5
Foxf1	A930011g23rik	0.5
Foxo1	A930011g23rik	1.5
Gata2	A930011g23rik	1.5
Hey1	A930011g23rik	1.5
Mef2c	A930011g23rik	1.5
Mitf	A930011g23rik	1.5
Mxi1	A930011g23rik	1.5
Nfe2	A930011g23rik	1.5
Nr1d1	A930011g23rik	0.5
Nr3c1	A930011g23rik	0.5
Pax5	A930011g23rik	1.5
Rora	A930011g23rik	0.5
Elf1	Abcb1a	1.5
Ets2	Abcb1a	1.5
Foxa1	Abcb1a	1.5
Foxf1	Abcb1a	0.5
Hnf1b	Abcb1a	1.5
Meis1	Abcb1a	1.5
Nfe2	Abcb1a	1.5
Pou4f1	Abcb1a	1.5
Rora	Abcb1a	1.5
Sox18	Abcb1a	0.5
Tbx3	Abcb1a	0.5
Elf1	Abcb1b	1.5
Fos	Abcb1b	1.5
Fosb	Abcb1b	1.5
Foxf1	Abcb1b	0.5
Gata2	Abcb1b	1.5
Hnf1b	Abcb1b	1.5
Mef2c	Abcb1b	1.5
Nfil3	Abcb1b	1.5
Pax5	Abcb1b	1.5
Rfx2	Abcb1b	1.5
Tcf7l2	Abcb1b	1.5
Tef	Abcb1b	1.5
Elf1	Abcb4	1.5
Hey1	Abcb4	1.5
Hinfp	Abcb4	1.5
Nfe2	Abcb4	1.5
Ebf1	Abcc10	0.5
Esr1	Abcc10	0.5
Hic1	Abcc10	0.5
Nr1d1	Abcc3	1.5
Ar	Abcd2	1.5
Atf3	Abcd2	1.5
Creb3l4	Abcd2	1.5
Creb5	Abcd2	1.5
Fos	Abcd2	1.5
Mef2c	Abcd2	1.5
Mitf	Abcd2	1.5
Nfe2	Abcd2	1.5
Tbx2	Abcd2	1.5
Tcf7l1	Abcd2	1.5
Tcf7l2	Abcd2	1.5
Thrb	Abcd2	1.5
Meox2	Abcd3	1.5
Nfe2	Abcd3	1.5
Zfp105	Abcd3	1.5
Ar	Abi3bp	1.5
Creb3l4	Abi3bp	1.5
Elf1	Abi3bp	1.5
Ets2	Abi3bp	1.5
Fos	Abi3bp	1.5
Foxa1	Abi3bp	1.5
Foxo1	Abi3bp	1.5
Gata2	Abi3bp	1.5
Hlf	Abi3bp	1.5
Klf8	Abi3bp	1.5
Mef2c	Abi3bp	1.5
Nfil3	Abi3bp	2.0
Pax5	Abi3bp	1.5
Rfx2	Abi3bp	1.5
Rora	Abi3bp	1.5
Tef	Abi3bp	1.5
Thra	Abi3bp	1.5
Thrb	Abi3bp	1.5
Zfp105	Abi3bp	1.5
Foxo1	Abl2	1.5
Pax5	Abl2	1.5
Sox8	Abl2	1.5
Gata2	Ablim1	-0.5
Maf	Ablim1	-0.5
Mef2c	Ablim1	-1.5
Osr1	Ablim1	-0.5
Atf3	Ablim3	1.5
Bach1	Ablim3	1.5
Dbp	Ablim3	1.5
Esr1	Ablim3	0.5
Foxa1	Ablim3	0.5
Foxc1	Ablim3	1.5
Hes1	Ablim3	1.5
Hinfp	Ablim3	1.5
Hlf	Ablim3	1.5
Nfe2	Ablim3	1.5
Nfil3	Ablim3	2.0
Nr3c1	Ablim3	1.5
Pax5	Ablim3	1.5
Rora	Ablim3	1.5
Sox15	Ablim3	1.5
Sox18	Ablim3	0.5
Tef	Ablim3	1.5
Thrb	Ablim3	1.5
Zfp105	Ablim3	1.5
Bach1	Abtb2	0.5
Esr1	Abtb2	0.5
Ets2	Abtb2	1.5
Gata2	Abtb2	1.5
Mef2c	Abtb2	1.5
Meox2	Abtb2	0.5
Nfil3	Abtb2	1.5
Nr3c1	Abtb2	0.5
Six5	Abtb2	0.5
Sox4	Abtb2	1.5
Foxa1	Acbd7	0.5
Gata2	Acot7	-0.5
Nfe2	Acot7	-0.5
Rfx2	Acot7	-1.5
Atf3	Acoxl	1.5
Elf1	Acoxl	1.5
Nr1d1	Acoxl	1.5
Rora	Acoxl	1.5
Tbx3	Acoxl	0.5
Nr1d1	Acpp	1.5
Arnt2	Acsl1	0.5
Esr1	Acsl1	0.5
Nr3c1	Acsl1	0.5
Rora	Acsl1	0.5
Fos	Actbl2	-0.5
Gata2	Actbl2	-0.5
Maf	Actbl2	-0.5
Nfe2	Actbl2	-0.5
Rora	Actbl2	-0.5
Ebf1	Actg2	1.5
Zfp105	Actg2	1.5
Atf3	Actn1	1.5
Elf1	Actn1	1.5
Fos	Actn1	1.5
Foxo3	Actn1	0.5
Rora	Actn2	1.5
Rfx2	Actr6	-1.5
Rora	Actr6	-0.5
Dbp	Acvr2a	1.5
Foxa1	Adam19	-1.5
Maf	Adam19	-0.5
Nfe2	Adam19	-0.5
Bach1	Adam8	-0.5
Fosb	Adam8	-0.5
Maf	Adam8	-0.5
Nfe2	Adam8	-0.5
Nr3c1	Adam8	-0.5
Atf3	Adamts17	1.5
Ebf1	Adamts17	1.5
Elf1	Adamts17	1.5
Hes1	Adamts17	1.5
Hey1	Adamts17	1.5
Mxi1	Adamts17	1.5
Nfe2	Adamts17	1.5
Arnt	Adamts3	1.0
Ebf1	Adamts3	1.5
Esr1	Adamts3	0.5
Hey1	Adamts3	1.5
Hinfp	Adamts3	1.5
Nr3c1	Adamts3	1.5
Tbx3	Adamts3	0.5
Rora	Adamts6	-0.5
Mef2c	Adamtsl3	1.5
Sox15	Adamtsl3	1.5
Sox17	Adamtsl3	1.5
Sox18	Adamtsl3	0.5
Sox4	Adamtsl3	1.5
Sox8	Adamtsl3	1.5
Sox9	Adamtsl3	0.5
Nr1d1	Adcy4	1.5
Thra	Adcy4	1.5
Atf3	Adcy9	1.5
Ebf1	Adcy9	1.5
Elf1	Adcy9	1.5
Ets2	Adcy9	1.5
Fos	Adcy9	1.5
Foxa1	Adcy9	1.5
Hey1	Adcy9	1.5
Klf4	Adcy9	1.5
Klf5	Adcy9	1.5
Klf8	Adcy9	1.5
Nfe2	Adcy9	1.5
Pax5	Adcy9	1.5
Elf1	Adh1	1.5
Ets2	Adh1	1.5
Hnf1b	Adh1	1.5
Meox2	Adh1	1.5
Atf3	Adh4	1.5
Elf1	Adh4	1.5
Ets2	Adh4	1.5
Fos	Adh4	1.5
Fosb	Adh4	1.5
Foxc1	Adh4	1.5
Foxc2	Adh4	1.5
Gata2	Adh4	1.5
Hlf	Adh4	1.5
Mef2c	Adh4	1.5
Pax5	Adh4	1.5
Rora	Adh4	1.5
Six5	Adh4	1.5
Sox17	Adh4	1.5
Sox18	Adh4	0.5
