	Ascl4	Bmyc	Dmrta1	E2f2	E2f7	E2f8	Ebf1	Egr2	Egr3	Elk3	Ets2	Foxk1	Foxk2	Gtf3a	Hsf4	Ikzf1	Irf8	Klf10	Klf3	Klf8	Lef1	Maz	Mlx	Mzf1	Nfic	Nfkbia	Nfkbid	Nfkbil1	Nfyb	Nr1i2	Nr3c1	Pbx2	Plagl1	Pparg	Runx2	Tet1	Tfap4	Tfeb	Thap3	Thap4	Zbtb14	Zbtb32	Zbtb37	Zbtb7b	Zfp1	Zfp143	Zfp28	Zfp287	Zfp3	Zfp41	Zfp426	Zfp462	Zfp467	Zfp516	Zfp64	Zfp775	Zscan10
0610031j06rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110007c09rik	0	1.5	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600002k03rik	0	0	0	1.5	1.5	1.5	0	1.5	1.5	1.5	0	0	0	3.0	0	0	1.5	7.5	0	0	1.5	1.5	0	3.0	0	0	0	0	3.0	0	0	1.5	0	0	1.5	0	0	0	0	0	3.0	0	0	0	3.0	1.5	0	3.0	3.0	3.0	3.0	0	0	0	3.0	3.0	3.0
2210417a02rik	0	0	0	0	0	0	0	1.5	1.5	9.0	0	0	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
2310003h01rik	0	0	0	-4.5	-4.5	-4.5	0	-3.0	-3.0	0	0	0	0	-1.5	0	0	-1.5	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	-1.5	-1.5	0	-1.5	-1.5	-1.5	-1.5	0	0	0	-1.5	-1.5	-1.5
2410002f23rik	-1.5	0	0	-1.5	-1.5	-1.5	0	0	0	-4.5	0	0	0	-1.5	0	0	-1.5	-1.5	0	0	0	0	0	-1.5	0	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	-1.5	-1.5	0	0	-1.5	-1.5	-1.5	-1.5	0	0	0	-1.5	-1.5	-1.5
2410127l17rik	0	-1.5	0	-1.5	-1.5	-1.5	0	-4.5	-4.5	-9.0	0	0	0	-4.5	0	0	-1.5	-7.5	0	0	0	0	0	-4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.5	0	0	0	-4.5	0	0	-4.5	-4.5	-4.5	-4.5	0	0	0	-4.5	-4.5	-4.5
2810006k23rik	0	1.5	0	3.0	3.0	3.0	0	4.5	4.5	0	0	0	0	6.0	1.5	0	3.0	7.5	0	0	0	0	0	6.0	0	0	0	0	3.0	0	0	1.5	0	0	0	0	0	0	0	0	6.0	0	0	0	6.0	0	0	6.0	6.0	6.0	6.0	0	0	0	6.0	6.0	6.0
4921507p07rik	0	0	0	-4.5	-4.5	-4.5	0	-4.5	-4.5	0	0	0	0	-4.5	0	0	-1.5	-9.0	0	0	0	-1.5	0	-4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.5	0	0	-1.5	-4.5	-1.5	0	-4.5	-4.5	-4.5	-4.5	0	0	0	-4.5	-4.5	-4.5
4930563e22rik	0	-3.0	0	-6.0	-6.0	-6.0	0	-3.0	-3.0	-9.0	0	0	0	-4.5	0	0	-1.5	-9.0	0	0	-1.5	0	0	-4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.5	0	0	-1.5	-4.5	-1.5	0	-4.5	-4.5	-4.5	-4.5	0	0	0	-4.5	-4.5	-4.5
4930581f22rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	3.0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	3.0	0	0	1.5	0	0	0	0	1.5	0	0	0	1.5	0	0	0	1.5	0	0	1.5	1.5	1.5	1.5	0	0	0	1.5	1.5	1.5
4930592i03rik	0	0	0	-1.0	-1.0	-1.0	0	-2.0	-2.0	0	0	0	0	-2.5	0	0	-1.0	-3.0	0	0	0	0	0	-2.5	0	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	-2.5	0	0	-1.0	-2.5	-0.5	0	-2.5	-2.5	-2.5	-2.5	0	0	0	-2.5	-2.5	-2.5
4933427d14rik	0	-3.0	0	-6.0	-6.0	-6.0	0	-3.0	-3.0	-9.0	0	0	0	-4.5	0	0	-1.5	-9.0	0	0	-1.5	0	0	-4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.5	0	0	-1.5	-4.5	-1.5	0	-4.5	-4.5	-4.5	-4.5	0	0	0	-4.5	-4.5	-4.5
5430421n21rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6430571l13rik	0	3.0	0	1.5	1.5	1.5	0	6.0	6.0	0	0	0	0	1.5	0	0	3.0	4.5	0	0	0	0	0	1.5	0	0	0	0	4.5	1.5	0	1.5	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5	1.5	0	1.5	1.5	1.5	1.5	0	0	0	1.5	1.5	1.5
8430431k14rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9030617o03rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9430083a17rik	0	0	0	-1.5	-1.5	-1.5	0	-6.0	-6.0	0	0.5	0	0	-3.0	0	0	0	0	0	0	-1.5	0	0	-3.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	-3.0	0	0	-3.0	-3.0	-1.5	1.0	-3.0	-3.0	-3.0	-3.0	1.0	1.0	0	-3.0	-3.0	-3.0
A330023f24rik	0	1.5	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	1.5	0	0	3.0	0	1.5	1.5	1.5	0	1.5	0	0	0	1.5	0	0	0	0	0	0	3.0	0	0	0	3.0	0	0	3.0	3.0	3.0	3.0	0	0	0	3.0	3.0	3.0
Aa388235	0	0	0	0	0	0	0	1.5	1.5	1.5	0	0	0	1.5	0	0	1.5	0	0	0	1.5	1.5	0	1.5	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5	0	0	1.5	1.5	1.5	1.5	0	0	0	1.5	1.5	1.5
Aa467197	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	1.5	0	0	1.5	1.5	0	0	1.5	1.5	1.5	1.5	0	0	0	1.5	1.5	1.5
Abca5	0	-1.5	0	-3.0	-3.0	-3.0	0	-3.0	-3.0	0	0	0	0	-4.5	0	0	-1.5	-13.5	0	0	0	-1.5	0	-4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.5	0	0	-1.5	-4.5	-1.5	0	-4.5	-4.5	-4.5	-4.5	0	0	0	-4.5	-4.5	-4.5
Abcb1a	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	-0.5	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	0	0	-1.0	-1.0	-1.0	-1.0	0	0	0	-1.0	-1.0	-1.0
Abcc10	0	0	0	0	0	0	0	-1.5	-1.5	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	0	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	-1.5	0	0	-1.5	-1.5	-1.5	-1.5	0	0	0	-1.5	-1.5	-1.5
