Regulator	Target	Weight
Zbtb32	0610031j06rik	1.5
Zbtb37	0610031j06rik	1.5
Bmyc	1110007c09rik	1.5
Elk3	1110007c09rik	1.5
Thap3	1110007c09rik	1.5
Thap4	1110007c09rik	1.5
E2f2	1600002k03rik	1.5
E2f7	1600002k03rik	1.5
E2f8	1600002k03rik	1.5
Egr2	1600002k03rik	1.5
Egr3	1600002k03rik	1.5
Elk3	1600002k03rik	1.5
Gtf3a	1600002k03rik	3.0
Irf8	1600002k03rik	1.5
Klf10	1600002k03rik	7.5
Lef1	1600002k03rik	1.5
Maz	1600002k03rik	1.5
Mzf1	1600002k03rik	3.0
Nfyb	1600002k03rik	3.0
Pbx2	1600002k03rik	1.5
Runx2	1600002k03rik	1.5
Zbtb14	1600002k03rik	3.0
Zfp1	1600002k03rik	3.0
Zfp143	1600002k03rik	1.5
Zfp287	1600002k03rik	3.0
Zfp3	1600002k03rik	3.0
Zfp41	1600002k03rik	3.0
Zfp426	1600002k03rik	3.0
Zfp64	1600002k03rik	3.0
Zfp775	1600002k03rik	3.0
Zscan10	1600002k03rik	3.0
Egr2	2210417a02rik	1.5
Egr3	2210417a02rik	1.5
Elk3	2210417a02rik	9.0
Hsf4	2210417a02rik	1.5
Lef1	2210417a02rik	1.5
Nfkbia	2210417a02rik	1.5
Nfkbid	2210417a02rik	1.5
Nfkbil1	2210417a02rik	1.5
Zfp143	2210417a02rik	1.5
E2f2	2310003h01rik	-4.5
E2f7	2310003h01rik	-4.5
E2f8	2310003h01rik	-4.5
Egr2	2310003h01rik	-3.0
Egr3	2310003h01rik	-3.0
Gtf3a	2310003h01rik	-1.5
Irf8	2310003h01rik	-1.5
Mzf1	2310003h01rik	-1.5
Zbtb14	2310003h01rik	-1.5
Zfp1	2310003h01rik	-1.5
Zfp143	2310003h01rik	-1.5
Zfp287	2310003h01rik	-1.5
Zfp3	2310003h01rik	-1.5
Zfp41	2310003h01rik	-1.5
Zfp426	2310003h01rik	-1.5
Zfp64	2310003h01rik	-1.5
Zfp775	2310003h01rik	-1.5
Zscan10	2310003h01rik	-1.5
Ascl4	2410002f23rik	-1.5
E2f2	2410002f23rik	-1.5
E2f7	2410002f23rik	-1.5
E2f8	2410002f23rik	-1.5
Elk3	2410002f23rik	-4.5
Gtf3a	2410002f23rik	-1.5
Irf8	2410002f23rik	-1.5
Klf10	2410002f23rik	-1.5
Mzf1	2410002f23rik	-1.5
Nfkbia	2410002f23rik	-0.5
Nfkbid	2410002f23rik	-0.5
Nfkbil1	2410002f23rik	-0.5
Zbtb14	2410002f23rik	-1.5
Zbtb7b	2410002f23rik	-1.5
Zfp1	2410002f23rik	-1.5
Zfp287	2410002f23rik	-1.5
Zfp3	2410002f23rik	-1.5
Zfp41	2410002f23rik	-1.5
Zfp426	2410002f23rik	-1.5
Zfp64	2410002f23rik	-1.5
Zfp775	2410002f23rik	-1.5
Zscan10	2410002f23rik	-1.5
Bmyc	2410127l17rik	-1.5
E2f2	2410127l17rik	-1.5
E2f7	2410127l17rik	-1.5
E2f8	2410127l17rik	-1.5
Egr2	2410127l17rik	-4.5
Egr3	2410127l17rik	-4.5
Elk3	2410127l17rik	-9.0
Gtf3a	2410127l17rik	-4.5
