	Ahr	Ahrr	Ar	Atf3	Atoh8	Bach1	Batf2	Bcl6b	Bhlhe22	Casz1	Cebpd	Creb3l4	Creb5	Crem	Dbp	Dmrta1	Ebf1	Ebf2	Ebf3	Elf1	Epas1	Erg	Ets2	Etv1	Fos	Fosb	Foxa1	Foxo1	Foxo3	Foxp1	Foxp2	Gata2	Gata6	Hes1	Hey1	Hey2	Heyl	Hic1	Hic2	Hif3a	Hinfp	Hlf	Hnf4a	Hoxa3	Hoxa5	Hoxb5	Id1	Id3	Id4	Klf3	Klf4	Klf5	Klf8	Klf9	Maf	Mef2c	Meis1	Meis2	Mxi1	Mycn	Nfatc4	Nfe2	Nfia	Nfib	Nfil3	Nfix	Nkx2-3	Nr1i3	Nr2f2	Nr3c1	Nr3c2	Osr1	Pax5	Pax6	Pbx1	Peg3	Pknox2	Plagl1	Pou4f1	Pou5f2	Prdm14	Prdm5	Prdm9	Rfx2	Rora	Six5	Smad1	Sox15	Sox4	Sox8	Sox9	Sp6	Spib	Stat4	Stat5b	Tbr1	Tbx2	Tbx3	Tcf4	Tcf7l1	Tcf7l2	Tef	Tet1	Trps1	Zbtb16	Zbtb46	Zbtb49	Zeb1	Zfp105	Zfp112	Zfp28	Zfp449	Zfp462	Zfp467	Zfp516	Zfp57	Zfp629	Zfp647	Zfp667	Zfp697	Zfp768	Zfp92
0610031j06rik	0	0	0	0	0	-3.0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5	0	0	0	-1.5	0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110034g24rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0.5	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037f02rik	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	1.5	3.0	3.0	3.0	0	0	1.5	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	3.0	3.0	0	3.0	0	3.0	3.0	0	3.0	3.0	3.0	0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
1700019b03rik	0	0	0	1.5	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	3.0	3.0	0	1.5	1.5	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	3.0	3.0	3.0	3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	4.5	4.5	4.5	0	0	1.5	0	0	0	0	0	6.0	0	0	0	0	1.5	1.5	0	0	0	0	0	4.5	4.5	0	4.5	0	4.5	4.5	0	4.5	4.5	4.5	0.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5
2310030g06rik	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700099c18rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930503l19rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931440p22rik	1.5	1.5	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	1.5	0	0	1.5	0	0	0	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	1.5	0	1.5	1.5	0	1.5	1.5	1.5	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5
4932438a13rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9430083a17rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0
A630033h20rik	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	-1.5	-1.5	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	-1.5	-1.5	0	-1.5	0	-1.5	-1.5	0	-1.5	-1.5	-1.5	0	-1.5	-1.5	-1.5	-1.5	-1.5	-1.5	-1.5
Abcb1a	0	0	0	0	0	2.5	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	4.5	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Abcb1b	0	0	0	3.0	0	0	0	0	0	0	0	4.5	4.5	4.5	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
