	Ar	Ascl4	Batf3	Bmyc	E2f2	E2f7	E2f8	Egr2	Egr3	Elk3	Erg	Gtf3a	Hey1	Hlf	Hsf4	Irf4	Irf8	Klf10	Klf12	Lef1	Maz	Mlx	Mycn	Mzf1	Nfic	Nfil3	Nfkbia	Nfkbid	Nfkbil1	Nfyb	Nr1d1	Nr1i2	Nr4a1	Pbx2	Pparg	Rara	Rarg	Rbpj	Rorc	Runx2	Snai3	Sox9	Tbx21	Tfap4	Tfeb	Thap3	Thap4	Thra	Vdr	Zbtb14	Zbtb16	Zbtb32	Zbtb37	Zbtb7b	Zfp1	Zfp143	Zfp287	Zfp296	Zfp3	Zfp41	Zfp426	Zfp462	Zfp64	Zfp691	Zfp768	Zfp775	Zfp92	Zscan10
0610031j06rik	0	0	0.5	2.0	1.5	1.5	1.5	1.5	1.5	0	0	3.0	0	0	0	0	2.0	7.5	0	1.5	0	0	0	3.0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	3.0	3.0	0	3.0	0.5	3.0	3.0	3.0	0	3.0	0	0	3.0	0	3.0
1110007c09rik	0	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009l16rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600002k03rik	0	1.5	0	0	4.5	4.5	4.5	3.0	3.0	0	0	6.0	0	0	1.5	0	3.0	13.5	0	1.5	1.5	0	0	6.0	0	0	0	0	0	3.0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	6.0	0	0	0	3.0	6.0	1.5	6.0	0	6.0	6.0	6.0	0	6.0	0	0	6.0	0	6.0
1700001l05rik	0	0	0	0	1.5	1.5	1.5	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	1.5	3.0	0	3.0	0	3.0	3.0	3.0	0	3.0	0	0	3.0	0	3.0
1700001p01rik	0	0	0	-3.0	0	0	0	-4.5	-4.5	0	0	-1.5	0	0	0	0	-1.5	-9.0	0	0	-1.5	-1.5	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	-6.0	0	0	0	0	-1.5	0	0	0	0	-1.5	0	-1.5	0	-1.5	-1.5	-1.5	0	-1.5	0	0	-1.5	0	-1.5
1700009p17rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012b07rik	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028k03rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0
1700066b19rik	0	0	0	0	-3.0	-3.0	-3.0	-1.5	-1.5	0	0	0	0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067k01rik	0	0	0	0	-4.5	-4.5	-4.5	-6.0	-6.0	0	0	-3.0	0	0	0	0	-1.5	-3.0	0	-1.5	-1.5	0	0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.0	0	-1.0	-1.0	-3.0	-3.0	-1.5	-3.0	0	-3.0	-3.0	-3.0	0	-3.0	0	0	-3.0	0	-3.0
1810058i24rik	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010300c02rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010320m18rik	0	0	0	0	0	0	0	1.5	1.5	0	0	1.5	0	0	0	0	1.5	0	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1.5	0	1.5	0	1.5	1.5	1.5	0	1.5	0	0	1.5	0	1.5
2210417a02rik	0	0	0	0	0	0	0	1.5	1.5	9.0	0	0	0	0	1.5	0	0	4.5	0	1.5	1.5	0	0	0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0
2310003h01rik	0	0	0	0	-4.5	-4.5	-4.5	-3.0	-3.0	0	0	-1.5	0	0	0	0	-1.5	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	-1.5	-1.5	-1.5	0	-1.5	-1.5	-1.5	0	-1.5	0	0	-1.5	0	-1.5
2310007l24rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	2.0	0	2.0	2.0	0	2.0	0
2310030g06rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	-2.0	-2.0	0	0	0	0	0	-4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0
2810006k23rik	0	0	0	0	1.5	1.5	1.5	3.0	3.0	1.5	0	1.5	0	0	0	0	0	0	0	1.5	1.5	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5	1.5	0	1.5	0	1.5	1.5	1.5	0	1.5	0	0	1.5	0	1.5
2810442i21rik	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	1.5	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0
2900005j15rik	0	0	0	0	-3.0	-3.0	-3.0	-1.5	-1.5	-3.0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	-1.5	-1.5	-1.5	0	-1.5	-1.5	-1.5	0	-1.5	0	0	-1.5	0	-1.5
2900041m22rik	0	0	0	0	0	0	0	4.5	4.5	0	0	0	0	0	0	0	1.5	7.5	0	1.5	0	0	0	0	0	0	0	0	0	4.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0
4732471j01rik	0	0	0	0	0	0	0	-1.5	-1.5	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930486l24rik	0	0	0	0	1.5	1.5	1.5	3.0	3.0	0	0	3.0	0	0	0	0	5.0	1.5	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	3.0	0	3.0	0	3.0	3.0	3.0	0	3.0	0	0	3.0	0	3.0
4930550c14rik	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	1.5	0	0	1.0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	2.0	0	2.0	2.0	0	2.0	0
