Regulator	Target	Weight
Batf3	0610031j06rik	0.5
Bmyc	0610031j06rik	2.0
E2f2	0610031j06rik	1.5
E2f7	0610031j06rik	1.5
E2f8	0610031j06rik	1.5
Egr2	0610031j06rik	1.5
Egr3	0610031j06rik	1.5
Gtf3a	0610031j06rik	3.0
Irf8	0610031j06rik	2.0
Klf10	0610031j06rik	7.5
Lef1	0610031j06rik	1.5
Mzf1	0610031j06rik	3.0
Nr1i2	0610031j06rik	0.5
Zbtb14	0610031j06rik	3.0
Zbtb7b	0610031j06rik	3.0
Zfp1	0610031j06rik	3.0
Zfp287	0610031j06rik	3.0
Zfp296	0610031j06rik	0.5
Zfp3	0610031j06rik	3.0
Zfp41	0610031j06rik	3.0
Zfp426	0610031j06rik	3.0
Zfp64	0610031j06rik	3.0
Zfp775	0610031j06rik	3.0
Zscan10	0610031j06rik	3.0
Bmyc	1110007c09rik	1.5
Elk3	1110007c09rik	1.5
Thap3	1110007c09rik	1.5
Thap4	1110007c09rik	1.5
Mycn	1500009l16rik	1.5
Thra	1500009l16rik	1.5
Ascl4	1600002k03rik	1.5
E2f2	1600002k03rik	4.5
E2f7	1600002k03rik	4.5
E2f8	1600002k03rik	4.5
Egr2	1600002k03rik	3.0
Egr3	1600002k03rik	3.0
Gtf3a	1600002k03rik	6.0
Hsf4	1600002k03rik	1.5
Irf8	1600002k03rik	3.0
Klf10	1600002k03rik	13.5
Lef1	1600002k03rik	1.5
Maz	1600002k03rik	1.5
Mzf1	1600002k03rik	6.0
Nfyb	1600002k03rik	3.0
Pbx2	1600002k03rik	1.5
Tfap4	1600002k03rik	1.5
Zbtb14	1600002k03rik	6.0
Zbtb7b	1600002k03rik	3.0
Zfp1	1600002k03rik	6.0
Zfp143	1600002k03rik	1.5
Zfp287	1600002k03rik	6.0
Zfp3	1600002k03rik	6.0
Zfp41	1600002k03rik	6.0
Zfp426	1600002k03rik	6.0
Zfp64	1600002k03rik	6.0
Zfp775	1600002k03rik	6.0
Zscan10	1600002k03rik	6.0
E2f2	1700001l05rik	1.5
E2f7	1700001l05rik	1.5
E2f8	1700001l05rik	1.5
Gtf3a	1700001l05rik	3.0
Mzf1	1700001l05rik	3.0
Zbtb14	1700001l05rik	3.0
Zbtb7b	1700001l05rik	1.5
Zfp1	1700001l05rik	3.0
Zfp287	1700001l05rik	3.0
Zfp3	1700001l05rik	3.0
Zfp41	1700001l05rik	3.0
Zfp426	1700001l05rik	3.0
Zfp64	1700001l05rik	3.0
Zfp775	1700001l05rik	3.0
Zscan10	1700001l05rik	3.0
Bmyc	1700001p01rik	-3.0
Egr2	1700001p01rik	-4.5
Egr3	1700001p01rik	-4.5
Gtf3a	1700001p01rik	-1.5
Irf8	1700001p01rik	-1.5
Klf10	1700001p01rik	-9.0
Maz	1700001p01rik	-1.5
Mlx	1700001p01rik	-1.5
Mzf1	1700001p01rik	-1.5
Rbpj	1700001p01rik	-1.5
Tfeb	1700001p01rik	-6.0
Zbtb14	1700001p01rik	-1.5
Zfp1	1700001p01rik	-1.5
Zfp287	1700001p01rik	-1.5
Zfp3	1700001p01rik	-1.5
Zfp41	1700001p01rik	-1.5
Zfp426	1700001p01rik	-1.5
Zfp64	1700001p01rik	-1.5
Zfp775	1700001p01rik	-1.5
Zscan10	1700001p01rik	-1.5
Irf8	1700009p17rik	-1.5
Runx2	1700009p17rik	-1.5
Snai3	1700009p17rik	-3.0
Erg	1700012b07rik	1.0
Klf12	1700012b07rik	2.5
Vdr	1700012b07rik	1.0
Klf10	1700028k03rik	-1.5
Zfp296	1700028k03rik	-0.5
E2f2	1700066b19rik	-3.0
E2f7	1700066b19rik	-3.0
E2f8	1700066b19rik	-3.0
Egr2	1700066b19rik	-1.5
