Regulator	Target	Weight
Bach1	1110007c09rik	-1.5
Fos	1110007c09rik	-4.0
Fosb	1110007c09rik	-4.0
Mef2c	1110007c09rik	-1.5
Nfe2	1110007c09rik	-1.5
Ar	1110034g24rik	1.5
Cebpd	1110034g24rik	1.5
Dbp	1110034g24rik	6.0
Elf1	1110034g24rik	1.5
Erg	1110034g24rik	3.0
Esr1	1110034g24rik	0.5
Ets2	1110034g24rik	3.0
Foxo1	1110034g24rik	1.5
Foxo3	1110034g24rik	1.5
Gata2	1110034g24rik	1.5
Gata6	1110034g24rik	1.5
Hlf	1110034g24rik	6.0
Hnf1b	1110034g24rik	1.5
Hoxa3	1110034g24rik	1.5
Hoxa5	1110034g24rik	1.5
Hoxb5	1110034g24rik	1.5
Hoxb6	1110034g24rik	1.5
Hoxc6	1110034g24rik	1.5
Hsf5	1110034g24rik	1.5
Mef2c	1110034g24rik	3.0
Meis1	1110034g24rik	1.5
Meis2	1110034g24rik	1.5
Mitf	1110034g24rik	1.5
Nfil3	1110034g24rik	6.0
Nr2f2	1110034g24rik	0.5
Nr3c1	1110034g24rik	1.5
Nr3c2	1110034g24rik	1.5
Pbx1	1110034g24rik	1.5
Plagl1	1110034g24rik	1.5
Six5	1110034g24rik	1.5
Spib	1110034g24rik	1.5
Tcf7l1	1110034g24rik	7.5
Tcf7l2	1110034g24rik	7.5
Tef	1110034g24rik	6.0
Thrb	1110034g24rik	3.0
Casz1	1110037f02rik	3.0
Pax5	1110037f02rik	1.5
Pax6	1110037f02rik	1.5
Peg3	1110037f02rik	3.0
Pou5f2	1110037f02rik	1.5
Prdm14	1110037f02rik	3.0
Prdm5	1110037f02rik	3.0
Prdm9	1110037f02rik	3.0
Six5	1110037f02rik	1.5
Sox15	1110037f02rik	1.5
Sox17	1110037f02rik	1.5
Sox18	1110037f02rik	1.5
Sp6	1110037f02rik	4.5
Stat4	1110037f02rik	1.5
Stat5b	1110037f02rik	1.5
Tcf7l1	1110037f02rik	4.5
Tcf7l2	1110037f02rik	4.5
Trps1	1110037f02rik	3.0
Zbtb16	1110037f02rik	3.0
Zbtb49	1110037f02rik	3.0
Zfp105	1110037f02rik	3.0
Zfp112	1110037f02rik	3.0
Zfp449	1110037f02rik	3.0
Zfp462	1110037f02rik	3.0
Zfp467	1110037f02rik	3.0
Zfp57	1110037f02rik	3.0
Zfp629	1110037f02rik	3.0
Zfp647	1110037f02rik	3.0
Zfp667	1110037f02rik	3.0
Zfp697	1110037f02rik	3.0
Zfp768	1110037f02rik	3.0
Zfp92	1110037f02rik	3.0
Mycn	1500009l16rik	1.5
Thra	1500009l16rik	1.5
Erg	1700012b07rik	1.0
