	IL17pos_SC_EAE_1	IL17pos_SC_EAE_2	IL17neg_SC_EAE	IL17pos_SI_EAE	IL17pos_SI_SS	IL17pos_SI_mock	IL17neg_SI_EAE	IL17neg_SI_mock	IL17neg_SI_SS
0610005C13Rik	4.811952535	4.811952535	5.182195795	4.811952535	5.083320301	5.306121106	5.700962481	5.078500463	5.701442157
0610007P14Rik	10.70273976	10.50344904	10.10076496	9.492660227	9.647037699	10.06703974	9.691359722	9.473413752	9.949959565
0610009B22Rik	7.854732368	8.524628304	7.859765644	7.772236339	7.401997769	7.881875845	7.092320085	6.916514406	7.441819608
0610009L18Rik	6.013051288	6.081030706	6.373971551	5.625050312	5.993994681	6.290364381	5.996218754	5.887444462	5.968366818
0610009O20Rik	8.329970337	8.571338163	8.329069039	6.777111102	7.890284357	7.690395824	8.035192511	8.048447312	8.080347351
0610010B08Rik	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
0610010F05Rik	8.932054758	9.442044432	9.089800093	8.639826349	7.979592637	7.89557419	8.126801783	8.043137697	8.085735229
0610010K14Rik	8.538970821	8.753614899	8.610465372	7.772236339	8.222746603	8.254627847	8.051796936	7.78712219	7.996958075
0610011F06Rik	8.286618311	7.902055333	7.871441424	7.583233251	7.527245037	7.804043158	7.989933319	7.520548503	7.610310693
0610012G03Rik	8.337712326	7.802209127	7.348249965	7.748992079	7.174029622	7.698267649	7.772746553	6.85434122	7.013658984
0610030E20Rik	10.53069433	10.54523104	10.66102383	10.13574397	10.21532493	10.21180227	10.55525809	10.65505044	10.7488383
0610031J06Rik	11.03896871	10.93575656	10.70269315	9.519960512	9.906012038	9.961761998	9.971652879	9.898473357	10.02961394
0610031O16Rik	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
0610037L13Rik	9.284676726	9.065531518	9.180688476	9.355398014	9.475599258	9.479822166	9.472772692	9.162606549	9.287620633
0610038B21Rik	4.811952535	5.545301774	5.590049196	5.913195795	6.021603283	5.612564423	6.648953103	5.974016992	6.446326862
0610039K10Rik	5.518525495	5.668531494	5.590049196	5.573760679	5.699254021	5.612564423	5.618337551	5.602795173	5.353682791
0610040B10Rik	5.063947529	5.181575855	5.074112238	6.238439668	5.571814958	6.166240022	5.573289963	5.64445203	5.811301744
0610040F04Rik	6.282265281	5.807130141	7.055546925	5.102753323	5.659133632	6.266641764	5.473165136	5.721478396	5.084008515
