	IL17pos_SC_EAE_1	IL17pos_SC_EAE_2	IL17neg_SC_EAE	IL17pos_SI_SS	IL17pos_SI_mock	IL17pos_SI_EAE	IL17neg_SI_EAE	IL17neg_SI_SS	IL17neg_SI_mock
0610005C13Rik	0	0	13.910738	7.4540139	24.8877662	0	82.32014836	82.411803	7.1908337
0610007P14Rik	2104.430413	1823.616784	1362.002119	975.2680819	1328.880701	869.1261231	1007.90554	1219.732619	856.6740564
0610009B22Rik	347.9748482	611.870519	349.5269773	229.021061	356.4115952	323.3150307	167.5772763	237.9905858	138.552441
0610009L18Rik	51.56704443	57.95305286	90.71194498	49.85398634	80.45302127	22.90996151	50.05219771	47.60252918	40.87971533
0610009O20Rik	172.6123155	210.1044057	172.4838928	118.7402089	99.2922486	39.08106839	134.6776803	139.9884957	136.2190377
0610010B08Rik	0	0	0	0	0	0	0	0	0
0610010F05Rik	162.2343021	239.4995299	183.2739732	74.540139	69.27094926	128.8816763	84.56524332	81.66260479	78.73962902
0610010K14Rik	18225.92621	21630.05402	19303.46743	14058.27022	14437.6697	9519.831459	12163.42556	11602.58293	9647.701881
0610011F06Rik	493.6251619	355.6330892	346.1818369	253.0412536	326.088044	266.6637597	383.9361521	273.4527274	251.4486472
0610012G03Rik	283.9021119	179.4866325	117.4516424	98.59972975	163.4369963	171.1199691	174.8152115	83.28781994	69.82099098
0610030E20Rik	475.5740256	480.5766288	522.2785682	378.5863741	377.6184138	357.2858925	484.0568131	556.2141922	520.0443829
0610031J06Rik	2062.927814	1916.646591	1622.424669	910.5293791	948.568791	683.9208556	955.472682	996.8966879	905.4976633
0610031O16Rik	0	0	0	0	0	0	0	0	0
0610037L13Rik	567.6724783	480.1561758	524.4778733	655.5927776	657.67246	598.8864825	654.2041683	568.9414098	517.281037
0610038B21Rik	0	7.537321543	8.508110603	21.27550783	9.020385386	17.45887989	52.89166579	40.73119614	19.54698064
0610039K10Rik	11.1882231	16.59736433	13.62550205	17.84730773	14.44589584	13.04795784	14.66039924	6.522987562	14.08677517
0610040B10Rik	3.02272732	6.522352676	3.272184962	28.05419777	93.66850188	104.7479888	28.16573671	49.34491841	33.829604
0610040F04Rik	74.67374928	32.66125012	194.4442536	23.41397386	72.9638305	2.689921505	14.10423841	2.353323661	27.104751
0610040J01Rik	7.112299577	0	3.849629367	9.076358102	14.69309833	24.6465856	6.627232168	3.317305439	5.571934776
0610043K17Rik	0	4.643746242	18.63768781	42.44445779	19.45111824	68.84109793	120.319652	50.18900624	91.52604836
1010001N08Rik	0	0	0	0	2.876475491	0	0	2.597722434	0
1100001G20Rik	3.036529728	29.48460799	0	0	0	0	7.073586846	3.540731262	0
1110001J03Rik	392.0634982	380.6924215	264.4459683	297.3999423	366.0363981	237.1583629	270.4804875	288.3648617	243.0208287
1110002L01Rik	7.657575878	14.34917589	11.34357453	14.02709888	10.40761132	19.33809024	20.65487359	26.78724142	23.00413072
1110004E09Rik	925.1676844	634.1768191	694.5022665	197.6819869	180.1420601	234.7286104	395.6038772	190.6880154	244.4574308
1110004F10Rik	1415.500022	1483.089822	1399.653745	1544.083006	1958.898301	1771.392087	1702.92056	1748.018559	1452.353228
1110006O24Rik	32.90364635	42.97279237	37.49378602	16.07271747	42.48419465	9.232595165	22.18785249	28.27052617	32.94862473
1110007C09Rik	987.5746424	1151.146573	519.3169168	226.4573924	140.9687653	196.2270972	171.481693	125.3788794	233.2727917
1110008F13Rik	230.533337	355.3129268	268.7554582	288.0230971	286.2093113	357.9081463	396.8686425	367.770698	374.2520762
1110008L16Rik	202.2521687	286.3390248	179.6814816	128.7054951	155.3628985	291.7464528	246.5066723	135.331588	156.634214
1110008P14Rik	1121.491646	797.1764382	589.4913425	568.3430324	695.2664549	404.7165004	405.5523125	398.9223889	330.7783502
1110012L19Rik	334.701992	378.7530816	301.0286336	341.5870627	581.624977	343.7984349	373.722287	338.925362	294.3207553
1110015O18Rik	0	0	0	0	0	0	0	0	0
1110019D14Rik	22.19626203	28.73666733	34.60040707	29.87079135	6.878194397	7.100099887	26.88718525	3.105821681	4.968299653
1110020A21Rik	72.10843487	121.017146	57.82174229	32.53272934	93.1042338	101.4473107	262.8519305	71.62515409	92.65779087
1110025L11Rik	0	0	0	0	0	0	0	0	0
1110028F11Rik	1.475046234	23.34061882	25.54844598	68.45016831	56.5012097	60.29004103	42.37876097	81.41194883	63.83227313
1110028F18Rik	2.975391546	0	0	0	0	0	0	0	0
1110032A03Rik	110.4601589	97.43267578	95.33773468	180.1010227	136.8408155	192.9829993	181.6863881	137.5043582	110.2594501
1110032F04Rik	4.643134286	7.792415145	44.67839823	0.598518571	1.332238842	10.31414821	33.65029832	12.0313444	5.773865694
1110034G24Rik	209.7620699	137.5413868	172.2624089	361.8819868	530.0028307	566.3829964	397.0200889	206.6381356	193.2725982
1110036E04Rik	1.711711739	0	1.852974753	1.985818375	6.630331536	0	0	1.995933453	5.747114193
1110037F02Rik	872.584694	809.3217546	1068.438525	1964.996448	2080.981039	1416.382611	1498.385524	2192.319278	2122.815972
1110038B12Rik	3555.359533	4726.787351	3114.777894	2420.36216	3232.481634	2583.678396	2743.858207	2564.461399	3045.106577
1110038F14Rik	416.9202632	238.0569052	364.2292775	255.9849118	251.843207	248.5946064	210.1458266	332.6275239	294.6989518
1110046J04Rik	56.48648737	40.62829724	63.0011416	79.43273499	53.04265229	27.37696173	65.79255101	51.89426977	55.5554372
1110051M20Rik	28.89843401	38.4288187	40.74110028	106.8157555	90.24487633	78.82462249	100.9782223	103.4415961	106.052988
1110054M08Rik	43.60655806	65.52902338	21.91674237	16.26092259	40.21676506	12.45427357	1.813952599	38.13541704	27.88763608
1110057K04Rik	6142.115481	7257.371651	7143.431478	4433.950543	4420.518539	5254.665591	5672.997217	5070.054804	4825.365493
1110058L19Rik	502.4887635	268.9125916	202.9049026	94.845901	154.4757902	71.75678161	213.6711061	141.8309713	218.7005284
1110059E24Rik	763.7255022	728.5120812	801.5478288	534.8568167	485.8342932	431.9923519	590.1392454	493.0542668	382.5493315
1110059G10Rik	289.6637951	205.7811002	221.8971724	235.9691077	242.694596	341.7680928	322.175468	259.319323	205.4939587
1110065P20Rik	17.45406852	15.06475159	20.78395697	10.12454644	18.028933	9.305292765	12.19775999	8.140893926	19.53415454
1190002F15Rik	10746.40017	6658.017612	9790.377405	2468.769404	3777.962909	2552.627911	5762.709731	1488.806681	2560.224431
1190002N15Rik	635.3696302	617.9227389	758.1528296	2005.87514	2341.119708	2224.125163	1043.594024	938.7491494	1167.438223
1190003K10Rik	0	0	0	0	0	0	0	0	0
1190005I06Rik	0	0	0	0	4.679171302	0	0	8.451445738	0
1190007I07Rik	835.1162922	756.390667	636.1736344	430.5993146	292.8653418	412.2461097	432.3113077	396.7265866	138.4653559
1200014J11Rik	371.443354	393.666124	391.3291601	205.0268989	242.3943276	247.1114968	203.8699132	224.580628	200.3935677
