Regulator	Target	Weight
Rorc	2310007l24rik	1.0
Prdm1	4930550c14rik	1.0
Mafk	Abhd2	1.0
Spi1	Abi3bp	1.0
Mafk	Ablim3	1.0
Spi1	Actn2	1.0
Mafk	Acyp2	1.0
Prdm1	Adamts14	1.0
Prdm1	Ahcyl2	-1.0
Rorc	Appl2	1.0
Prdm1	Arnt2	1.0
Prdm1	Arrdc4	1.0
Rorc	Asns	1.0
Spi1	Asns	1.0
Rorc	Bach2	-1.0
Spi1	Batf3	1.0
Mafk	Cadm1	1.0
Prdm1	Camk2d	-1.0
Spi1	Cd244	1.0
Irf7	Cd6	-1.0
Mafk	Cd93	1.0
Prdm1	Cd93	1.0
Prdm1	Cdh2	-1.0
Rorc	Cep63	-1.0
Mafk	Clcn3	1.0
Prdm1	Clcn3	1.0
Rorc	Clcn3	1.0
Spi1	Clcn3	1.0
Prdm1	Clnk	1.0
Spi1	Clnk	1.0
Prdm1	Cntn1	-1.0
Prdm1	Cobll1	-1.0
Irf7	Cog5	-1.0
Rorc	Cog5	-1.0
Rorc	Cpe	1.0
Prdm1	Csgalnact1	-1.0
Prdm1	Ctsh	1.0
Spi1	Ctsh	1.0
Tcf7	Ctsh	1.0
Prdm1	Cwf19l2	-1.0
Spi1	Cx3cl1	1.0
Rorc	Cyp51	-1.0
Prdm1	Deptor	-1.0
Prdm1	Dgkd	1.0
Mafk	Dhrs3	1.0
Prdm1	Dhrs3	1.0
Mafk	Dhx37	1.0
Mafk	Dlc1	1.0
Rorc	Dlc1	1.0
Tcf7	Dlc1	1.0
Spi1	Dmrt3	1.0
Prdm1	Dnajb2	1.0
Spi1	Dnajc6	1.0
Mafk	Dscaml1	1.0
Spi1	Dscaml1	1.0
Prdm1	Dtx4	1.0
Mafk	Dusp4	1.0
Spi1	Dusp4	1.0
Mafk	Eps8	1.0
Spi1	Eps8	1.0
Tcf7	F2r	1.0
Rorc	Fam155a	1.0
Spi1	Fam155a	1.0
Tcf7	Fam155a	1.0
Prdm1	Fam184b	1.0
Rorc	Fam46c	1.0
Mafk	Fam49a	1.0
Spi1	Flnb	1.0
Prdm1	Flrt2	-1.0
Rorc	Flrt2	-1.0
Mafk	Fmnl2	1.0
Prdm1	Fmnl2	1.0
Spi1	Fmnl2	1.0
Mafk	Fnbp1l	1.0
Prdm1	Fnbp1l	1.0
Prdm1	Foxs1	1.0
Spi1	Foxs1	1.0
Irf7	Frmd4b	-1.0
Spi1	Gcnt2	1.0
Prdm1	Gcnt4	-1.0
Mafk	Gpr157	1.0
