Regulator	Target	Weight
Bach1	0610010f05rik	1.0
Fos	0610010f05rik	1.0
Fosb	0610010f05rik	1.0
Fosl1	0610010f05rik	1.0
Foxc1	0610010f05rik	1.0
Jun	0610010f05rik	1.0
Junb	0610010f05rik	1.0
Nfe2	0610010f05rik	1.0
Prdm1	0610010f05rik	1.0
Rora	0610010f05rik	1.0
Rxrg	0610010f05rik	0.5
Elf3	1700001c19rik	1.0
Junb	1700001c19rik	1.0
Maf	1700001c19rik	1.0
Maff	1700001c19rik	1.0
Nfe2	1700001c19rik	1.0
Rara	1700001c19rik	1.0
Prdm1	1700012b07rik	1.0
Fos	1700025g04rik	-1.0
Fosl1	1700025g04rik	-1.0
Junb	1700025g04rik	-1.0
Lef1	1700025g04rik	-1.0
Rara	1700025g04rik	-1.0
Rxrg	1700025g04rik	-0.5
Tcf7	1700025g04rik	-1.0
Egr2	1700026l06rik	1.0
Jun	1700026l06rik	1.0
Bcl3	1700049g17rik	0.5
Elf3	1700049g17rik	1.0
Etv5	1700049g17rik	1.0
Nfkb2	1700049g17rik	1.0
Rara	1810011o10rik	1.0
Rora	1810011o10rik	1.0
Fos	2010015l04rik	1.0
Lef1	2010015l04rik	1.0
Prdm1	2010015l04rik	1.0
Bcl6	2010300c02rik	0.5
Elf3	2010300c02rik	1.0
Meis3	2010300c02rik	1.0
Rara	2010300c02rik	1.0
Rora	2010300c02rik	1.0
Tgif1	2010300c02rik	1.0
Thra	2010300c02rik	1.0
Zfp105	2010300c02rik	1.0
Bcl3	2310007l24rik	0.5
Elf3	2310007l24rik	1.0
Etv5	2310007l24rik	1.0
Fos	2310007l24rik	1.0
Fosl1	2310007l24rik	1.0
Jun	2310007l24rik	1.0
Junb	2310007l24rik	1.0
Rara	2310007l24rik	1.0
Rora	2310007l24rik	1.0
Rorc	2310007l24rik	1.0
Etv5	2410131k14rik	1.0
Lef1	2410131k14rik	1.0
Maff	2410131k14rik	1.0
Rara	2410131k14rik	1.0
Rora	2410131k14rik	1.0
Tcf7	2410131k14rik	1.0
Tgif1	2410131k14rik	1.0
Elf3	2700086a05rik	1.0
Bcl6	2810474o19rik	0.5
Fos	2900005j15rik	1.0
Bcl3	2900026a02rik	0.5
Fos	2900026a02rik	1.0
Fosl1	2900026a02rik	1.0
Junb	2900026a02rik	1.0
Maf	2900026a02rik	1.0
Meis3	2900026a02rik	1.0
Nfe2	2900026a02rik	1.0
Nr1d1	2900026a02rik	1.0
Prdm1	2900026a02rik	1.0
Rora	2900026a02rik	1.0
Rorc	2900026a02rik	1.0
Tgif1	2900026a02rik	1.0
Elf3	4632428n05rik	-1.0
Rara	4632428n05rik	-1.0
Tgif1	4632428n05rik	-1.0
Lef1	4632434i11rik	-1.0
Nr1d1	4632434i11rik	-1.0
Rara	4632434i11rik	-1.0
Rora	4632434i11rik	-1.0
Tcf7	4632434i11rik	-1.0
Tgif1	4632434i11rik	-1.0
Rxrg	4930412o13rik	-0.5
Tbx21	4930417o13rik	-0.5
Elf3	4930503l19rik	1.0
Meis3	4930503l19rik	1.0
Prdm1	4930503l19rik	1.0
Rara	4930503l19rik	1.0
Rora	4930503l19rik	1.0
Bcl6	4930506m07rik	0.5
Elf3	4930506m07rik	1.0
Maf	4930506m07rik	1.0
Nfe2	4930506m07rik	1.0
Rara	4930506m07rik	1.0
Rxrg	4930506m07rik	0.5
Bcl3	4930550c14rik	0.5
Bcl6	4930550c14rik	0.5
Fos	4930550c14rik	1.0
Fosl1	4930550c14rik	1.0
Foxc1	4930550c14rik	1.0
Nfe2	4930550c14rik	1.0
Prdm1	4930550c14rik	1.0
Sox7	4930550c14rik	1.0
Junb	4930594c11rik	1.0
Lef1	4930594c11rik	1.0
Tcf7	4930594c11rik	1.0
Lef1	5430417l22rik	1.0
Bcl3	5430421n21rik	-0.5
Rara	5430421n21rik	-1.0
Maff	5730409e04rik	1.0
Meis3	5730508b09rik	1.0
Prdm1	5730508b09rik	1.0
Fos	5830411n06rik	1.0
Fosb	5830411n06rik	1.0
Junb	5830411n06rik	1.0
Sox7	5830411n06rik	1.0
Bcl6	6030458c11rik	0.5
Foxc1	6030458c11rik	1.0
Foxo3	6030458c11rik	1.0
Prdm1	6030458c11rik	1.0
Elf3	6330403a02rik	1.0
Fos	6330403a02rik	1.0
Foxc1	6330403a02rik	1.0
Foxo3	6330403a02rik	1.0
Sox7	6330403a02rik	1.0
Bcl6	6430571l13rik	0.5
Egr2	6430571l13rik	1.0
Lef1	6430571l13rik	1.0
Rorc	6430571l13rik	1.0
Thra	6430571l13rik	1.0
Bcl3	8430419l09rik	0.5
Maff	8430419l09rik	1.0
Mafg	8430419l09rik	1.0
Sox7	8430419l09rik	1.0
Egr2	8430427h17rik	1.0
Nfe2	8430427h17rik	1.0
Prdm1	8430427h17rik	1.0
Rora	8430427h17rik	1.0
Prdm1	9030617o03rik	-1.0
Jun	9130401m01rik	-1.0
Bcl3	9430083a17rik	-0.5
Bcl6	9630028b13rik	0.5
Elf3	9630028b13rik	1.0
Tbx21	9630028b13rik	0.5
Thra	9630028b13rik	1.0
Hoxa2	9930021j03rik	1.0
Rara	9930021j03rik	1.0
Fos	A4galt	1.0
Fosb	A4galt	1.0
Jun	A4galt	1.0
Junb	A4galt	1.0
Nfe2	A4galt	1.0
Foxc1	A630033h20rik	-1.0
Elf3	A630072m18rik	-1.0
Foxc1	A630072m18rik	-1.0
Jun	A630072m18rik	-1.0
Bcl3	Aa388235	0.5
Fos	Aatk	1.0
Fosl1	Aatk	1.0
Jun	Aatk	1.0
Junb	Aatk	1.0
Nfe2	Aatk	1.0
Prdm1	Aatk	1.0
Foxc1	Abca3	1.0
Meis3	Abca5	1.0
Nfia	Abca5	1.0
Tgif1	Abca5	1.0
Bcl6	Abcc3	0.5
Fosl1	Abcc3	1.0
Jun	Abcc3	1.0
Junb	Abcc3	1.0
Nfe2	Abcc3	1.0
Nr1d1	Abcc3	1.0
Rora	Abcc3	1.0
Bcl6	Abcg1	0.5
Elf3	Abcg1	1.0
Jun	Abcg1	1.0
Nfe2	Abcg1	1.0
Rora	Abcg1	1.0
Thra	Abcg1	1.0
Bach1	Abhd2	1.0
Bcl6	Abhd2	0.5
Elf3	Abhd2	1.0
Fosl1	Abhd2	1.0
Foxc1	Abhd2	1.0
Foxo3	Abhd2	1.0
Jun	Abhd2	1.0
Maf	Abhd2	1.0
Maff	Abhd2	1.0
Nfe2	Abhd2	1.0
Nr1d1	Abhd2	1.0
Rara	Abhd2	1.0
Relb	Abhd2	1.0
Rora	Abhd2	1.0
Rxrg	Abhd2	0.5
Thra	Abhd2	1.0
Vdr	Abhd2	1.0
Rora	Abhd4	1.0
Rara	Abhd8	1.0
Thra	Abhd8	1.0
Elf3	Abi3bp	1.0
Etv5	Abi3bp	1.0
Fos	Abi3bp	1.0
Fosb	Abi3bp	1.0
Fosl1	Abi3bp	1.0
Jun	Abi3bp	1.0
Junb	Abi3bp	1.0
Nfe2	Abi3bp	1.0
Nfia	Abi3bp	1.0
Nfic	Abi3bp	1.0
Prdm1	Abi3bp	1.0
Rara	Abi3bp	1.0
Relb	Abi3bp	1.0
Rora	Abi3bp	1.0
Rxrg	Abi3bp	0.5
Tbx21	Abi3bp	0.5
Thra	Abi3bp	1.0
Zfp105	Abi3bp	1.0
Bach1	Ablim3	1.0
Bcl6	Ablim3	0.5
Egr2	Ablim3	1.0
Elf3	Ablim3	1.0
Fos	Ablim3	1.0
Fosl1	Ablim3	1.0
Foxc1	Ablim3	1.0
Jun	Ablim3	1.0
Junb	Ablim3	1.0
Lef1	Ablim3	1.0
Meis3	Ablim3	1.0
Nfe2	Ablim3	1.0
Rara	Ablim3	1.0
Rora	Ablim3	1.0
Tgif1	Ablim3	1.0
Zfp105	Ablim3	1.0
Rora	Abr	-1.0
Fos	Acaa2	1.0
Junb	Acaa2	1.0
Lef1	Acaa2	1.0
Maf	Acaa2	1.0
Maff	Acaa2	1.0
Nfe2	Acaa2	1.0
Rara	Acaa2	1.0
Thra	Acaa2	1.0
Fos	Acad10	1.0
Fosl1	Acad10	1.0
Jun	Acad10	1.0
Junb	Acad10	1.0
Nfe2	Acad10	1.0
