	Hoxa3	Hoxa5	Hoxa6	Mef2c	Nkx6-2	Rorc	Tcf7
1700113h08rik	-1.0	-1.0	-1.0	0	0	0	0
2010300c02rik	0	0	0	1.0	0	0	0
2310007l24rik	0	0	0	1.0	0	1.0	0
4930412o13rik	0	0	-1.0	0	0	0	0
A630001g21rik	0	0	0	0	0	-1.0	0
Abhd2	0	0	0	1.0	0	0	0
Abi3bp	0	0	0	1.0	0	0	0
Ablim3	0	0	0	1.0	0	0	0
Adam19	0	-1.0	0	0	0	0	0
Add3	0	0	0	0	0	-1.0	0
Agap1	0	0	0	0	0	1.0	0
Alcam	0	0	0	1.0	0	0	0
Appl2	0	0	0	1.0	0	1.0	0
Arhgap21	0	0	0	1.0	0	0	0
Asns	0	0	0	0	0	1.0	0
Auts2	0	0	0	0	0	0	1.0
Bach2	0	0	0	0	0	-1.0	0
Bard1	0	0	0	0	0	1.0	0
Bcl2	0	0	0	1.0	0	0	0
Blk	0	0	0	1.0	0	0	0
Ccdc88a	0	0	0	1.0	0	0	0
Ccr6	0	0	0	0	0	1.0	0
Cd44	-1.0	0	0	0	0	0	0
Cdc45	0	0	0	1.0	0	0	0
Cdon	0	0	0	0	0	1.0	0
Cdyl2	0	0	0	0	0	1.0	0
Celf2	0	0	0	0	0	1.0	1.0
Chst1	0	0	0	1.0	0	0	0
Clcn3	0	0	0	0	0	1.0	0
Cntn1	0	0	0	1.0	0	0	0
Cryba4	0	0	0	0	0	1.0	0
Ctsh	0	0	0	0	0	0	1.0
Cyp51	0	0	0	0	0	-1.0	0
Deptor	0	0	-1.0	0	-1.0	0	0
Diap3	0	0	0	0	0	-1.0	0
Dlc1	0	0	0	1.0	0	1.0	1.0
Dsg2	0	0	0	1.0	0	0	0
Dtx4	0	0	0	1.0	0	0	0
Ece1	0	0	0	1.0	0	0	0
Ecm1	0	0	0	1.0	0	0	0
Epb4.1l5	0	0	0	0	0	1.0	1.0
Etv6	0	0	0	0	0	1.0	0
Fam155a	0	0	0	0	0	1.0	1.0
Fam3c	0	0	0	1.0	0	0	0
Fam84b	0	0	0	1.0	0	0	0
Fancl	0	0	0	0	0	1.0	0
Farp1	0	0	0	1.0	0	0	0
Fbxl13	0	0	0	0	0	1.0	0
Fermt2	0	0	0	1.0	0	0	0
Flnb	0	0	0	0	0	1.0	0
Flrt2	0	0	0	0	0	-1.0	0
Fmnl2	0	0	0	0	0	1.0	0
Frmd4b	0	0	0	0	-1.0	0	0
Fut8	-1.0	-1.0	-1.0	0	-1.0	0	0
Gata3	0	0	-1.0	0	0	0	0
Gcnt1	0	0	0	0	0	-1.0	0
Gfod1	0	0	0	1.0	0	0	0
Glcci1	0	-1.0	0	0	-1.0	0	0
Gpnmb	0	0	0	1.0	0	0	1.0
Grb10	0	0	0	1.0	0	0	1.0
Gria3	0	0	0	0	0	1.0	1.0
Hbegf	0	0	0	1.0	0	0	0
Hcn1	0	0	0	0	0	-1.0	0
Hdac9	0	0	0	1.0	0	1.0	0
Igfbp7	0	0	0	0	0	0	1.0
Il1r1	0	0	0	1.0	0	1.0	1.0
Il22	0	0	0	0	0	0	1.0
Il23r	0	0	0	0	0	1.0	0
Inpp4b	0	-1.0	0	0	0	-1.0	0
Kcnmb4	0	0	0	0	0	1.0	0
Khdrbs3	0	0	0	0	0	1.0	1.0
Klhdc9	0	0	0	1.0	0	0	0
Lca5	0	0	-1.0	0	0	0	0
Ly86	0	0	0	1.0	0	0	0
Mapk10	0	0	0	1.0	0	0	0
Meis1	0	0	0	0	0	0	1.0
Mfsd6	0	0	0	1.0	0	1.0	0
Mllt3	0	0	0	0	0	-1.0	0
Mpzl1	0	0	0	1.0	0	0	0
Ncald	0	0	0	0	0	1.0	0
Ncoa7	0	0	0	1.0	0	1.0	1.0
Ndst1	0	0	0	1.0	0	0	0
Nfatc1	0	0	0	1.0	0	0	0
Odc1	0	0	0	0	0	1.0	0
Ostf1	0	0	0	0	0	1.0	0
Parvb	0	0	0	0	0	0	1.0
Pdgfc	0	0	0	1.0	0	0	0
Pex13	0	0	0	1.0	0	0	0
Pfkfb3	0	0	0	1.0	0	0	0
Phlpp1	0	0	0	1.0	0	0	0
Pi4k2a	0	0	0	1.0	0	0	0
Plb1	0	0	0	0	0	1.0	1.0
Plekhg1	0	0	0	1.0	0	0	1.0
Plekhm3	0	0	0	0	0	1.0	0
Plxdc2	-1.0	-1.0	0	0	-1.0	0	0
Plxna2	0	0	0	1.0	0	0	0
Ppap2a	0	0	0	1.0	0	0	0
Ppp3ca	0	0	0	0	-1.0	0	0
Prelid2	0	0	0	0	0	1.0	0
Prickle1	0	0	0	0	0	0	1.0
Ptprm	0	0	0	1.0	0	1.0	0
Rasa2	0	0	0	0	0	1.0	0
Rell1	0	0	0	1.0	0	1.0	0
Rfx3	0	0	0	0	0	1.0	0
Rnf150	0	0	0	1.0	0	1.0	0
Rprd1b	0	0	0	0	0	1.0	0
S1pr3	0	0	0	0	0	0	1.0
Serinc2	0	0	0	0	0	1.0	0
Serpine2	0	0	0	0	0	1.0	0
Sestd1	0	0	0	1.0	0	0	0
Slc15a3	0	0	0	1.0	0	0	0
Slc22a15	0	0	0	0	0	1.0	0
Slc23a2	0	0	0	0	0	0	1.0
Slc41a3	0	0	0	1.0	0	0	0
Slc6a7	0	0	0	0	0	1.0	1.0
Slc7a14	0	0	0	0	0	1.0	0
Smad1	0	0	0	1.0	0	0	0
Smyd2	0	0	0	0	0	0	1.0
Sntb1	0	-1.0	0	0	0	-1.0	0
Snx13	0	0	0	1.0	0	1.0	0
Srgap1	0	0	0	0	0	1.0	0
St3gal3	0	0	0	1.0	0	0	0
St8sia4	-1.0	0	0	0	0	-1.0	0
Stk17b	-1.0	-1.0	0	0	-1.0	0	0
Syne1	0	0	0	0	0	-1.0	0
Tgm3	0	0	0	1.0	0	0	0
Tifa	0	0	0	0	0	1.0	0
Tmem194b	0	0	0	0	0	1.0	0
Tssk6	0	0	0	1.0	0	0	0
Ttc39b	0	0	0	0	0	-1.0	0
Ubash3b	0	0	0	0	0	-1.0	0
Ust	0	0	0	0	0	1.0	0
Vps37c	0	0	0	1.0	0	0	0
Wdr37	0	0	0	0	0	1.0	0
Whrn	0	0	0	0	0	0	1.0
Xkrx	0	0	0	1.0	0	1.0	1.0
Zbed4	0	0	0	1.0	0	0	0
