Regulator	Target	Weight
Hoxa3	1700113h08rik	-1.0
Hoxa5	1700113h08rik	-1.0
Hoxa6	1700113h08rik	-1.0
Mef2c	2010300c02rik	1.0
Mef2c	2310007l24rik	1.0
Rorc	2310007l24rik	1.0
Hoxa6	4930412o13rik	-1.0
Rorc	A630001g21rik	-1.0
Mef2c	Abhd2	1.0
Mef2c	Abi3bp	1.0
Mef2c	Ablim3	1.0
Hoxa5	Adam19	-1.0
Rorc	Add3	-1.0
Rorc	Agap1	1.0
Mef2c	Alcam	1.0
Mef2c	Appl2	1.0
Rorc	Appl2	1.0
Mef2c	Arhgap21	1.0
Rorc	Asns	1.0
Tcf7	Auts2	1.0
Rorc	Bach2	-1.0
Rorc	Bard1	1.0
Mef2c	Bcl2	1.0
Mef2c	Blk	1.0
Mef2c	Ccdc88a	1.0
Rorc	Ccr6	1.0
Hoxa3	Cd44	-1.0
Mef2c	Cdc45	1.0
Rorc	Cdon	1.0
Rorc	Cdyl2	1.0
Rorc	Celf2	1.0
Tcf7	Celf2	1.0
Mef2c	Chst1	1.0
Rorc	Clcn3	1.0
Mef2c	Cntn1	1.0
Rorc	Cryba4	1.0
Tcf7	Ctsh	1.0
Rorc	Cyp51	-1.0
Hoxa6	Deptor	-1.0
Nkx6-2	Deptor	-1.0
Rorc	Diap3	-1.0
Mef2c	Dlc1	1.0
Rorc	Dlc1	1.0
Tcf7	Dlc1	1.0
Mef2c	Dsg2	1.0
Mef2c	Dtx4	1.0
Mef2c	Ece1	1.0
Mef2c	Ecm1	1.0
Rorc	Epb4.1l5	1.0
Tcf7	Epb4.1l5	1.0
Rorc	Etv6	1.0
Rorc	Fam155a	1.0
Tcf7	Fam155a	1.0
Mef2c	Fam3c	1.0
Mef2c	Fam84b	1.0
Rorc	Fancl	1.0
Mef2c	Farp1	1.0
Rorc	Fbxl13	1.0
Mef2c	Fermt2	1.0
Rorc	Flnb	1.0
Rorc	Flrt2	-1.0
Rorc	Fmnl2	1.0
Nkx6-2	Frmd4b	-1.0
Hoxa3	Fut8	-1.0
Hoxa5	Fut8	-1.0
Hoxa6	Fut8	-1.0
Nkx6-2	Fut8	-1.0
Hoxa6	Gata3	-1.0
Rorc	Gcnt1	-1.0
Mef2c	Gfod1	1.0
Hoxa5	Glcci1	-1.0
Nkx6-2	Glcci1	-1.0
Mef2c	Gpnmb	1.0
Tcf7	Gpnmb	1.0
Mef2c	Grb10	1.0
Tcf7	Grb10	1.0
Rorc	Gria3	1.0
Tcf7	Gria3	1.0
Mef2c	Hbegf	1.0
Rorc	Hcn1	-1.0
Mef2c	Hdac9	1.0
Rorc	Hdac9	1.0
Tcf7	Igfbp7	1.0
Mef2c	Il1r1	1.0
Rorc	Il1r1	1.0
Tcf7	Il1r1	1.0
Tcf7	Il22	1.0
Rorc	Il23r	1.0
Hoxa5	Inpp4b	-1.0
Rorc	Inpp4b	-1.0
Rorc	Kcnmb4	1.0
Rorc	Khdrbs3	1.0
Tcf7	Khdrbs3	1.0
Mef2c	Klhdc9	1.0
Hoxa6	Lca5	-1.0
Mef2c	Ly86	1.0
Mef2c	Mapk10	1.0
Tcf7	Meis1	1.0
Mef2c	Mfsd6	1.0
Rorc	Mfsd6	1.0
Rorc	Mllt3	-1.0
Mef2c	Mpzl1	1.0
Rorc	Ncald	1.0
Mef2c	Ncoa7	1.0
Rorc	Ncoa7	1.0
Tcf7	Ncoa7	1.0
