	Bach1	Bach2	Bcl11a	Bcl6	Esr1	Fos	Fosb	Fosl1	Foxa1	Foxc1	Foxo1	Hivep1	Hoxa2	Hoxa3	Jun	Junb	Maf	Maff	Mafg	Mef2c	Nfe2	Nfia	Nfic	Nfix	Nfkb2	Nkx6-2	Nr1d1	Pax6	Pbx1	Ppard	Rara	Relb	Rfx3	Rora	Rorc	Tcf7	Thra	Thrb	Vdr	Zbtb18
0610010f05rik	1.0	0.5	1.0	0	0	1.0	1.0	1.0	0	1.0	0	0	0	0	1.0	1.0	0.5	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0
1600014c10rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
1700001c19rik	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001l05rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
1700017b05rik	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
1700025g04rik	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0
1700034j05rik	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
1700049g17rik	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810011o10rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	1.0	0	0	1.0	0	0	0	0	0	0
2010015l04rik	0	0.5	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
