Regulator	Target	Weight
Bach1	0610010f05rik	1.0
Bach2	0610010f05rik	0.5
Bcl11a	0610010f05rik	1.0
Fos	0610010f05rik	1.0
Fosb	0610010f05rik	1.0
Fosl1	0610010f05rik	1.0
Foxc1	0610010f05rik	1.0
Jun	0610010f05rik	1.0
Junb	0610010f05rik	1.0
Maf	0610010f05rik	0.5
Maff	0610010f05rik	1.0
Nfe2	0610010f05rik	1.0
Rora	0610010f05rik	1.0
Tcf7	0610010f05rik	1.0
Rora	1600014c10rik	1.0
Bcl11a	1700001c19rik	1.0
Junb	1700001c19rik	1.0
Maf	1700001c19rik	0.5
Maff	1700001c19rik	1.0
Nfe2	1700001c19rik	1.0
Rfx3	1700001l05rik	1.0
Fos	1700017b05rik	1.0
Relb	1700017b05rik	1.0
Fosl1	1700025g04rik	-1.0
Junb	1700025g04rik	-1.0
Nfe2	1700025g04rik	-1.0
Pbx1	1700025g04rik	-1.0
Rara	1700025g04rik	-1.0
Foxc1	1700034j05rik	1.0
Tcf7	1700034j05rik	1.0
Bcl6	1700049g17rik	0.5
Nfkb2	1700049g17rik	1.0
Pax6	1810011o10rik	1.0
Pbx1	1810011o10rik	1.0
Rara	1810011o10rik	1.0
Rora	1810011o10rik	1.0
Bach2	2010015l04rik	0.5
Fos	2010015l04rik	1.0
Rfx3	2010015l04rik	1.0
Bcl11a	2010016i18rik	-1.0
Fos	2010016i18rik	-1.0
Jun	2010016i18rik	-1.0
Junb	2010016i18rik	-1.0
Nfe2	2010016i18rik	-1.0
Rara	2010016i18rik	-1.0
Rora	2010016i18rik	-1.0
Bcl6	2010300c02rik	0.5
Mef2c	2010300c02rik	1.0
Rara	2010300c02rik	1.0
Rfx3	2010300c02rik	1.0
Rora	2010300c02rik	1.0
Thra	2010300c02rik	1.0
Thrb	2010300c02rik	1.0
Nr1d1	2210015d19rik	1.0
Relb	2210015d19rik	1.0
Rora	2210015d19rik	1.0
Rorc	2210015d19rik	1.0
Bach2	2310007l24rik	0.5
Esr1	2310007l24rik	1.0
Fos	2310007l24rik	1.0
Fosl1	2310007l24rik	1.0
Foxa1	2310007l24rik	1.0
Jun	2310007l24rik	1.0
Junb	2310007l24rik	1.0
Mef2c	2310007l24rik	1.0
Rara	2310007l24rik	1.0
Rora	2310007l24rik	1.0
Rorc	2310007l24rik	1.0
Zbtb18	2310007l24rik	1.0
Nfia	2410089e03rik	1.0
Nfix	2410089e03rik	1.0
Esr1	2410131k14rik	1.0
Foxa1	2410131k14rik	1.0
Rara	2410131k14rik	1.0
Rora	2410131k14rik	1.0
Tcf7	2410131k14rik	1.0
Thrb	2410131k14rik	1.0
Bcl11a	2610018g03rik	-1.0
Rara	2610035d17rik	1.0
Rfx3	2610035d17rik	1.0
Foxo1	2700086a05rik	1.0
Hoxa3	2810459m11rik	1.0
Esr1	2900005j15rik	1.0
Fos	2900005j15rik	1.0
Rora	2900005j15rik	1.0
Fos	2900026a02rik	1.0
Fosl1	2900026a02rik	1.0
Foxa1	2900026a02rik	1.0
Junb	2900026a02rik	1.0
Maf	2900026a02rik	0.5
Nfe2	2900026a02rik	1.0
Nr1d1	2900026a02rik	1.0
Rara	2900026a02rik	1.0
Rora	2900026a02rik	1.0
