	Bcl6	Cebpg	Eomes	Epas1	Esrra	Ets1	Ets2	Evx1	Foxm1	Foxo1	Gfi1	Irf3	Irf5	Irf7	Irf8	Klf8	Maf	Meis3	Nr3c1	Nr4a2	Runx2	Stat3	Tbx21	Tgif1	Trp53	Vdr	Zeb1
0610010f05rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-1.0	0	0	0	0	0
1110007c09rik	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
1110008f13rik	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	1.0	0	1.0	0	0	0	0	0	0
1110008p14rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0
1110032a03rik	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600014c10rik	0	0	0	0	0	-1.0	0	0	0	0	0	-1.0	0	-1.0	-0.5	0	0	0	0	-1.0	0	0	0	0	0	0	0
1700001c19rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	0	0	-1.0	0	0	0	0	0
1700012b07rik	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
1700025g04rik	1.0	0	0.5	1.0	0	1.0	1.0	0	0	1.0	0	1.0	1.0	0	0.5	0	1.0	0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
1700113h08rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0
1810011h11rik	0	0	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0
2310009b15rik	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0
2310015a10rik	0	0	-0.5	0	0	-1.0	-1.0	0	-1.0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0
2310022a10rik	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	0	0	1.0
2410131k14rik	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2510009e07rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
2510039o18rik	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610018g03rik	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0.5	0	0	0	0	1.0	0	1.0	0	0	0	0	0
2610020h08rik	0	0	0	0	0	1.0	0	0	0	1.0	0	1.0	0	0	0.5	0	0	0	1.0	0	0	0	0	0	0	0	0
2610035d17rik	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0
2700086a05rik	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	1.0	0	1.0	0	0	0.5	0
2810004n23rik	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0
2810474o19rik	0	0	0	0	0	-1.0	0	0	0	-1.0	0	-1.0	0	0	0	0	-1.0	0	-1.0	-1.0	-1.0	0	0	0	0	0	0
2900026a02rik	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	1.0	0.5	1.0	0	1.0	1.0	0	1.0	0	0	1.0
3110082i17rik	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4632428n05rik	1.0	0	0	0	0	1.0	1.0	0	0	0	0	0	1.0	0	0	0	1.0	0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.5	0
4632434i11rik	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0
4930412o13rik	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.5	0	0	0	0	-1.0	0	0	0	0	0	0	0
4930417o13rik	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	1.0	0	0
4930486l24rik	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	1.0	0	0	0.5	0
4930503l19rik	0	1.0	0.5	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.0	1.0	0	0	0	0	0
4931406p16rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
4932438h23rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
4933431e20rik	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5330417c22rik	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0
5330426p16rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
