	E2f1	Gata3	Pou2f2
1700001l05rik	-1.0	0	0
4930412o13rik	0	1.0	0
4930417o13rik	0	0	1.0
Acer2	0	0	1.0
Acoxl	0	0	1.0
Adam19	0	0	1.0
Adap1	-1.0	0	0
Ahcyl2	0	1.0	0
Amph	0	0	1.0
Angpt1	0	1.0	1.0
Ap1s3	0	1.0	1.0
Apol7e	0	-1.0	0
Ar	0	0	1.0
Arfgap3	-1.0	0	0
Arhgap15	0	1.0	0
Arhgap21	0	-1.0	0
Arhgap4	0	0	1.0
Arhgap5	0	1.0	0
Arhgef6	0	0	1.0
Arid5b	0	1.0	0
Arl5a	0	1.0	0
Art2b	0	1.0	0
Atp8a2	0	1.0	0
Auts2	-1.0	0	0
Azin1	-1.0	0	0
B4galt1	0	1.0	0
Bach2	0	1.0	0
Bbs9	0	1.0	0
Bc035044	-1.0	-1.0	0
Bcl2	-1.0	0	0
Bcl2l1	0	1.0	1.0
Bend4	-1.0	0	0
Bmp7	0	0	1.0
Bsn	-1.0	0	0
Btbd11	0	-1.0	0
Bzw2	0	1.0	0
Cacna1d	0	1.0	0
Calcrl	0	1.0	0
Camk2d	0	1.0	1.0
Capn2	0	1.0	0
Casc4	0	0	1.0
Cask	0	1.0	1.0
Casz1	-1.0	0	0
Ccdc88a	0	-1.0	0
Ccl1	0	1.0	0
Ccl17	0	-1.0	0
Ccnd2	0	1.0	1.0
Ccr8	0	1.0	1.0
Cd160	0	-1.0	0
Cd226	0	1.0	0
Cd28	0	1.0	0
Cd44	0	1.0	1.0
Cd68	-1.0	0	0
Cd69	0	1.0	0
Cd93	0	-1.0	0
Cdc14a	0	-1.0	0
Cdkl3	0	0	1.0
Cdyl2	-1.0	-1.0	0
Celf2	0	-1.0	0
Chdh	0	1.0	1.0
Chic1	0	1.0	0
Chm	0	1.0	0
Chn2	0	1.0	1.0
Chsy3	0	1.0	1.0
Cln8	-1.0	0	0
Cnn2	0	0	1.0
Cnot6l	0	0	1.0
Cntn1	0	-1.0	0
Cog5	0	1.0	0
Coq2	0	1.0	0
Cpe	0	-1.0	0
Cr1l	0	1.0	0
Creb3l1	0	1.0	0
Ctla2b	0	0	1.0
Cxcl3	0	1.0	1.0
Cxcl9	0	-1.0	0
Cysltr1	0	1.0	1.0
D330045a20rik	0	0	1.0
Dagla	-1.0	0	0
Dapp1	0	1.0	0
Ddb2	0	1.0	0
Decr1	0	0	1.0
Deptor	0	1.0	0
Dgat1	0	-1.0	0
Dhrs3	-1.0	-1.0	0
Dlc1	-1.0	-1.0	0
Dnajc6	-1.0	0	0
Dock9	0	-1.0	0
Dpp4	0	1.0	0
Dpysl3	0	1.0	0
Dscam	-1.0	0	0
Dtnbp1	0	1.0	0
Dusp2	-1.0	0	0
Ece1	-1.0	0	0
Eepd1	0	0	1.0
Eif2d	0	1.0	1.0
Epb4.1l2	0	0	1.0
Epb4.1l4a	0	1.0	1.0
Epha4	0	-1.0	0
Ets2	0	1.0	0
Etv6	0	-1.0	0
Ezr	-1.0	-1.0	0
Fam117a	0	0	1.0
Fam124b	0	-1.0	0
Fam19a3	0	0	1.0
Fam49a	0	-1.0	0
Fam69a	0	1.0	0
Fbrsl1	-1.0	0	0
Fbxl21	0	0	1.0
Fbxo21	-1.0	0	0
Fdxacb1	-1.0	0	0
Ficd	-1.0	0	0
Fkbp5	0	0	1.0
Flt3l	0	0	1.0
Fmnl2	0	-1.0	0
Foxn3	0	0	1.0
