Regulator	Target	Weight
E2f1	1700001l05rik	-1.0
Gata3	4930412o13rik	1.0
Pou2f2	4930417o13rik	1.0
Pou2f2	Acer2	1.0
Pou2f2	Acoxl	1.0
Pou2f2	Adam19	1.0
E2f1	Adap1	-1.0
Gata3	Ahcyl2	1.0
Pou2f2	Amph	1.0
Gata3	Angpt1	1.0
Pou2f2	Angpt1	1.0
Gata3	Ap1s3	1.0
Pou2f2	Ap1s3	1.0
Gata3	Apol7e	-1.0
Pou2f2	Ar	1.0
E2f1	Arfgap3	-1.0
Gata3	Arhgap15	1.0
Gata3	Arhgap21	-1.0
Pou2f2	Arhgap4	1.0
Gata3	Arhgap5	1.0
Pou2f2	Arhgef6	1.0
Gata3	Arid5b	1.0
Gata3	Arl5a	1.0
Gata3	Art2b	1.0
Gata3	Atp8a2	1.0
E2f1	Auts2	-1.0
E2f1	Azin1	-1.0
Gata3	B4galt1	1.0
Gata3	Bach2	1.0
Gata3	Bbs9	1.0
E2f1	Bc035044	-1.0
Gata3	Bc035044	-1.0
E2f1	Bcl2	-1.0
Gata3	Bcl2l1	1.0
Pou2f2	Bcl2l1	1.0
E2f1	Bend4	-1.0
Pou2f2	Bmp7	1.0
E2f1	Bsn	-1.0
Gata3	Btbd11	-1.0
Gata3	Bzw2	1.0
Gata3	Cacna1d	1.0
Gata3	Calcrl	1.0
Gata3	Camk2d	1.0
Pou2f2	Camk2d	1.0
Gata3	Capn2	1.0
Pou2f2	Casc4	1.0
Gata3	Cask	1.0
Pou2f2	Cask	1.0
E2f1	Casz1	-1.0
Gata3	Ccdc88a	-1.0
Gata3	Ccl1	1.0
Gata3	Ccl17	-1.0
Gata3	Ccnd2	1.0
Pou2f2	Ccnd2	1.0
Gata3	Ccr8	1.0
Pou2f2	Ccr8	1.0
Gata3	Cd160	-1.0
Gata3	Cd226	1.0
Gata3	Cd28	1.0
Gata3	Cd44	1.0
Pou2f2	Cd44	1.0
E2f1	Cd68	-1.0
Gata3	Cd69	1.0
Gata3	Cd93	-1.0
Gata3	Cdc14a	-1.0
Pou2f2	Cdkl3	1.0
E2f1	Cdyl2	-1.0
Gata3	Cdyl2	-1.0
Gata3	Celf2	-1.0
Gata3	Chdh	1.0
Pou2f2	Chdh	1.0
Gata3	Chic1	1.0
Gata3	Chm	1.0
Gata3	Chn2	1.0
Pou2f2	Chn2	1.0
Gata3	Chsy3	1.0
Pou2f2	Chsy3	1.0
E2f1	Cln8	-1.0
Pou2f2	Cnn2	1.0
Pou2f2	Cnot6l	1.0
Gata3	Cntn1	-1.0
Gata3	Cog5	1.0
Gata3	Coq2	1.0
Gata3	Cpe	-1.0
Gata3	Cr1l	1.0
Gata3	Creb3l1	1.0
Pou2f2	Ctla2b	1.0
Gata3	Cxcl3	1.0
Pou2f2	Cxcl3	1.0
Gata3	Cxcl9	-1.0
Gata3	Cysltr1	1.0
Pou2f2	Cysltr1	1.0
Pou2f2	D330045a20rik	1.0
E2f1	Dagla	-1.0
Gata3	Dapp1	1.0
Gata3	Ddb2	1.0
Pou2f2	Decr1	1.0
Gata3	Deptor	1.0
Gata3	Dgat1	-1.0
E2f1	Dhrs3	-1.0
Gata3	Dhrs3	-1.0
E2f1	Dlc1	-1.0
Gata3	Dlc1	-1.0
E2f1	Dnajc6	-1.0
Gata3	Dock9	-1.0
Gata3	Dpp4	1.0
Gata3	Dpysl3	1.0
E2f1	Dscam	-1.0
Gata3	Dtnbp1	1.0
E2f1	Dusp2	-1.0
E2f1	Ece1	-1.0
Pou2f2	Eepd1	1.0
Gata3	Eif2d	1.0
Pou2f2	Eif2d	1.0
Pou2f2	Epb4.1l2	1.0
Gata3	Epb4.1l4a	1.0
Pou2f2	Epb4.1l4a	1.0
Gata3	Epha4	-1.0
Gata3	Ets2	1.0
Gata3	Etv6	-1.0
E2f1	Ezr	-1.0
Gata3	Ezr	-1.0
Pou2f2	Fam117a	1.0
Gata3	Fam124b	-1.0
Pou2f2	Fam19a3	1.0
Gata3	Fam49a	-1.0
Gata3	Fam69a	1.0
E2f1	Fbrsl1	-1.0
Pou2f2	Fbxl21	1.0
E2f1	Fbxo21	-1.0
E2f1	Fdxacb1	-1.0
E2f1	Ficd	-1.0
Pou2f2	Fkbp5	1.0
Pou2f2	Flt3l	1.0
Gata3	Fmnl2	-1.0
Pou2f2	Foxn3	1.0
Gata3	Frmd4b	1.0
Pou2f2	Fut8	1.0
Pou2f2	Fyb	1.0
Gata3	Gab2	-1.0
Pou2f2	Gadd45b	1.0
E2f1	Gfod1	-1.0
Gata3	Gfod1	-1.0
Gata3	Gimap4	-1.0
Gata3	Gimap6	1.0
Pou2f2	Gimap9	1.0
Gata3	Glcci1	1.0
Pou2f2	Glcci1	1.0
Gata3	Gm1966	1.0
Pou2f2	Gm2a	1.0
Pou2f2	Gm4759	1.0
Gata3	Gm5127	1.0
Pou2f2	Gm5127	1.0
Gata3	Gm5544	1.0
Pou2f2	Gm5544	1.0
Pou2f2	Gm973	1.0
E2f1	Gmppa	-1.0
Gata3	Gnaq	1.0
E2f1	Gpr157	-1.0
Gata3	Gpr18	-1.0
Gata3	Gpr98	-1.0
Gata3	Gramd3	-1.0
Gata3	Grap	1.0
E2f1	Gtf2ird1	-1.0
E2f1	H2-aa	-1.0
E2f1	H2-dma	-1.0
Pou2f2	Hormad2	1.0
Gata3	Hpcal1	-1.0
Gata3	Hpse	-1.0
Gata3	Hs3st1	1.0
Gata3	Hs6st2	-1.0
E2f1	Igf1r	-1.0
Gata3	Igsf5	1.0
Pou2f2	Igsf5	1.0
Gata3	Ikzf3	1.0
Pou2f2	Ikzf3	1.0
Pou2f2	Il13	1.0
Gata3	Il17rb	1.0
Pou2f2	Il17rb	1.0
E2f1	Il18r1	-1.0
Gata3	Il18r1	-1.0
Gata3	Il2	1.0
Pou2f2	Il4	1.0
Gata3	Il5	1.0
Pou2f2	Il9r	1.0
E2f1	Immp2l	-1.0
E2f1	Inpp4a	-1.0
Gata3	Inpp4b	1.0
Pou2f2	Inpp4b	1.0
Gata3	Ipmk	1.0
Gata3	Irak2	-1.0
Gata3	Irak3	1.0
Pou2f2	Irak3	1.0
Pou2f2	Irf4	1.0
Pou2f2	Itga2	1.0
Gata3	Itgae	-1.0
Gata3	Itgax	-1.0
Gata3	Itgb7	1.0
Pou2f2	Itpr2	1.0
E2f1	Itprip	-1.0
E2f1	Itsn1	-1.0
Pou2f2	Jag1	1.0
Pou2f2	Jak2	1.0
E2f1	Jmjd6	-1.0
Gata3	Kcna4	1.0
Gata3	Kcnd2	1.0
Gata3	Kcnk5	1.0
Pou2f2	Kcnq5	1.0
E2f1	Khdrbs3	-1.0
Pou2f2	Kirrel3	1.0
Gata3	Klf5	1.0
E2f1	Klrb1b	-1.0
Gata3	Klrb1b	-1.0
E2f1	Klrb1c	-1.0
Gata3	Klrb1c	-1.0
Gata3	Klrg1	1.0
Pou2f2	Kntc1	1.0
Pou2f2	Lgals1	1.0
Gata3	Lmnb1	-1.0
E2f1	Loxl3	-1.0
Gata3	Lrig1	1.0
E2f1	Lrp12	-1.0
Gata3	Lrrc58	-1.0
Gata3	Lrrc66	-1.0
E2f1	Lrrc8a	-1.0
Pou2f2	Lrrn2	1.0
Gata3	Maml3	-1.0
E2f1	Map3k14	-1.0
Gata3	Mapk10	-1.0
Gata3	Mapk11	1.0
Pou2f2	Mapk11	1.0
Pou2f2	Mapk12	1.0
Gata3	Mapkapk2	-1.0
Pou2f2	Med12l	1.0
Gata3	Mepce	-1.0
Pou2f2	Mfsd3	1.0
E2f1	Midn	-1.0
Gata3	Mllt3	1.0
Gata3	Mreg	1.0
Gata3	Ms4a4b	-1.0
Gata3	Ms4a4c	-1.0
Gata3	Msn	1.0
Pou2f2	Msn	1.0
Gata3	Msrb3	-1.0
Pou2f2	Mta1	1.0
Gata3	Mthfr	-1.0
Pou2f2	Nav2	1.0
Gata3	Nck2	1.0
Pou2f2	Nck2	1.0
Gata3	Nckap5	1.0
Gata3	Ncoa7	-1.0
Pou2f2	Ndufb9	1.0
Pou2f2	Nedd4l	1.0
Gata3	Nek7	1.0
E2f1	Nfatc1	-1.0
E2f1	Nfatc2	-1.0
Gata3	Nfatc2	-1.0
Pou2f2	Nfkbiz	1.0
Pou2f2	Nipa1	1.0
Gata3	Nlrc3	1.0
Gata3	Nr3c1	1.0
Pou2f2	Nr3c1	1.0
Pou2f2	Nr4a1	1.0
Pou2f2	Nrip1	1.0
Gata3	Nrp1	-1.0
Pou2f2	Nt5e	1.0
Pou2f2	Nucb2	1.0
Gata3	Olfr1033	-1.0
Gata3	Orc4	1.0
Pou2f2	Orc4	1.0
Pou2f2	Osbpl3	1.0
Gata3	Ostf1	-1.0
Gata3	Pacs2	1.0
Gata3	Pard3	1.0
Gata3	Pard3b	1.0
Pou2f2	Pard3b	1.0
E2f1	Pcdhgc3	-1.0
Gata3	Pde4d	1.0
Pou2f2	Pde4d	1.0
Pou2f2	Pde7a	1.0
Gata3	Pde7b	1.0
E2f1	Pdgfrb	-1.0
Gata3	Phlpp1	-1.0
Gata3	Pik3c2a	1.0
Gata3	Pik3r5	1.0
E2f1	Pkib	-1.0
Gata3	Pla2g16	1.0
Pou2f2	Plcg1	1.0
Pou2f2	Plec	1.0
E2f1	Plekhg1	-1.0
Gata3	Plekhg1	-1.0
Pou2f2	Plxdc2	1.0
Gata3	Polg2	1.0
Pou2f2	Polg2	1.0
Gata3	Polr1d	1.0
Pou2f2	Pou2f2	1.0
Pou2f2	Ppm1j	1.0
Gata3	Ppp3ca	1.0
Pou2f2	Ppp3ca	1.0
Gata3	Prc1	-1.0
Pou2f2	Prdm1	1.0
Gata3	Prf1	1.0
E2f1	Prickle1	-1.0
Gata3	Prickle1	-1.0
Pou2f2	Prkcb	1.0
Gata3	Prkcq	1.0
Pou2f2	Prkcq	1.0
Gata3	Ptpn13	1.0
Gata3	Ptprc	1.0
Pou2f2	Ptprc	1.0
E2f1	Ptprm	-1.0
Pou2f2	Purg	1.0
Gata3	Qser1	1.0
Gata3	Rab4a	1.0
Gata3	Rabgef1	-1.0
Gata3	Rad50	1.0
Gata3	Rapgef2	1.0
E2f1	Rassf3	-1.0
Pou2f2	Rb1	1.0
Pou2f2	Rbm20	1.0
Pou2f2	Rbms1	1.0
Pou2f2	Rcn1	1.0
Gata3	Rcsd1	1.0
Gata3	Rell1	-1.0
Gata3	Rgs2	1.0
Gata3	Rhbdf2	-1.0
Gata3	Rnf145	-1.0
E2f1	Rnf34	-1.0
Gata3	Rnf34	-1.0
E2f1	Rnf43	-1.0
Gata3	Rnmt	-1.0
Pou2f2	Rock2	1.0
Pou2f2	Rpl7	1.0
Gata3	Rps6ka1	1.0
Pou2f2	Rps6ka1	1.0
Gata3	Rps6ka5	1.0
Pou2f2	Rxrg	1.0
Gata3	Samsn1	1.0
Pou2f2	Samsn1	1.0
E2f1	Sbno2	-1.0
Gata3	Scel	1.0
Pou2f2	Scel	1.0
Gata3	Scrt1	-1.0
Gata3	Sdf4	1.0
Gata3	Sec24d	-1.0
Gata3	Sephs2	-1.0
Gata3	Serinc3	1.0
Gata3	Serpina3f	-1.0
Gata3	Serpina3g	-1.0
E2f1	Serpine2	-1.0
E2f1	Setd7	-1.0
Gata3	Sh2d2a	1.0
Pou2f2	Sh2d2a	1.0
Pou2f2	Shroom4	1.0
Gata3	Sit1	1.0
Pou2f2	Sit1	1.0
Gata3	Slain1	1.0
Pou2f2	Slain1	1.0
E2f1	Slc20a1	-1.0
E2f1	Slc24a3	-1.0
Gata3	Slc24a3	-1.0
Gata3	Slc2a1	1.0
Pou2f2	Slc2a1	1.0
E2f1	Slc39a7	-1.0
Gata3	Slc7a6os	-1.0
E2f1	Slc9a2	-1.0
Gata3	Slc9a2	-1.0
Gata3	Smap1	1.0
Gata3	Smpdl3a	1.0
Pou2f2	Smpdl3a	1.0
Pou2f2	Sntb1	1.0
E2f1	Snx14	-1.0
E2f1	Snx18	-1.0
Gata3	Stk4	1.0
Pou2f2	Stk4	1.0
Gata3	Stom	-1.0
Gata3	Stxbp6	1.0
Pou2f2	Stxbp6	1.0
Gata3	Susd1	1.0
Gata3	Syne1	1.0
Gata3	Sytl2	1.0
Gata3	Tasp1	1.0
Gata3	Tbc1d17	-1.0
E2f1	Tbc1d8	-1.0
E2f1	Tdrd9	-1.0
Gata3	Tesc	1.0
Pou2f2	Tet2	1.0
Gata3	Thsd4	1.0
Gata3	Tmem104	-1.0
Gata3	Tmem39a	-1.0
E2f1	Tmprss6	-1.0
Gata3	Tmprss6	-1.0
Gata3	Tnfaip8	1.0
Pou2f2	Tnfaip8	1.0
Gata3	Tnfrsf18	1.0
Gata3	Tnfrsf1b	-1.0
Pou2f2	Tnfsf10	1.0
Gata3	Trps1	1.0
Pou2f2	Trps1	1.0
Gata3	Ttc3	1.0
Pou2f2	Ttc3	1.0
Gata3	Ttc39b	1.0
Gata3	Ttyh1	1.0
Gata3	Tusc3	1.0
E2f1	Txk	-1.0
Pou2f2	Unc5b	1.0
Gata3	Upp1	-1.0
Gata3	Usp3	1.0
Gata3	Ust	-1.0
Pou2f2	Utp14b	1.0
E2f1	Vamp2	-1.0
E2f1	Vegfa	-1.0
E2f1	Vipr2	-1.0
Gata3	Vps54	1.0
E2f1	Wdfy3	-1.0
Gata3	Wdr60	1.0
Pou2f2	Wdr60	1.0
Pou2f2	Wrn	1.0
