	Ar	Gata3	Klf5	Klf7	Maz	Mecom	Nfe2	Pou2f2	Prdm16	Stat1	Zfp148
1110065p20rik	0	0	-1.0	0	-1.0	0	0	-1.0	0	0	-1.0
1700001l05rik	0	0	0	0	0	0	0	1.0	0	0	0
1700025g04rik	0	0	0	0	-1.0	0	0	0	0	-1.0	-1.0
1700034j05rik	0	0	0	0	0	0	0	0	0	0	-1.0
1810011h11rik	1.0	0	0	0	0	0	0	0	0	0	0
2310007l24rik	0	0	0	0	-1.0	0	0	0	0	0	0
2310011j03rik	0	0	-1.0	0	0	0	0	0	0	0	0
2510009e07rik	0	0	0	0	0	0	1.0	0	0	0	0
2610020h08rik	1.0	0	0	0	0	0	0	0	0	0	0
2810474o19rik	0	0	0	0	0	1.0	0	0	0	0	0
2900005j15rik	0	0	0	0	0	0	0	0	0	0	-1.0
4930412o13rik	0	1.0	0	0	0	0	0	0	0	0	0
4930523c07rik	0	1.0	0	0	0	0	1.0	0	0	0	0
4930594c11rik	0	0	0	0	0	-1.0	0	0	0	0	0
4931406p16rik	0	0	0	0	-1.0	0	0	0	0	0	-1.0
4931440p22rik	0	0	0	0	0	0	1.0	0	0	0	0
4932438h23rik	0	0	0	0	0	0	1.0	0	0	0	0
4933426m11rik	0	0	0	0	0	1.0	0	0	0	0	0
5830416p10rik	0	0	0	0	0	-1.0	0	-1.0	0	0	0
6330403a02rik	0	0	0	-1.0	0	0	0	0	0	0	0
8430419l09rik	0	1.0	0	0	0	0	0	0	0	0	0
9030617o03rik	1.0	1.0	0	0	0	0	1.0	0	0	0	0
9130019p16rik	0	0	0	0	0	0	0	1.0	0	0	0
9930021j03rik	0	0	0	0	0	0	0	1.0	0	0	0
A4galt	0	0	0	0	0	0	1.0	0	0	0	0
A630089n07rik	0	0	0	0	0	0	1.0	0	0	0	0
A830080d01rik	0	-1.0	0	0	0	0	0	0	0	0	0
Abca1	0	0	0	0	0	0	0	-1.0	0	-1.0	0
Abcb9	0	0	0	0	0	0	1.0	1.0	0	0	0
Abcc4	0	0	0	0	0	1.0	1.0	1.0	0	0	0
Abhd2	0	0	0	0	0	0	0	0	0	-1.0	0
Abhd6	0	0	0	0	0	0	0	1.0	0	0	0
Abi2	0	0	0	0	0	1.0	0	0	0	0	0
Abtb2	0	0	0	0	0	0	0	-1.0	0	-1.0	0
Acacb	0	0	0	-1.0	0	0	0	-1.0	0	0	0
Acbd7	0	0	0	0	0	0	1.0	0	0	0	0
Acer2	1.0	0	0	0	0	0	1.0	1.0	0	0	0
Acot11	0	0	0	0	0	0	1.0	0	0	0	0
Acoxl	0	0	0	0	0	1.0	1.0	1.0	0	0	0
Acsl3	0	0	0	0	0	0	0	1.0	0	0	0
Acss1	0	0	0	0	0	0	1.0	0	0	0	0
Actg1	0	0	0	0	0	0	0	0	0	-1.0	0
Actr8	1.0	0	0	0	0	0	1.0	0	0	0	0
Adam10	0	0	0	0	0	0	1.0	0	0	0	0
Adam12	0	0	0	0	0	1.0	1.0	0	0	0	0
Adam19	0	0	0	0	0	1.0	1.0	1.0	0	0	0
Adamts4	0	-1.0	0	0	0	0	0	0	0	0	0
Adamts6	0	0	0	0	0	0	1.0	0	0	0	0
Adcy4	0	0	-1.0	0	-1.0	0	0	0	0	0	0
Adcy9	0	0	0	0	0	0	1.0	0	0	0	0
Add3	1.0	0	0	0	0	0	0	0	0	0	0
Aff1	0	-1.0	0	0	0	0	0	0	0	0	0
Aff4	0	0	0	0	0	1.0	1.0	0	0	0	0
Agpat4	0	0	0	0	-1.0	0	0	-1.0	0	0	-1.0
Agpat5	0	0	0	0	0	0	0	0	0	-1.0	0
Agpat9	0	0	-1.0	0	0	0	0	0	0	0	-1.0
Ahcyl2	0	1.0	0	0	0	0	1.0	0	0	0	0
Ahr	0	0	0	0	0	0	1.0	0	0	0	0
Ahrr	0	0	0	0	0	0	1.0	0	0	0	0
Ai504432	0	0	0	0	0	0	0	1.0	0	0	0
Ak129341	0	0	-1.0	0	0	0	0	0	0	0	0
Akap7	1.0	0	0	0	0	0	0	1.0	0	0	0
Akr1c13	1.0	0	0	0	0	0	0	0	0	0	0
Alcam	0	0	0	0	0	0	0	0	0	-1.0	0
Aldh9a1	0	0	0	0	0	0	0	1.0	0	0	0
Alkbh4	0	0	0	0	0	-1.0	0	0	0	-1.0	0
Amph	0	0	0	0	0	0	0	1.0	0	0	0
Angpt1	0	1.0	0	0	0	0	1.0	1.0	0	0	0
Angptl1	0	0	0	0	0	0	0	1.0	0	0	0
Ankmy2	0	0	0	0	0	0	1.0	0	0	0	0
Ankrd12	0	1.0	0	0	0	0	0	0	0	0	0
Ankrd27	0	0	0	0	0	0	0	1.0	0	0	0
Ankrd39	0	0	0	0	-1.0	0	0	0	0	0	0
Ankrd6	0	1.0	0	0	0	0	1.0	1.0	0	0	0
Ano10	0	0	0	0	0	0	0	-1.0	0	0	0
Anp32b	0	1.0	0	0	0	0	0	1.0	0	0	0
Anxa2	0	0	0	-1.0	0	0	0	0	0	0	0
Ap1s1	1.0	0	0	0	0	0	0	0	0	0	0
Ap1s3	0	1.0	0	0	0	0	0	1.0	0	0	0
Ap3s1	0	1.0	0	0	0	0	0	0	0	0	0
Apol7e	0	-1.0	0	0	0	0	0	0	0	0	0
Ar	0	0	0	0	0	0	1.0	1.0	0	0	0
Arhgap15	1.0	1.0	0	0	0	0	1.0	0	0	0	0
Arhgap20	0	0	-1.0	0	0	0	0	0	0	0	0
Arhgap21	0	-1.0	0	0	0	-1.0	0	0	0	0	0
Arhgap26	0	-1.0	-1.0	0	0	0	0	-1.0	0	0	0
Arhgap31	0	-1.0	-1.0	0	0	-1.0	0	0	0	-1.0	-1.0
Arhgap4	0	0	0	0	0	0	0	1.0	0	0	0
Arhgap5	0	1.0	0	0	0	0	0	0	0	0	0
Arhgef10l	0	0	0	0	0	1.0	0	0	0	0	0
Arhgef6	1.0	0	0	0	0	0	1.0	1.0	0	0	0
Arhgef9	0	1.0	0	0	0	1.0	0	0	0	0	0
Arl15	0	0	0	0	0	0	1.0	0	0	0	0
Arl5a	0	1.0	0	0	0	0	0	0	0	0	0
Armc7	0	0	0	0	0	0	0	0	0	-1.0	0
Armcx4	0	0	0	0	0	0	1.0	0	0	0	0
Arnt2	0	0	0	0	0	-1.0	0	0	0	0	0
Art2b	0	1.0	0	0	0	0	1.0	0	0	0	0
Asah1	0	0	0	0	0	0	1.0	0	0	0	0
