Regulator	Target	Weight
Klf5	1110065p20rik	-1.0
Maz	1110065p20rik	-1.0
Pou2f2	1110065p20rik	-1.0
Zfp148	1110065p20rik	-1.0
Pou2f2	1700001l05rik	1.0
Maz	1700025g04rik	-1.0
Stat1	1700025g04rik	-1.0
Zfp148	1700025g04rik	-1.0
Zfp148	1700034j05rik	-1.0
Ar	1810011h11rik	1.0
Maz	2310007l24rik	-1.0
Klf5	2310011j03rik	-1.0
Nfe2	2510009e07rik	1.0
Ar	2610020h08rik	1.0
Mecom	2810474o19rik	1.0
Zfp148	2900005j15rik	-1.0
Gata3	4930412o13rik	1.0
Gata3	4930523c07rik	1.0
Nfe2	4930523c07rik	1.0
Mecom	4930594c11rik	-1.0
Maz	4931406p16rik	-1.0
Zfp148	4931406p16rik	-1.0
Nfe2	4931440p22rik	1.0
Nfe2	4932438h23rik	1.0
Mecom	4933426m11rik	1.0
Mecom	5830416p10rik	-1.0
Pou2f2	5830416p10rik	-1.0
Klf7	6330403a02rik	-1.0
Gata3	8430419l09rik	1.0
Ar	9030617o03rik	1.0
Gata3	9030617o03rik	1.0
Nfe2	9030617o03rik	1.0
Pou2f2	9130019p16rik	1.0
Pou2f2	9930021j03rik	1.0
Nfe2	A4galt	1.0
Nfe2	A630089n07rik	1.0
Gata3	A830080d01rik	-1.0
Pou2f2	Abca1	-1.0
Stat1	Abca1	-1.0
Nfe2	Abcb9	1.0
Pou2f2	Abcb9	1.0
Mecom	Abcc4	1.0
Nfe2	Abcc4	1.0
Pou2f2	Abcc4	1.0
Stat1	Abhd2	-1.0
Pou2f2	Abhd6	1.0
Mecom	Abi2	1.0
Pou2f2	Abtb2	-1.0
Stat1	Abtb2	-1.0
Klf7	Acacb	-1.0
Pou2f2	Acacb	-1.0
Nfe2	Acbd7	1.0
Ar	Acer2	1.0
Nfe2	Acer2	1.0
Pou2f2	Acer2	1.0
Nfe2	Acot11	1.0
Mecom	Acoxl	1.0
Nfe2	Acoxl	1.0
Pou2f2	Acoxl	1.0
Pou2f2	Acsl3	1.0
Nfe2	Acss1	1.0
Stat1	Actg1	-1.0
Ar	Actr8	1.0
Nfe2	Actr8	1.0
Nfe2	Adam10	1.0
Mecom	Adam12	1.0
Nfe2	Adam12	1.0
Mecom	Adam19	1.0
Nfe2	Adam19	1.0
Pou2f2	Adam19	1.0
Gata3	Adamts4	-1.0
Nfe2	Adamts6	1.0
Klf5	Adcy4	-1.0
Maz	Adcy4	-1.0
Nfe2	Adcy9	1.0
Ar	Add3	1.0
Gata3	Aff1	-1.0
Mecom	Aff4	1.0
Nfe2	Aff4	1.0
Maz	Agpat4	-1.0
Pou2f2	Agpat4	-1.0
Zfp148	Agpat4	-1.0
Stat1	Agpat5	-1.0
Klf5	Agpat9	-1.0
Zfp148	Agpat9	-1.0
Gata3	Ahcyl2	1.0
Nfe2	Ahcyl2	1.0
Nfe2	Ahr	1.0
Nfe2	Ahrr	1.0
Pou2f2	Ai504432	1.0
Klf5	Ak129341	-1.0
Ar	Akap7	1.0
Pou2f2	Akap7	1.0
Ar	Akr1c13	1.0
Stat1	Alcam	-1.0
Pou2f2	Aldh9a1	1.0
Mecom	Alkbh4	-1.0
Stat1	Alkbh4	-1.0
Pou2f2	Amph	1.0
Gata3	Angpt1	1.0
Nfe2	Angpt1	1.0
Pou2f2	Angpt1	1.0
Pou2f2	Angptl1	1.0
Nfe2	Ankmy2	1.0
Gata3	Ankrd12	1.0
Pou2f2	Ankrd27	1.0
Maz	Ankrd39	-1.0
Gata3	Ankrd6	1.0
Nfe2	Ankrd6	1.0
Pou2f2	Ankrd6	1.0
Pou2f2	Ano10	-1.0
Gata3	Anp32b	1.0
Pou2f2	Anp32b	1.0
Klf7	Anxa2	-1.0
Ar	Ap1s1	1.0
Gata3	Ap1s3	1.0
Pou2f2	Ap1s3	1.0
Gata3	Ap3s1	1.0
Gata3	Apol7e	-1.0
Nfe2	Ar	1.0
Pou2f2	Ar	1.0
Ar	Arhgap15	1.0
Gata3	Arhgap15	1.0
Nfe2	Arhgap15	1.0
Klf5	Arhgap20	-1.0
Gata3	Arhgap21	-1.0
Mecom	Arhgap21	-1.0
Gata3	Arhgap26	-1.0
Klf5	Arhgap26	-1.0
Pou2f2	Arhgap26	-1.0
Gata3	Arhgap31	-1.0
Klf5	Arhgap31	-1.0
Mecom	Arhgap31	-1.0
Stat1	Arhgap31	-1.0
Zfp148	Arhgap31	-1.0
Pou2f2	Arhgap4	1.0
Gata3	Arhgap5	1.0
Mecom	Arhgef10l	1.0
Ar	Arhgef6	1.0
Nfe2	Arhgef6	1.0
Pou2f2	Arhgef6	1.0
Gata3	Arhgef9	1.0
Mecom	Arhgef9	1.0
Nfe2	Arl15	1.0
Gata3	Arl5a	1.0
Stat1	Armc7	-1.0
Nfe2	Armcx4	1.0
Mecom	Arnt2	-1.0
Gata3	Art2b	1.0
Nfe2	Art2b	1.0
Nfe2	Asah1	1.0
Pou2f2	Asap1	-1.0
Gata3	Asb2	1.0
Mecom	Asb2	1.0
Klf7	Asns	-1.0
Pou2f2	Asph	-1.0
Stat1	Asph	-1.0
Ar	Asxl2	1.0
Gata3	Asxl2	1.0
Klf7	Atg2a	-1.0
Nfe2	Atg4c	1.0
Gata3	Atn1	1.0
Pou2f2	Atn1	1.0
Gata3	Atp10a	-1.0
Stat1	Atp10a	-1.0
Mecom	Atp10d	1.0
Ar	Atp13a3	1.0
Pou2f2	Atp2b1	1.0
Pou2f2	Atp6v0a1	1.0
Stat1	Atp6v1g3	-1.0
Ar	Atp8a1	1.0
Mecom	Atp8a1	1.0
Nfe2	Atp8a1	1.0
Gata3	Atp8a2	1.0
Nfe2	Atp8a2	1.0
Gata3	Atxn1	1.0
Nfe2	Atxn1	1.0
Pou2f2	Atxn1	1.0
Nfe2	Atxn10	1.0
Zfp148	Auts2	-1.0
Maz	Avpi1	-1.0
Pou2f2	Avpi1	-1.0
Stat1	Avpi1	-1.0
Nfe2	B230118h07rik	1.0
Pou2f2	B230118h07rik	1.0
Mecom	B3galt2	1.0
Pou2f2	B3galt2	1.0
Maz	B3galt4	-1.0
Zfp148	B3galt4	-1.0
Maz	B3galt5	-1.0
Zfp148	B4galnt1	-1.0
Klf5	B4galnt4	-1.0
Maz	B4galnt4	-1.0
Gata3	B4galt1	1.0
Nfe2	B4galt1	1.0
Klf5	B4galt5	-1.0
Klf7	B4galt5	-1.0
Maz	B4galt5	-1.0
Pou2f2	B4galt5	-1.0
Stat1	B4galt5	-1.0
Gata3	Bach2	-1.0
Stat1	Bach2	-1.0
Pou2f2	Baiap2	-1.0
Klf7	Baiap2l1	-1.0
Mecom	Basp1	1.0
Pou2f2	Basp1	1.0
Ar	Bbs9	1.0
Gata3	Bbs9	1.0
Mecom	Bbs9	1.0
Nfe2	Bbs9	1.0
Mecom	Bbx	1.0
Klf7	Bc022687	-1.0
Stat1	Bc030336	-1.0
Gata3	Bc035044	-1.0
Stat1	Bc035044	-1.0
Stat1	Bc053393	-1.0
Nfe2	Bcl11b	1.0
Maz	Bcl2l11	-1.0
Klf5	Bcl6	-1.0
Maz	Bcl6	-1.0
Mecom	Bcl6	-1.0
Pou2f2	Bcl6	-1.0
Stat1	Bcl6	-1.0
Zfp148	Bcl6	-1.0
Ar	Bdh1	1.0
Nfe2	Bdh1	1.0
Klf5	Bend4	-1.0
Klf7	Bend4	-1.0
Zfp148	Bend4	-1.0
Pou2f2	Bet1l	-1.0
Zfp148	Bet1l	-1.0
Pou2f2	Bivm	1.0
Gata3	Bmp2	1.0
Maz	Bmp4	-1.0
Pou2f2	Bmp7	1.0
Pou2f2	Bri3bp	1.0
Klf5	Bsn	-1.0
Klf7	Bsn	-1.0
Pou2f2	Bsn	-1.0
Klf7	Bst2	-1.0
Pou2f2	Bst2	-1.0
Gata3	Btbd11	-1.0
Nfe2	Btbd19	1.0
Gata3	Btf3l4	1.0
Pou2f2	Btf3l4	1.0
Ar	Btla	1.0
Gata3	Btla	1.0
Mecom	Btla	1.0
Nfe2	Btla	1.0
Gata3	Bzw2	1.0
Nfe2	Bzw2	1.0
Ar	C030034l19rik	1.0
Nfe2	C030034l19rik	1.0
Ar	C2	1.0
Zfp148	C2cd2	-1.0
Nfe2	Cacna1a	1.0
Gata3	Cacna1d	1.0
Nfe2	Cacna1d	1.0
Ar	Calca	1.0
Gata3	Calcrl	1.0
Maz	Calm1	-1.0
Zfp148	Calm1	-1.0
Ar	Camk2d	1.0
Gata3	Camk2d	1.0
Nfe2	Camk2d	1.0
Pou2f2	Camk2d	1.0
Ar	Camk2g	1.0
Gata3	Camk2g	1.0
Mecom	Camk2g	1.0
Nfe2	Camk2g	1.0
Pou2f2	Camk2g	1.0
Pou2f2	Camkk1	1.0
Mecom	Car8	1.0
Nfe2	Car8	1.0
Klf5	Card10	-1.0
Klf7	Card10	-1.0
Pou2f2	Casc4	1.0
Gata3	Cask	1.0
Pou2f2	Cask	1.0
Mecom	Casp3	-1.0
Gata3	Cass4	1.0
Mecom	Cass4	1.0
Pou2f2	Cass4	1.0
Gata3	Cblb	-1.0
Mecom	Cblb	-1.0
Prdm16	Cblb	-1.0
Stat1	Cblb	-1.0
Nfe2	Cbx7	1.0
Nfe2	Ccdc11	1.0
Klf5	Ccdc114	-1.0
Klf7	Ccdc114	-1.0
Maz	Ccdc114	-1.0
Nfe2	Ccdc150	1.0
Gata3	Ccdc162	-1.0
Maz	Ccdc162	-1.0
Pou2f2	Ccdc162	-1.0
Pou2f2	Ccdc22	1.0
Klf5	Ccdc25	-1.0
Ar	Ccdc53	1.0
Klf7	Ccdc64	-1.0
Pou2f2	Ccdc64	-1.0
Stat1	Ccdc64	-1.0
Gata3	Ccl1	1.0
Gata3	Ccl17	-1.0
Mecom	Ccl17	-1.0
Prdm16	Ccl17	-1.0
Pou2f2	Ccl5	-1.0
Gata3	Ccnd2	1.0
Mecom	Ccnd2	1.0
Pou2f2	Ccnd2	1.0
Maz	Ccnd3	-1.0
Stat1	Ccnd3	-1.0
Zfp148	Ccnd3	-1.0
Stat1	Ccr7	-1.0
Ar	Ccr8	1.0
Gata3	Ccr8	1.0
Pou2f2	Ccr8	1.0
Nfe2	Ccr9	1.0
Mecom	Ccrl2	1.0
Gata3	Ccrn4l	-1.0
Mecom	Ccrn4l	-1.0
Pou2f2	Cd164	-1.0
Gata3	Cd226	1.0
Stat1	Cd247	-1.0
Mecom	Cd27	1.0
Mecom	Cd2ap	1.0
Gata3	Cd36	-1.0
Klf7	Cd40	-1.0
Gata3	Cd52	1.0
Klf5	Cd55	-1.0
Pou2f2	Cd55	-1.0
Klf7	Cd59a	-1.0
Nfe2	Cd6	1.0
Klf5	Cd68	-1.0
Klf7	Cd68	-1.0
Zfp148	Cd68	-1.0
Gata3	Cd69	1.0
Mecom	Cd7	-1.0
Prdm16	Cd7	-1.0
Gata3	Cd72	1.0
Nfe2	Cd72	1.0
Klf7	Cd82	-1.0
Maz	Cd82	-1.0
Mecom	Cd82	-1.0
Pou2f2	Cd82	-1.0
Stat1	Cd82	-1.0
Mecom	Cd9	-1.0
Gata3	Cdc14a	-1.0
Pou2f2	Cdc14a	-1.0
Zfp148	Cdc14a	-1.0
Maz	Cdc42se1	-1.0
Zfp148	Cdc42se1	-1.0
Gata3	Cdh23	-1.0
Maz	Cdh23	-1.0
Pou2f2	Cdh23	-1.0
Stat1	Cdh23	-1.0
Zfp148	Cdh23	-1.0
Klf5	Cdk14	-1.0
Pou2f2	Cdk14	-1.0
Ar	Cdk6	1.0
Gata3	Cdk6	1.0
Nfe2	Cdk6	1.0
Pou2f2	Cdk6	1.0
Nfe2	Cdk8	1.0
Pou2f2	Cdkl3	1.0
Stat1	Cdkn1a	-1.0
Klf5	Cdkn1c	-1.0
Klf7	Cdkn1c	-1.0
Pou2f2	Cdkn1c	-1.0
Zfp148	Cdkn1c	-1.0
Pou2f2	Cdon	1.0
Nfe2	Cela1	1.0
Gata3	Celf2	-1.0
Mecom	Celsr1	1.0
Gata3	Celsr2	1.0
Gata3	Cenpf	1.0
Gata3	Cenpn	1.0
Gata3	Cep290	1.0
Nfe2	Cep63	1.0
Klf5	Cercam	-1.0
Klf5	Chchd10	-1.0
Zfp148	Chchd10	-1.0
Pou2f2	Chd3	1.0
Nfe2	Chd7	1.0
Ar	Chdh	1.0
Gata3	Chdh	1.0
Nfe2	Chdh	1.0
Pou2f2	Chdh	1.0
Gata3	Chic1	1.0
Mecom	Chic1	1.0
Gata3	Chm	1.0
Nfe2	Chm	1.0
Gata3	Chn2	1.0
Nfe2	Chn2	1.0
Pou2f2	Chn2	1.0
Klf5	Chrm4	-1.0
Zfp148	Chrm4	-1.0
Pou2f2	Chrne	1.0
Maz	Chst11	-1.0
Stat1	Chst11	-1.0
Klf7	Chst12	-1.0
Ar	Chst15	1.0
Mecom	Chst15	1.0
Gata3	Chsy3	1.0
Pou2f2	Chsy3	1.0
Maz	Clcf1	-1.0
Zfp148	Clcf1	-1.0
Maz	Clcn2	-1.0
Zfp148	Clcn2	-1.0
Maz	Cldn10	-1.0
Zfp148	Cldn10	-1.0
Gata3	Clec16a	1.0
Mecom	Clec16a	1.0
Nfe2	Clec16a	1.0
Pou2f2	Clec16a	1.0
Klf7	Clic4	-1.0
Maz	Clic4	-1.0
Ar	Clip1	1.0
Gata3	Clip1	1.0
Nfe2	Clip1	1.0
Maz	Clip2	-1.0
Gata3	Cln3	1.0
Mecom	Cln3	1.0
Gata3	Cmas	-1.0
