	Bach2	Bcl6	Egr2	Elf4	Eomes	Esr1	Ets2	Foxc1	Foxj1	Foxm1	Foxo1	Irf4	Irf5	Irf7	Irf8	Jdp2	Klf8	Lef1	Max	Mef2c	Meis3	Nr4a2	Pparg	Prdm1	Stat3	Tbx21	Tcf7	Trp53	Zfhx3
1110007c09rik	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600014c10rik	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-1.0	-1.0	0	0	0	-1.0	0	0	-1.0	-0.5	0	0	0	0	0	0
1700012b07rik	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025g04rik	0	0	0	0	1.0	0	0.5	0	0	0	1.0	0.5	0.5	0	1.0	1.0	0	0	0	0	0	1.0	0	1.0	1.0	0	0	0	0
1810011h11rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-1.0	0
2010016i18rik	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.5	0	0	0	0	0	0
2310014l17rik	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310015a10rik	0	0	-1.0	0	-1.0	0	-0.5	-1.0	-1.0	-1.0	0	-0.5	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-1.0	0	0	-1.0
2610018g03rik	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610020h08rik	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	1.0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
2610035d17rik	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0
2610318n02rik	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700086a05rik	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	0	0	0
2810474o19rik	0	0	0	0	0	0	0	-1.0	0	0	-1.0	-0.5	0	-1.0	-1.0	0	0	0	-1.0	-0.5	0	-1.0	0	0	0	0	-0.5	0	0
2900026a02rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	1.0	1.0	0	0	0	0
