Regulator	Target	Weight
Esr1	1110007c09rik	1.0
Irf4	1600014c10rik	-0.5
Irf7	1600014c10rik	-1.0
Irf8	1600014c10rik	-1.0
Max	1600014c10rik	-1.0
Nr4a2	1600014c10rik	-1.0
Pparg	1600014c10rik	-0.5
Irf7	1700012b07rik	-1.0
Eomes	1700025g04rik	1.0
Ets2	1700025g04rik	0.5
Foxo1	1700025g04rik	1.0
Irf4	1700025g04rik	0.5
Irf5	1700025g04rik	0.5
Irf8	1700025g04rik	1.0
Jdp2	1700025g04rik	1.0
Nr4a2	1700025g04rik	1.0
Prdm1	1700025g04rik	1.0
Stat3	1700025g04rik	1.0
Mef2c	1810011h11rik	-0.5
Trp53	1810011h11rik	-1.0
Esr1	2010016i18rik	1.0
Max	2010016i18rik	1.0
Pparg	2010016i18rik	0.5
Irf4	2310014l17rik	0.5
Irf5	2310014l17rik	0.5
Irf8	2310014l17rik	1.0
Egr2	2310015a10rik	-1.0
Eomes	2310015a10rik	-1.0
Ets2	2310015a10rik	-0.5
Foxc1	2310015a10rik	-1.0
Foxj1	2310015a10rik	-1.0
Foxm1	2310015a10rik	-1.0
Irf4	2310015a10rik	-0.5
Jdp2	2310015a10rik	-1.0
Tbx21	2310015a10rik	-1.0
Zfhx3	2310015a10rik	-1.0
Irf4	2610018g03rik	0.5
Irf8	2610018g03rik	1.0
Foxo1	2610020h08rik	1.0
Irf4	2610020h08rik	0.5
Irf7	2610020h08rik	1.0
Irf8	2610020h08rik	1.0
Prdm1	2610020h08rik	1.0
Ets2	2610035d17rik	-0.5
Trp53	2610035d17rik	-1.0
Egr2	2610318n02rik	1.0
Bcl6	2700086a05rik	-1.0
Irf8	2700086a05rik	-1.0
Prdm1	2700086a05rik	-1.0
Tbx21	2700086a05rik	-1.0
Foxc1	2810474o19rik	-1.0
Foxo1	2810474o19rik	-1.0
Irf4	2810474o19rik	-0.5
Irf7	2810474o19rik	-1.0
Irf8	2810474o19rik	-1.0
Max	2810474o19rik	-1.0
Mef2c	2810474o19rik	-0.5
Nr4a2	2810474o19rik	-1.0
Tcf7	2810474o19rik	-0.5
Max	2900026a02rik	1.0
Meis3	2900026a02rik	1.0
Prdm1	2900026a02rik	1.0
Stat3	2900026a02rik	1.0
Max	3110070m22rik	1.0
Elf4	4632428n05rik	1.0
Ets2	4632428n05rik	0.5
Irf5	4632428n05rik	0.5
Mef2c	4632428n05rik	0.5
Nr4a2	4632428n05rik	1.0
Stat3	4632428n05rik	1.0
Trp53	4632428n05rik	1.0
Ets2	4833422c13rik	-0.5
Irf4	4833422c13rik	-0.5
Jdp2	4833422c13rik	-1.0
Prdm1	4833422c13rik	-1.0
Stat3	4833422c13rik	-1.0
Ets2	4921524j17rik	0.5
Irf4	4921524j17rik	0.5
Irf5	4921524j17rik	0.5
Irf7	4921524j17rik	1.0
Irf8	4921524j17rik	1.0
Max	4930404i05rik	1.0
Bcl6	4930412o13rik	-1.0
Esr1	4930412o13rik	-1.0
Irf4	4930412o13rik	-0.5
Irf7	4930412o13rik	-1.0
Irf8	4930412o13rik	-1.0
Nr4a2	4930412o13rik	-1.0
Pparg	4930412o13rik	-0.5
Stat3	4930412o13rik	-1.0
Egr2	4930417o13rik	1.0
Eomes	4930417o13rik	1.0
Esr1	4930417o13rik	1.0
Tbx21	4930417o13rik	1.0
Trp53	4930417o13rik	1.0
Egr2	4930486l24rik	1.0
Irf4	4930486l24rik	0.5
Irf8	4930486l24rik	1.0
Klf8	4930486l24rik	1.0
Mef2c	4930486l24rik	0.5
Prdm1	4930486l24rik	1.0
Tbx21	4930486l24rik	1.0
Meis3	4930503l19rik	-1.0
Prdm1	4930503l19rik	-1.0
Stat3	4930503l19rik	-1.0
Ets2	4930523c07rik	-0.5
Foxo1	4930523c07rik	-1.0
Irf4	4930523c07rik	-0.5
Irf5	4930523c07rik	-0.5
Irf7	4930523c07rik	-1.0
Irf8	4930523c07rik	-1.0
Lef1	4930523c07rik	-1.0
Prdm1	4930523c07rik	-1.0
Trp53	4930523c07rik	-1.0
Bcl6	4930550c14rik	-1.0
Irf4	4930550c14rik	-0.5
Jdp2	4930550c14rik	-1.0
Mef2c	4930550c14rik	-0.5
Trp53	4930550c14rik	-1.0
Ets2	4930562f07rik	-0.5
Prdm1	4930592i03rik	-1.0
Bcl6	4930594c11rik	-1.0
Foxm1	4930594c11rik	-1.0
Irf4	4930594c11rik	-0.5
Irf5	4930594c11rik	-0.5
Irf7	4930594c11rik	-1.0
Prdm1	4930594c11rik	-1.0
Stat3	4930594c11rik	-1.0
Bach2	4931406p16rik	1.0
Mef2c	4931406p16rik	0.5
Eomes	4933426m11rik	-1.0
Ets2	4933426m11rik	-0.5
Foxc1	4933426m11rik	-1.0
Foxj1	4933426m11rik	-1.0
Foxo1	4933426m11rik	-1.0
Irf4	4933426m11rik	-0.5
Irf5	4933426m11rik	-0.5
Irf8	4933426m11rik	-1.0
Max	4933426m11rik	-1.0
Tbx21	4933426m11rik	-1.0
Trp53	4933426m11rik	-1.0
Egr2	5330426p16rik	1.0
Lef1	5430417l22rik	-1.0
Stat3	5430421n21rik	1.0
Eomes	5730508b09rik	1.0
Irf4	5730508b09rik	0.5
Meis3	5730508b09rik	1.0
Foxo1	5830416p10rik	1.0
Irf5	5830416p10rik	0.5
Irf7	5830416p10rik	1.0
Irf8	5830416p10rik	1.0
Mef2c	5830416p10rik	0.5
Stat3	5830416p10rik	1.0
Bcl6	6430531b16rik	-1.0
Foxo1	6430531b16rik	-1.0
Irf4	6430531b16rik	-0.5
Mef2c	6430531b16rik	-0.5
Bcl6	8430419l09rik	-1.0
Eomes	8430419l09rik	-1.0
Esr1	8430419l09rik	-1.0
Ets2	8430419l09rik	-0.5
Tbx21	8430419l09rik	-1.0
Ets2	8430427h17rik	-0.5
Foxj1	8430427h17rik	-1.0
Irf4	8430427h17rik	-0.5
Egr2	9030617o03rik	1.0
Eomes	9030617o03rik	1.0
Ets2	9030617o03rik	0.5
Irf4	9030617o03rik	0.5
Max	9030617o03rik	1.0
Mef2c	9030617o03rik	0.5
Pparg	9030617o03rik	0.5
Prdm1	9030617o03rik	1.0
Stat3	9030617o03rik	1.0
Tbx21	9030617o03rik	1.0
Foxo1	9030624j02rik	-1.0
Irf4	9030624j02rik	-0.5
Irf5	9030624j02rik	-0.5
Max	9030624j02rik	-1.0
Nr4a2	9030624j02rik	-1.0
Pparg	9030624j02rik	-0.5
Ets2	9130011e15rik	-0.5
Max	9130011e15rik	-1.0
Ets2	A630033h20rik	0.5
Irf4	A630033h20rik	0.5
Stat3	A630033h20rik	1.0
Ets2	A630072m18rik	0.5
Irf4	A630072m18rik	0.5
Eomes	A930007i19rik	1.0
Esr1	A930007i19rik	1.0
Irf4	A930007i19rik	0.5
Mef2c	A930007i19rik	0.5
Nr4a2	A930007i19rik	1.0
Pparg	A930007i19rik	0.5
Trp53	A930007i19rik	1.0
Mef2c	A930011g23rik	-0.5
Meis3	Abcb4	1.0
Prdm1	Abcb4	1.0
Max	Abcb9	1.0
Esr1	Abcg1	1.0
Ets2	Abcg1	0.5
Jdp2	Abcg1	1.0
Stat3	Abcg1	1.0
Egr2	Abcg2	1.0
Foxc1	Abcg3	-1.0
Foxj1	Abcg3	-1.0
Stat3	Abcg3	-1.0
Ets2	Abhd2	-0.5
Foxc1	Abhd2	-1.0
Foxj1	Abhd2	-1.0
Foxo1	Abhd2	-1.0
Jdp2	Abhd2	-1.0
Mef2c	Abhd2	-0.5
Stat3	Abhd2	-1.0
Trp53	Abhd2	-1.0
Foxc1	Abi2	-1.0
Foxj1	Abi2	-1.0
Foxm1	Abi2	-1.0
Foxo1	Abi2	-1.0
Mef2c	Abi2	-0.5
Bcl6	Abi3	-1.0
Foxo1	Abi3	-1.0
Ets2	Abi3bp	-0.5
Foxj1	Abi3bp	-1.0
Foxo1	Abi3bp	-1.0
Mef2c	Abi3bp	-0.5
Pparg	Abi3bp	-0.5
