	Batf3	Irf4	Irf5	Irf7	Irf8	Irf9	Mafk	Prdm1	Rorc	Spi1	Tcf7	Zbtb16	Zfp105	Zfp57	Zfp768
2310007l24rik	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0
4930550c14rik	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
Abhd2	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0
Abi3bp	1.0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0
Ablim3	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0
Acpp	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Actn2	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0
Acyp2	0	0	0	0	0	0	2.0	0	1.0	0	0	0	0	0	0
Adam8	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0
Adamts14	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0
Adra2a	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Ahcyl2	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0
Alcam	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Appl2	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0
Arhgap5	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0
Arnt2	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
Arrdc4	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
Asns	1.0	0	0	0	0	0	0	0	2.0	1.0	0	0	0	0	0
Bach2	0	0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0
Batf3	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
Bcas1	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0
Blk	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Cadm1	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0
Camk2d	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0
Cask	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0
Ccl17	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd244	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
Cd6	0	-0.5	-1.0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0
Cd69	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0
Cd93	1.0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0
Cdc45	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdh2	0	0	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0
Cep63	0	0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0
Chst1	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chsy3	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0
Clcn3	1.0	0	0	0	0	0	1.0	1.0	2.0	1.0	0	0	0	0	0
Clec2d	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0
Clnk	0	0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0
Cntn1	0	0	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0
Cobll1	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	-1.0	-1.0	-1.0
Cog5	0	-0.5	-1.0	-1.0	-1.0	-1.0	0	0	-2.0	0	0	0	0	0	0
Cpe	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0
Cry1	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csgalnact1	0	0	0	0	0	0	0	-1.0	-1.0	0	0	-1.0	-1.0	-1.0	-1.0
Ctsh	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	0	0	0	0
Cwf19l2	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0
Cx3cl1	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
Cyp51	0	0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0
Deptor	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0
Dgkd	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
Dhrs3	1.0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0
Dhx37	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
Dlc1	1.0	0	0	0	0	0	1.0	0	2.0	0	1.0	0	0	0	0
Dmrt3	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
Dnajb2	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
Dnajc6	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
Dscaml1	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0
Dtx4	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
Dusp4	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0
Eef2k	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Eps8	1.0	0	0	0	0	0	2.0	0	0	1.0	0	0	0	0	0
Eps8l3	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Ezr	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
F2r	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
Fah	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam155a	0	0	0	0	0	0	0	0	2.0	1.0	1.0	0	0	0	0
Fam184b	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
Fam46c	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Fam49a	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0
Flnb	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0
