Regulator	Target	Weight
Rorc	2310007l24rik	2.0
Prdm1	4930550c14rik	1.0
Mafk	Abhd2	1.0
Rorc	Abhd2	1.0
Batf3	Abi3bp	1.0
Rorc	Abi3bp	1.0
Spi1	Abi3bp	1.0
Mafk	Ablim3	1.0
Rorc	Ablim3	1.0
Rorc	Acpp	1.0
Rorc	Actn2	1.0
Spi1	Actn2	1.0
Mafk	Acyp2	2.0
Rorc	Acyp2	1.0
Mafk	Adam8	1.0
Rorc	Adam8	1.0
Prdm1	Adamts14	1.0
Rorc	Adamts14	1.0
Rorc	Adra2a	1.0
Prdm1	Ahcyl2	-1.0
Rorc	Alcam	1.0
Rorc	Appl2	2.0
Zbtb16	Arhgap5	-1.0
Zfp105	Arhgap5	-1.0
Zfp57	Arhgap5	-1.0
Zfp768	Arhgap5	-1.0
Prdm1	Arnt2	1.0
Prdm1	Arrdc4	1.0
Batf3	Asns	1.0
Rorc	Asns	2.0
Spi1	Asns	1.0
Rorc	Bach2	-2.0
Spi1	Batf3	1.0
Zbtb16	Bcas1	-1.0
Zfp105	Bcas1	-1.0
Zfp57	Bcas1	-1.0
Zfp768	Bcas1	-1.0
Rorc	Blk	1.0
Mafk	Cadm1	2.0
Prdm1	Camk2d	-1.0
Zbtb16	Cask	-1.0
Zfp105	Cask	-1.0
Zfp57	Cask	-1.0
Zfp768	Cask	-1.0
Batf3	Ccl17	1.0
Spi1	Cd244	1.0
Irf4	Cd6	-0.5
Irf5	Cd6	-1.0
Irf7	Cd6	-1.0
Irf8	Cd6	-1.0
Irf9	Cd6	-1.0
Zbtb16	Cd69	-1.0
Zfp105	Cd69	-1.0
Zfp57	Cd69	-1.0
Zfp768	Cd69	-1.0
Batf3	Cd93	1.0
Mafk	Cd93	1.0
Prdm1	Cd93	1.0
Batf3	Cdc45	1.0
Prdm1	Cdh2	-1.0
Rorc	Cdh2	-1.0
Rorc	Cep63	-2.0
Batf3	Chst1	1.0
Zbtb16	Chsy3	-1.0
Zfp105	Chsy3	-1.0
Zfp57	Chsy3	-1.0
Zfp768	Chsy3	-1.0
Batf3	Clcn3	1.0
Mafk	Clcn3	1.0
Prdm1	Clcn3	1.0
Rorc	Clcn3	2.0
Spi1	Clcn3	1.0
Zbtb16	Clec2d	-1.0
Zfp105	Clec2d	-1.0
Zfp57	Clec2d	-1.0
Zfp768	Clec2d	-1.0
Prdm1	Clnk	1.0
Rorc	Clnk	1.0
Spi1	Clnk	1.0
Prdm1	Cntn1	-1.0
Rorc	Cntn1	-1.0
Prdm1	Cobll1	-1.0
Zbtb16	Cobll1	-1.0
Zfp105	Cobll1	-1.0
Zfp57	Cobll1	-1.0
Zfp768	Cobll1	-1.0
Irf4	Cog5	-0.5
Irf5	Cog5	-1.0
Irf7	Cog5	-1.0
Irf8	Cog5	-1.0
Irf9	Cog5	-1.0
Rorc	Cog5	-2.0
Rorc	Cpe	2.0
Batf3	Cry1	1.0
Prdm1	Csgalnact1	-1.0
Rorc	Csgalnact1	-1.0
Zbtb16	Csgalnact1	-1.0
Zfp105	Csgalnact1	-1.0
Zfp57	Csgalnact1	-1.0
Zfp768	Csgalnact1	-1.0
Batf3	Ctsh	1.0
Prdm1	Ctsh	1.0
Rorc	Ctsh	1.0
Spi1	Ctsh	1.0
Tcf7	Ctsh	1.0
Prdm1	Cwf19l2	-1.0
Spi1	Cx3cl1	1.0
Rorc	Cyp51	-2.0
Prdm1	Deptor	-1.0
Batf3	Dgkd	1.0
Prdm1	Dgkd	1.0
Batf3	Dhrs3	1.0
Mafk	Dhrs3	1.0
Prdm1	Dhrs3	1.0
Batf3	Dhx37	1.0
Mafk	Dhx37	1.0
Batf3	Dlc1	1.0
Mafk	Dlc1	1.0
Rorc	Dlc1	2.0
Tcf7	Dlc1	1.0
Spi1	Dmrt3	1.0
Prdm1	Dnajb2	1.0
Spi1	Dnajc6	1.0
Mafk	Dscaml1	1.0
Spi1	Dscaml1	1.0
Prdm1	Dtx4	1.0
Mafk	Dusp4	1.0
Spi1	Dusp4	1.0
Rorc	Eef2k	1.0
Batf3	Eps8	1.0
Mafk	Eps8	2.0
Spi1	Eps8	1.0
Rorc	Eps8l3	1.0
Rorc	Ezr	1.0
Tcf7	F2r	1.0
Batf3	Fah	1.0
Rorc	Fam155a	2.0
Spi1	Fam155a	1.0
Tcf7	Fam155a	1.0
Batf3	Fam184b	1.0
Prdm1	Fam184b	1.0
Rorc	Fam46c	1.0
Mafk	Fam49a	1.0
Rorc	Fam49a	1.0
Rorc	Flnb	1.0
Spi1	Flnb	1.0
Prdm1	Flrt2	-1.0
Rorc	Flrt2	-2.0
Zbtb16	Flrt2	-1.0
Zfp105	Flrt2	-1.0
Zfp57	Flrt2	-1.0
Zfp768	Flrt2	-1.0
Batf3	Fmnl2	1.0
Mafk	Fmnl2	2.0
Prdm1	Fmnl2	1.0
Rorc	Fmnl2	1.0
Spi1	Fmnl2	1.0
Mafk	Fnbp1l	1.0
Prdm1	Fnbp1l	1.0
Prdm1	Foxs1	1.0
Rorc	Foxs1	1.0
Spi1	Foxs1	1.0
Irf4	Frmd4b	-0.5
Irf5	Frmd4b	-1.0
Irf7	Frmd4b	-1.0
Irf8	Frmd4b	-1.0
Irf9	Frmd4b	-1.0
Rorc	Frmd4b	-1.0
Spi1	Gcnt2	1.0
Prdm1	Gcnt4	-1.0
Rorc	Gda	1.0
Rorc	Gfod1	1.0
Zbtb16	Gnaq	-1.0
Zfp105	Gnaq	-1.0
Zfp57	Gnaq	-1.0
Zfp768	Gnaq	-1.0
Mafk	Gpr157	2.0
Rorc	Gpr157	1.0
Rorc	Gpr97	1.0
Mafk	Gria3	1.0
Tcf7	Gria3	1.0
Mafk	Hbegf	1.0
Prdm1	Hbegf	1.0
Rorc	Hbegf	1.0
Spi1	Hbegf	1.0
Mafk	Hdac9	1.0
Rorc	Hdac9	2.0
Spi1	Hdac9	1.0
Irf4	Hormad2	-0.5
Irf5	Hormad2	-1.0
Irf7	Hormad2	-1.0
Irf8	Hormad2	-1.0
Irf9	Hormad2	-1.0
Rorc	Hormad2	-1.0
Zbtb16	Hs3st1	-1.0
Zfp105	Hs3st1	-1.0
Zfp57	Hs3st1	-1.0
Zfp768	Hs3st1	-1.0
Rorc	Hsbp1l1	1.0
Prdm1	Idi2	1.0
Rorc	Idi2	1.0
Mafk	Igf1r	2.0
Spi1	Igf1r	1.0
Irf4	Ikbkb	-0.5
Irf5	Ikbkb	-1.0
Irf7	Ikbkb	-1.0
Irf8	Ikbkb	-1.0
Irf9	Ikbkb	-1.0
Zbtb16	Ikbkb	-1.0
Zfp105	Ikbkb	-1.0
Zfp57	Ikbkb	-1.0
Zfp768	Ikbkb	-1.0
Batf3	Il17f	1.0
Rorc	Il17re	1.0
Batf3	Il1r1	1.0
Mafk	Il1r1	1.0
Prdm1	Il1r1	1.0
Rorc	Il1r1	2.0
Spi1	Il1r1	1.0
Tcf7	Il1r1	1.0
Mafk	Il22	2.0
Tcf7	Il22	1.0
Mafk	Il23r	1.0
Prdm1	Il23r	1.0
Rorc	Il23r	2.0
Spi1	Il23r	1.0
Rorc	Inpp4a	1.0
Rorc	Itpr2	-1.0
Batf3	Kcnk1	1.0
Prdm1	Kcnk1	1.0
Prdm1	Klrb1f	1.0
Zbtb16	Klrg1	-1.0
Zfp105	Klrg1	-1.0
Zfp57	Klrg1	-1.0
Zfp768	Klrg1	-1.0
Rorc	Lrrc8b	1.0
Spi1	Lrrc8b	1.0
Batf3	Lrrk2	1.0
Mafk	Lrrk2	2.0
Prdm1	Lrrk2	1.0
Rorc	Ly86	1.0
Rorc	Lysmd4	-2.0
Prdm1	Man1c1	1.0
Rorc	Man1c1	1.0
Rorc	Map4k3	-1.0
Mafk	March3	1.0
Rorc	March3	1.0
Prdm1	Mdfic	-1.0
Zbtb16	Mdfic	-1.0
Zfp105	Mdfic	-1.0
Zfp57	Mdfic	-1.0
Zfp768	Mdfic	-1.0
Rorc	Med12l	-2.0
Batf3	Meis1	1.0
Prdm1	Meis1	1.0
Tcf7	Meis1	1.0
Rorc	Mfsd6	2.0
Rorc	Mllt3	-2.0
Prdm1	Mpeg1	1.0
Mafk	Mpzl1	2.0
Rorc	Mpzl1	1.0
Spi1	Mpzl1	1.0
Mafk	Myof	1.0
Spi1	Myof	1.0
Rorc	Nbn	-1.0
Rorc	Ncald	2.0
Spi1	Ncald	1.0
Prdm1	Nck2	-1.0
Zbtb16	Nckap5	-1.0
Zfp105	Nckap5	-1.0
Zfp57	Nckap5	-1.0
Zfp768	Nckap5	-1.0
Batf3	Ncoa7	1.0
Mafk	Ncoa7	2.0
Prdm1	Ncoa7	1.0
Rorc	Ncoa7	2.0
Spi1	Ncoa7	1.0
Rorc	Ndst1	1.0
Irf4	Neb	-0.5
Irf5	Neb	-1.0
Irf7	Neb	-1.0
Irf8	Neb	-1.0
Irf9	Neb	-1.0
Rorc	Nedd4l	-1.0
Zbtb16	Nek7	-1.0
Zfp105	Nek7	-1.0
Zfp57	Nek7	-1.0
Zfp768	Nek7	-1.0
Rorc	Nfkbia	-1.0
Rorc	Npnt	-1.0
Zbtb16	Npnt	-1.0
Zfp105	Npnt	-1.0
Zfp57	Npnt	-1.0
Zfp768	Npnt	-1.0
Mafk	Nsl1	2.0
Prdm1	Odc1	1.0
Batf3	Parvb	1.0
Prdm1	Parvb	1.0
Rorc	Pde4d	-1.0
Prdm1	Pde5a	1.0
Rorc	Pde5a	2.0
Prdm1	Pde7b	-1.0
Rorc	Pde7b	-2.0
Batf3	Pi4k2a	1.0
Mafk	Pi4k2a	2.0
Prdm1	Pi4k2a	1.0
Spi1	Pi4k2a	1.0
Irf4	Piwil4	-0.5
Irf5	Piwil4	-1.0
Irf7	Piwil4	-1.0
Irf8	Piwil4	-1.0
Irf9	Piwil4	-1.0
Prdm1	Piwil4	-1.0
Rorc	Piwil4	-1.0
Rorc	Pla1a	1.0
Spi1	Pla1a	1.0
Batf3	Plekhg1	1.0
Mafk	Plekhg1	2.0
Prdm1	Plekhg1	1.0
Spi1	Plekhg1	1.0
Tcf7	Plekhg1	1.0
Rorc	Plekhm3	1.0
Prdm1	Plxdc2	-1.0
Rorc	Plxdc2	-1.0
Zbtb16	Plxdc2	-1.0
Zfp105	Plxdc2	-1.0
Zfp57	Plxdc2	-1.0
Zfp768	Plxdc2	-1.0
Rorc	Ppp1r14c	1.0
Rorc	Ppp3ca	-1.0
Batf3	Prelid2	1.0
Prdm1	Prelid2	1.0
Rorc	Prelid2	2.0
Spi1	Prelid2	1.0
Rorc	Prickle1	1.0
Tcf7	Prickle1	1.0
Batf3	Ptprm	1.0
Mafk	Ptprm	1.0
Prdm1	Ptprm	1.0
Rorc	Ptprm	2.0
Spi1	Ptprm	1.0
Batf3	Ptprs	1.0
Rorc	Rbm20	-2.0
Rorc	Rbpms2	1.0
Mafk	Rhobtb1	2.0
Prdm1	Rhobtb1	1.0
Mafk	Rnf150	2.0
Rorc	Rnf150	2.0
Batf3	Rorc	1.0
Mafk	Rorc	2.0
Spi1	Rorc	1.0
Batf3	Rprm	1.0
Zbtb16	Runx1t1	-1.0
Zfp105	Runx1t1	-1.0
Zfp57	Runx1t1	-1.0
Zfp768	Runx1t1	-1.0
Rorc	S1pr3	1.0
Prdm1	Sept7	-1.0
Mafk	Serpinb1a	1.0
Prdm1	Serpinb1a	1.0
Batf3	Serpinb8	1.0
Rorc	Serpine2	2.0
Prdm1	Sestd1	1.0
Spi1	Setd7	1.0
Mafk	Sh3pxd2b	1.0
Rorc	Shc3	1.0
Mafk	Slc15a3	1.0
Rorc	Slc15a3	1.0
Spi1	Slc15a3	1.0
Rorc	Slc16a2	1.0
Rorc	Slc22a15	2.0
Batf3	Slc23a2	1.0
Mafk	Slc23a2	1.0
Tcf7	Slc23a2	1.0
Rorc	Slc25a24	2.0
Spi1	Slc25a24	1.0
Rorc	Slc41a3	1.0
Spi1	Slc41a3	1.0
Rorc	Slc6a7	2.0
Tcf7	Slc6a7	1.0
Mafk	Smyd2	2.0
Tcf7	Smyd2	1.0
Tcf7	Sntb1	1.0
Rorc	Snx13	-2.0
Rorc	Snx18	1.0
Rorc	Spsb1	1.0
Batf3	Srgap1	1.0
Mafk	Srgap1	2.0
Rorc	Srgap1	2.0
Spi1	Srgap1	1.0
Mafk	Ssx2ip	2.0
Rorc	Ssx2ip	1.0
Rorc	St5	-1.0
Mafk	Stab1	1.0
Rorc	Stab1	1.0
Batf3	Stom	1.0
Mafk	Stom	2.0
Rorc	Syne1	-2.0
Rorc	Tifa	2.0
Batf3	Tmem132c	1.0
Rorc	Tmem132c	1.0
Prdm1	Tmem194b	1.0
Rorc	Tmem194b	2.0
Mafk	Tns3	1.0
Prdm1	Tns3	1.0
Prdm1	Trps1	-1.0
Rorc	Trps1	-2.0
Spi1	Upp1	1.0
Tcf7	Upp1	1.0
Irf4	Usp3	-0.5
Irf5	Usp3	-1.0
Irf7	Usp3	-1.0
Irf8	Usp3	-1.0
Irf9	Usp3	-1.0
Prdm1	Usp3	-1.0
Prdm1	Vps37c	1.0
Rorc	Vps37c	1.0
Rorc	Xkrx	2.0
Spi1	Xkrx	1.0
Tcf7	Xkrx	1.0
Irf4	Zbtb20	-0.5
Irf5	Zbtb20	-1.0
Irf7	Zbtb20	-1.0
Irf8	Zbtb20	-1.0
Irf9	Zbtb20	-1.0
Prdm1	Zfp1	-1.0
Rorc	Zfp92	-2.0
Spi1	Zmat4	1.0
Rorc	Zmiz1	1.0
