Regulator	Target	Weight
Atf3	0610010f05rik	1.0
Bach1	0610010f05rik	2.0
Batf3	0610010f05rik	0.5
Bcl11b	0610010f05rik	0.5
Bmyc	0610010f05rik	1.0
Etv3	0610010f05rik	1.0
Fos	0610010f05rik	4.0
Fosb	0610010f05rik	4.0
Fosl1	0610010f05rik	4.0
Foxc1	0610010f05rik	1.0
Hlf	0610010f05rik	0.5
Irf5	0610010f05rik	1.0
Irf7	0610010f05rik	1.0
Irf8	0610010f05rik	0.5
Jun	0610010f05rik	3.0
Junb	0610010f05rik	3.0
Lef1	0610010f05rik	1.0
Mycn	0610010f05rik	1.0
Nfe2	0610010f05rik	2.0
Nfil3	0610010f05rik	1.0
Prdm1	0610010f05rik	1.0
Rora	0610010f05rik	1.0
Rorc	0610010f05rik	1.0
Rxrg	0610010f05rik	1.5
Stat5a	0610010f05rik	1.0
Stat5b	0610010f05rik	1.0
Tcf7	0610010f05rik	1.0
Bach1	1700001c19rik	2.0
Batf3	1700001c19rik	0.5
Bcl11b	1700001c19rik	0.5
Elf3	1700001c19rik	1.0
Etv3	1700001c19rik	4.0
Jun	1700001c19rik	1.0
Junb	1700001c19rik	1.0
Maf	1700001c19rik	2.0
Maff	1700001c19rik	2.0
Mafg	1700001c19rik	2.0
Nfe2	1700001c19rik	2.0
Rara	1700001c19rik	2.0
Relb	1700001c19rik	2.0
Rxrg	1700001c19rik	0.5
Stat5a	1700001c19rik	1.0
Stat5b	1700001c19rik	1.0
Bach1	1700012b07rik	1.0
Dmrta1	1700012b07rik	1.0
Etv3	1700012b07rik	1.0
Irf5	1700012b07rik	1.0
Irf7	1700012b07rik	1.0
Irf8	1700012b07rik	0.5
Nfe2	1700012b07rik	1.0
Prdm1	1700012b07rik	1.0
Rara	1700012b07rik	1.0
Batf3	1700025g04rik	-0.5
Fos	1700025g04rik	-2.0
Fosb	1700025g04rik	-2.0
Fosl1	1700025g04rik	-2.0
Jun	1700025g04rik	-2.0
Junb	1700025g04rik	-2.0
Lef1	1700025g04rik	-4.0
Maff	1700025g04rik	-1.0
Mafg	1700025g04rik	-1.0
Nr4a1	1700025g04rik	-1.0
Rara	1700025g04rik	-2.0
Relb	1700025g04rik	-1.0
Rxrg	1700025g04rik	-1.0
Tbx21	1700025g04rik	-0.5
Tcf7	1700025g04rik	-4.0
Vdr	1700025g04rik	-1.0
Egr2	1700026l06rik	1.0
Egr3	1700026l06rik	1.0
Jun	1700026l06rik	1.0
Junb	1700026l06rik	1.0
Bach1	1700049g17rik	1.0
Bcl3	1700049g17rik	0.5
Elf3	1700049g17rik	1.0
Elk1	1700049g17rik	1.0
Elk3	1700049g17rik	1.0
Etv3	1700049g17rik	4.0
Etv5	1700049g17rik	1.0
Maff	1700049g17rik	1.0
Mafg	1700049g17rik	1.0
Nfe2	1700049g17rik	1.0
Nfkb2	1700049g17rik	2.0
Nfkbia	1700049g17rik	1.0
Nfkbid	1700049g17rik	1.0
Nfkbiz	1700049g17rik	1.0
Relb	1700049g17rik	1.0
Stat5a	1700049g17rik	1.0
Stat5b	1700049g17rik	1.0
Rara	1810011o10rik	3.0
Rora	1810011o10rik	1.0
Rorc	1810011o10rik	1.0
Bach1	2010015l04rik	1.0
Bmyc	2010015l04rik	1.0
Fos	2010015l04rik	2.0
Fosb	2010015l04rik	2.0
Fosl1	2010015l04rik	2.0
Jun	2010015l04rik	1.0
Junb	2010015l04rik	1.0
Lef1	2010015l04rik	2.0
Maff	2010015l04rik	1.0
Mafg	2010015l04rik	1.0
Mycn	2010015l04rik	1.0
Nfe2	2010015l04rik	1.0
Prdm1	2010015l04rik	1.0
Tada2a	2010015l04rik	1.0
Tcf7	2010015l04rik	2.0
Bcl6	2010300c02rik	0.5
Elf3	2010300c02rik	1.0
Etv3	2010300c02rik	1.0
Gtf3a	2010300c02rik	2.0
Irf5	2010300c02rik	1.0
Irf7	2010300c02rik	1.0
Irf8	2010300c02rik	0.5
Meis1	2010300c02rik	2.0
Meis3	2010300c02rik	2.0
Mynn	2010300c02rik	2.0
Peg3	2010300c02rik	2.0
Rara	2010300c02rik	3.0
Relb	2010300c02rik	1.0
Rora	2010300c02rik	1.0
Rorc	2010300c02rik	1.0
Rreb1	2010300c02rik	2.0
Rxrg	2010300c02rik	1.0
Tgif1	2010300c02rik	1.0
Thra	2010300c02rik	2.0
Zbtb16	2010300c02rik	2.0
