	Batf3	Casz1	Hoxa3	Hoxa5	Hoxa6	Hoxa7	Irf8	Mafg	Mef2c	Nfkbie	Nkx6-2	Rorc	Smad1	Tcf4	Tcf7	Zbtb16	Zfp105	Zfp184	Zfp57	Zfp628	Zfp768
1700113h08rik	0	-2.0	-1.0	-2.0	-2.0	-2.0	0	0	0	0	0	-1.0	0	0	0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
2010300c02rik	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0
2310007l24rik	1.0	0	0	0	0	0	0	1.0	1.0	1.0	0	2.0	0	0	0	0	0	0	0	0	0
4921507p07rik	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
4930412o13rik	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A630001g21rik	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0
Abca3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
Abhd2	1.0	0	0	0	0	0	1.0	2.0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0
Abi3bp	1.0	0	0	0	0	0	1.0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0
Ablim3	0	0	0	0	0	0	1.0	1.0	1.0	0	1.0	1.0	0	1.0	0	0	0	0	0	0	0
Acpp	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsl1	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0
Actn2	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0
Acvr2a	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
Acyp2	0	0	0	0	0	0	0	2.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
Adam19	0	-1.0	0	-1.0	0	0	-1.0	0	0	0	0	-1.0	0	0	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
Adamts14	0	0	0	0	0	0	1.0	0	0	1.0	0	1.0	0	1.0	2.0	0	0	0	0	0	0
Add3	0	0	0	0	0	0	-1.0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0
Adra1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Adra2a	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
Adrbk2	0	0	0	0	0	0	0	2.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
Agap1	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0
Alcam	0	0	0	0	0	0	1.0	2.0	1.0	0	0	1.0	0	1.0	0	0	0	0	0	0	0
Ankrd33b	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
Ankrd44	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apobec1	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
Appl2	0	0	0	0	0	0	1.0	0	1.0	0	0	2.0	0	1.0	0	0	0	0	0	0	0
Arfgap3	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap21	1.0	0	0	0	0	0	1.0	1.0	1.0	0	0	1.0	0	1.0	0	0	0	0	0	0	0
Arhgap6	1.0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	0	0	1.0	0	0	0	0	0	0
Arhgef26	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
Arnt2	1.0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0
Asns	1.0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0
