Regulator	Target	Weight
Casz1	1700113h08rik	-2.0
Hoxa3	1700113h08rik	-1.0
Hoxa5	1700113h08rik	-2.0
Hoxa6	1700113h08rik	-2.0
Hoxa7	1700113h08rik	-2.0
Rorc	1700113h08rik	-1.0
Zbtb16	1700113h08rik	-2.0
Zfp105	1700113h08rik	-2.0
Zfp184	1700113h08rik	-2.0
Zfp57	1700113h08rik	-2.0
Zfp628	1700113h08rik	-2.0
Zfp768	1700113h08rik	-2.0
Mef2c	2010300c02rik	1.0
Rorc	2010300c02rik	1.0
Batf3	2310007l24rik	1.0
Mafg	2310007l24rik	1.0
Mef2c	2310007l24rik	1.0
Nfkbie	2310007l24rik	1.0
Rorc	2310007l24rik	2.0
Casz1	4921507p07rik	-1.0
Zbtb16	4921507p07rik	-1.0
Zfp105	4921507p07rik	-1.0
Zfp184	4921507p07rik	-1.0
Zfp57	4921507p07rik	-1.0
Zfp628	4921507p07rik	-1.0
Zfp768	4921507p07rik	-1.0
Hoxa6	4930412o13rik	-1.0
Hoxa7	4930412o13rik	-1.0
Rorc	A630001g21rik	-1.0
Tcf4	Abca3	1.0
Batf3	Abhd2	1.0
Irf8	Abhd2	1.0
Mafg	Abhd2	2.0
Mef2c	Abhd2	1.0
Rorc	Abhd2	1.0
Batf3	Abi3bp	1.0
Irf8	Abi3bp	1.0
Mef2c	Abi3bp	1.0
Rorc	Abi3bp	1.0
Irf8	Ablim3	1.0
Mafg	Ablim3	1.0
Mef2c	Ablim3	1.0
Nkx6-2	Ablim3	1.0
Rorc	Ablim3	1.0
Tcf4	Ablim3	1.0
Mafg	Acpp	1.0
Rorc	Acsl1	1.0
Tcf4	Acsl1	1.0
Rorc	Actn2	-1.0
Casz1	Acvr2a	-1.0
Zbtb16	Acvr2a	-1.0
Zfp105	Acvr2a	-1.0
Zfp184	Acvr2a	-1.0
Zfp57	Acvr2a	-1.0
Zfp628	Acvr2a	-1.0
Zfp768	Acvr2a	-1.0
Mafg	Acyp2	2.0
Rorc	Acyp2	1.0
Casz1	Adam19	-1.0
Hoxa5	Adam19	-1.0
Irf8	Adam19	-1.0
Rorc	Adam19	-1.0
Zbtb16	Adam19	-1.0
Zfp105	Adam19	-1.0
Zfp184	Adam19	-1.0
Zfp57	Adam19	-1.0
Zfp628	Adam19	-1.0
Zfp768	Adam19	-1.0
Irf8	Adamts14	1.0
Nfkbie	Adamts14	1.0
Rorc	Adamts14	1.0
Tcf4	Adamts14	1.0
Tcf7	Adamts14	2.0
Irf8	Add3	-1.0
Rorc	Add3	-1.0
Tcf7	Adra1b	1.0
Rorc	Adra2a	1.0
Mafg	Adrbk2	2.0
Rorc	Adrbk2	1.0
Rorc	Agap1	2.0
Irf8	Alcam	1.0
Mafg	Alcam	2.0
Mef2c	Alcam	1.0
Rorc	Alcam	1.0
Tcf4	Alcam	1.0
Nfkbie	Ankrd33b	1.0
Irf8	Ankrd44	-1.0
Nfkbie	Apobec1	1.0
Irf8	Appl2	1.0
Mef2c	Appl2	1.0
Rorc	Appl2	2.0
Tcf4	Appl2	1.0
Mafg	Arfgap3	2.0
Batf3	Arhgap21	1.0
Irf8	Arhgap21	1.0
Mafg	Arhgap21	1.0
Mef2c	Arhgap21	1.0
Rorc	Arhgap21	1.0
Tcf4	Arhgap21	1.0
Batf3	Arhgap6	1.0
Irf8	Arhgap6	1.0
Nkx6-2	Arhgap6	1.0
Rorc	Arhgap6	1.0
Tcf7	Arhgap6	1.0
Nkx6-2	Arhgef26	1.0
Batf3	Arnt2	1.0
Mafg	Arnt2	1.0
Nfkbie	Arnt2	1.0
Tcf7	Arnt2	1.0
Batf3	Asns	1.0
Rorc	Asns	2.0
Tcf4	Atrnl1	1.0
Tcf7	Auts2	3.0
Mafg	Azin1	2.0
Rorc	Azin1	1.0
Rorc	Bach2	-2.0
Nkx6-2	Bard1	1.0
Rorc	Bard1	2.0
Irf8	Batf3	1.0
Rorc	Batf3	1.0
Casz1	Bc053393	1.0
Smad1	Bc053393	1.0
Zbtb16	Bc053393	1.0
Zfp105	Bc053393	1.0
Zfp184	Bc053393	1.0
Zfp57	Bc053393	1.0
Zfp628	Bc053393	1.0
Zfp768	Bc053393	1.0
Batf3	Bcl2	1.0
Irf8	Bcl2	1.0
Mafg	Bcl2	2.0
Mef2c	Bcl2	1.0
Smad1	Bcl2	1.0
Tcf7	Bcl2	1.0
Rorc	Bcl2l1	-1.0
Irf8	Bicd1	1.0
Rorc	Bik	1.0
Irf8	Blk	1.0
Mef2c	Blk	1.0
Rorc	Blk	1.0
Tcf4	Blk	1.0
Nfkbie	Bst2	1.0
Nkx6-2	Cables1	1.0
Tcf4	Cand2	1.0
Batf3	Cap2	1.0
Irf8	Cap2	1.0
Tcf7	Cap2	1.0
Casz1	Car13	-1.0
Zbtb16	Car13	-1.0
Zfp105	Car13	-1.0
Zfp184	Car13	-1.0
Zfp57	Car13	-1.0
Zfp628	Car13	-1.0
Zfp768	Car13	-1.0
Mef2c	Ccdc88a	1.0
Nfkbie	Ccl17	1.0
Mafg	Ccr6	1.0
Rorc	Ccr6	2.0
Irf8	Cd200r1	-1.0
Hoxa3	Cd44	-1.0
Rorc	Cd44	-1.0
Casz1	Cd6	-1.0
Irf8	Cd6	-1.0
Zbtb16	Cd6	-1.0
Zfp105	Cd6	-1.0
Zfp184	Cd6	-1.0
Zfp57	Cd6	-1.0
Zfp628	Cd6	-1.0
Zfp768	Cd6	-1.0
Batf3	Cd93	1.0
Mafg	Cd93	1.0
Tcf4	Cdc14a	1.0
Tcf7	Cdc14a	1.0
Batf3	Cdc45	1.0
Irf8	Cdc45	1.0
Mef2c	Cdc45	1.0
Rorc	Cdon	2.0
Mafg	Cdyl2	1.0
Rorc	Cdyl2	2.0
Batf3	Celf2	1.0
Irf8	Celf2	1.0
Nfkbie	Celf2	1.0
Rorc	Celf2	2.0
Tcf7	Celf2	2.0
Hoxa6	Chm	-1.0
Hoxa7	Chm	-1.0
Batf3	Chst1	1.0
Mef2c	Chst1	1.0
Rorc	Chst1	1.0
Casz1	Chsy3	-1.0
Zbtb16	Chsy3	-1.0
Zfp105	Chsy3	-1.0
Zfp184	Chsy3	-1.0
Zfp57	Chsy3	-1.0
Zfp628	Chsy3	-1.0
Zfp768	Chsy3	-1.0
Batf3	Clcn3	1.0
Mafg	Clcn3	1.0
Nfkbie	Clcn3	1.0
Rorc	Clcn3	2.0
Smad1	Clcn3	1.0
Batf3	Clnk	1.0
Irf8	Clnk	1.0
Nkx6-2	Clnk	1.0
Rorc	Clnk	1.0
Tcf4	Clnk	1.0
Tcf7	Clnk	1.0
Casz1	Cnot6l	-1.0
Zbtb16	Cnot6l	-1.0
Zfp105	Cnot6l	-1.0
Zfp184	Cnot6l	-1.0
Zfp57	Cnot6l	-1.0
Zfp628	Cnot6l	-1.0
Zfp768	Cnot6l	-1.0
Batf3	Cntn1	1.0
Mafg	Cntn1	1.0
Mef2c	Cntn1	1.0
Nfkbie	Cntn1	1.0
Nkx6-2	Cntn1	1.0
Rorc	Cntn1	1.0
Tcf4	Cntn1	1.0
Tcf7	Cntn1	1.0
Casz1	Cobll1	-1.0
Zbtb16	Cobll1	-1.0
Zfp105	Cobll1	-1.0
Zfp184	Cobll1	-1.0
Zfp57	Cobll1	-1.0
Zfp628	Cobll1	-1.0
Zfp768	Cobll1	-1.0
Casz1	Cpm	-1.0
Zbtb16	Cpm	-1.0
Zfp105	Cpm	-1.0
Zfp184	Cpm	-1.0
Zfp57	Cpm	-1.0
Zfp628	Cpm	-1.0
Zfp768	Cpm	-1.0
Rorc	Cryba4	2.0
Irf8	Crybg3	1.0
Rorc	Csgalnact1	-1.0
Batf3	Ctsh	1.0
Irf8	Ctsh	1.0
Rorc	Ctsh	1.0
Tcf4	Ctsh	1.0
Tcf7	Ctsh	2.0
Mafg	Cx3cl1	1.0
Tcf7	Cx3cl1	1.0
Irf8	Cxcl3	-1.0
Tcf4	Cxcr5	1.0
Rorc	Cyp51	-2.0
Rorc	Cysltr1	-1.0
Irf8	Ddc	1.0
Nkx6-2	Ddc	1.0
Nfkbie	Dennd3	1.0
Hoxa6	Deptor	-2.0
Hoxa7	Deptor	-2.0
Nkx6-2	Deptor	-1.0
Rorc	Dexi	1.0
Tcf4	Dexi	1.0
Batf3	Dgkd	1.0
Irf8	Dgkd	1.0
Tcf7	Dgkd	1.0
Batf3	Dhrs3	1.0
Irf8	Dhrs3	1.0
Mafg	Dhrs3	1.0
Batf3	Dhx37	1.0
Mafg	Dhx37	1.0
Tcf4	Dhx37	1.0
Tcf7	Dhx37	1.0
Irf8	Diap3	-1.0
Rorc	Diap3	-1.0
Batf3	Dlc1	1.0
Mafg	Dlc1	1.0
Mef2c	Dlc1	1.0
Rorc	Dlc1	2.0
Tcf7	Dlc1	3.0
Smad1	Dmrta1	1.0
Tcf4	Dnajb2	1.0
Mafg	Dnajc6	2.0
Mafg	Dscaml1	1.0
Batf3	Dsg2	1.0
Irf8	Dsg2	1.0
Mafg	Dsg2	2.0
Mef2c	Dsg2	1.0
Tcf4	Dsg2	1.0
Batf3	Dtx4	1.0
Mef2c	Dtx4	1.0
Nfkbie	Dtx4	1.0
Mafg	Dusp16	1.0
Mef2c	Ece1	1.0
Mef2c	Ecm1	1.0
Rorc	Ecm1	1.0
Tcf7	Ecm1	1.0
Batf3	Eef2k	1.0
Irf8	Eef2k	1.0
Mafg	Eef2k	1.0
Nkx6-2	Eef2k	1.0
Rorc	Eef2k	1.0
Smad1	Eef2k	1.0
Tcf7	Eef2k	1.0
Nkx6-2	Epb4.1l5	1.0
Rorc	Epb4.1l5	2.0
Tcf4	Epb4.1l5	1.0
Tcf7	Epb4.1l5	1.0
Rorc	Eps8l3	1.0
Tcf4	Eps8l3	1.0
Casz1	Erap1	-1.0
Zbtb16	Erap1	-1.0
Zfp105	Erap1	-1.0
Zfp184	Erap1	-1.0
Zfp57	Erap1	-1.0
Zfp628	Erap1	-1.0
Zfp768	Erap1	-1.0
Batf3	Etv6	1.0
Irf8	Etv6	1.0
Mafg	Etv6	2.0
Rorc	Etv6	2.0
Smad1	Etv6	1.0
Casz1	Fam155a	1.0
Mafg	Fam155a	2.0
Rorc	Fam155a	2.0
Tcf4	Fam155a	1.0
Tcf7	Fam155a	3.0
Zbtb16	Fam155a	1.0
Zfp105	Fam155a	1.0
Zfp184	Fam155a	1.0
Zfp57	Fam155a	1.0
Zfp628	Fam155a	1.0
Zfp768	Fam155a	1.0
Irf8	Fam167a	1.0
Batf3	Fam184b	1.0
Casz1	Fam184b	1.0
Irf8	Fam184b	1.0
Mafg	Fam184b	1.0
Nfkbie	Fam184b	1.0
Rorc	Fam184b	1.0
Tcf7	Fam184b	1.0
Zbtb16	Fam184b	1.0
Zfp105	Fam184b	1.0
Zfp184	Fam184b	1.0
Zfp57	Fam184b	1.0
Zfp628	Fam184b	1.0
Zfp768	Fam184b	1.0
Irf8	Fam189a1	1.0
Rorc	Fam189a1	1.0
Irf8	Fam3c	1.0
Mef2c	Fam3c	1.0
Irf8	Fam84b	1.0
Mef2c	Fam84b	1.0
Mafg	Fancl	1.0
Nfkbie	Fancl	1.0
Rorc	Fancl	2.0
Irf8	Farp1	1.0
Mafg	Farp1	1.0
Mef2c	Farp1	1.0
Rorc	Farp1	1.0
Smad1	Farp1	1.0
Tcf4	Farp1	1.0
Nfkbie	Fbrsl1	1.0
Batf3	Fbxl13	1.0
Irf8	Fbxl13	1.0
Rorc	Fbxl13	2.0
Tcf7	Fbxl13	1.0
Mef2c	Fermt2	1.0
Irf8	Fhl2	1.0
Smad1	Fhl2	1.0
Batf3	Flnb	1.0
Nfkbie	Flnb	1.0
Rorc	Flnb	2.0
Smad1	Flnb	1.0
Casz1	Flrt2	-1.0
Irf8	Flrt2	-1.0
Rorc	Flrt2	-2.0
Zbtb16	Flrt2	-1.0
Zfp105	Flrt2	-1.0
Zfp184	Flrt2	-1.0
Zfp57	Flrt2	-1.0
Zfp628	Flrt2	-1.0
Zfp768	Flrt2	-1.0
Batf3	Fmnl2	1.0
Irf8	Fmnl2	1.0
Mafg	Fmnl2	2.0
Nfkbie	Fmnl2	1.0
Rorc	Fmnl2	2.0
Tcf7	Fmnl2	1.0
Rorc	Foxs1	1.0
Tcf4	Foxs1	1.0
Nkx6-2	Frmd4b	-1.0
Rorc	Frmd4b	-1.0
Rorc	Frmd6	1.0
Nkx6-2	Fut4	1.0
Smad1	Fut4	1.0
Tcf4	Fut4	1.0
Casz1	Fut8	-1.0
Hoxa3	Fut8	-1.0
Hoxa5	Fut8	-2.0
Hoxa6	Fut8	-2.0
Hoxa7	Fut8	-2.0
Irf8	Fut8	-1.0
Nkx6-2	Fut8	-1.0
Zbtb16	Fut8	-1.0
Zfp105	Fut8	-1.0
Zfp184	Fut8	-1.0
Zfp57	Fut8	-1.0
Zfp628	Fut8	-1.0
Zfp768	Fut8	-1.0
Mafg	Gab2	2.0
Rorc	Gab2	1.0
Smad1	Gab2	1.0
Rorc	Gas7	-1.0
Hoxa6	Gata3	-1.0
Hoxa7	Gata3	-1.0
Rorc	Gcnt1	-2.0
Irf8	Gcnt4	1.0
Tcf7	Gcnt4	1.0
Rorc	Gda	1.0
Batf3	Gfod1	1.0
Mef2c	Gfod1	1.0
Rorc	Gfod1	1.0
Casz1	Glcci1	-1.0
Hoxa5	Glcci1	-2.0
Nkx6-2	Glcci1	-1.0
Zbtb16	Glcci1	-1.0
Zfp105	Glcci1	-1.0
Zfp184	Glcci1	-1.0
Zfp57	Glcci1	-1.0
Zfp628	Glcci1	-1.0
Zfp768	Glcci1	-1.0
Rorc	Gls2	1.0
Rorc	Gm1966	-1.0
Rorc	Gm5127	-1.0
Casz1	Gnaq	-1.0
Irf8	Gnaq	-1.0
Zbtb16	Gnaq	-1.0
Zfp105	Gnaq	-1.0
Zfp184	Gnaq	-1.0
Zfp57	Gnaq	-1.0
Zfp628	Gnaq	-1.0
Zfp768	Gnaq	-1.0
Batf3	Gpnmb	1.0
Mef2c	Gpnmb	1.0
Nfkbie	Gpnmb	1.0
Tcf7	Gpnmb	3.0
Mafg	Gpr157	2.0
Rorc	Gpr157	1.0
Batf3	Gpr97	1.0
Smad1	Gpr97	1.0
Casz1	Gpr98	1.0
Nfkbie	Gpr98	1.0
Zbtb16	Gpr98	1.0
Zfp105	Gpr98	1.0
Zfp184	Gpr98	1.0
Zfp57	Gpr98	1.0
Zfp628	Gpr98	1.0
Zfp768	Gpr98	1.0
Batf3	Grb10	1.0
Irf8	Grb10	1.0
Mef2c	Grb10	1.0
