Regulator	Target	Weight
Atf3	0610010f05rik	1.0
Bach1	0610010f05rik	4.0
Bach2	0610010f05rik	2.0
Batf3	0610010f05rik	1.0
Bcl11a	0610010f05rik	1.0
Bmyc	0610010f05rik	1.0
Fos	0610010f05rik	4.0
Fosb	0610010f05rik	4.0
Fosl1	0610010f05rik	4.0
Foxc1	0610010f05rik	1.0
Hoxa6	0610010f05rik	1.0
Hoxa7	0610010f05rik	1.0
Irf5	0610010f05rik	1.0
Irf8	0610010f05rik	0.5
Jun	0610010f05rik	3.0
Junb	0610010f05rik	3.0
Maf	0610010f05rik	0.5
Maff	0610010f05rik	2.0
Mafg	0610010f05rik	2.0
Nfe2	0610010f05rik	4.0
Nfe2l3	0610010f05rik	4.0
Ppard	0610010f05rik	2.0
Rora	0610010f05rik	1.0
Rorc	0610010f05rik	1.0
Stat5a	0610010f05rik	1.0
Stat5b	0610010f05rik	1.0
Tada2a	0610010f05rik	1.0
Tada2b	0610010f05rik	1.0
Tcf7	0610010f05rik	3.0
Rora	1600014c10rik	1.0
Rorc	1600014c10rik	1.0
Bach1	1700001c19rik	2.0
Bach2	1700001c19rik	1.0
Bcl11a	1700001c19rik	1.0
Jun	1700001c19rik	1.0
Junb	1700001c19rik	1.0
Maf	1700001c19rik	1.0
Maff	1700001c19rik	2.0
Mafg	1700001c19rik	2.0
Nfe2	1700001c19rik	2.0
Nfe2l3	1700001c19rik	2.0
Nr3c2	1700001c19rik	1.0
Stat5a	1700001c19rik	1.0
Stat5b	1700001c19rik	1.0
Rfx2	1700001l05rik	1.0
Rfx3	1700001l05rik	1.0
Rfx5	1700001l05rik	1.0
Bach1	1700012b07rik	1.0
Bach2	1700012b07rik	0.5
Dmrt3	1700012b07rik	1.0
Dmrta1	1700012b07rik	1.0
Irf5	1700012b07rik	1.0
Irf8	1700012b07rik	0.5
Nfe2	1700012b07rik	1.0
Nfe2l3	1700012b07rik	1.0
Rara	1700012b07rik	1.0
Fos	1700017b05rik	1.0
Fosb	1700017b05rik	1.0
Fosl1	1700017b05rik	1.0
Nfkb2	1700017b05rik	1.0
Relb	1700017b05rik	3.0
Atf3	1700025g04rik	-1.0
Bach1	1700025g04rik	-1.0
Bach2	1700025g04rik	-0.5
Fos	1700025g04rik	-1.0
Fosb	1700025g04rik	-1.0
Fosl1	1700025g04rik	-1.0
Jun	1700025g04rik	-2.0
Junb	1700025g04rik	-2.0
Maff	1700025g04rik	-1.0
Mafg	1700025g04rik	-1.0
Nfe2	1700025g04rik	-1.0
Nfe2l3	1700025g04rik	-1.0
Nr4a1	1700025g04rik	-1.0
Pbx1	1700025g04rik	-1.0
Rara	1700025g04rik	-2.0
Tcf7	1700025g04rik	-2.0
Vdr	1700025g04rik	-0.5
Foxa1	1700034j05rik	1.0
Foxc1	1700034j05rik	1.0
Nr3c2	1700034j05rik	1.0
Pax6	1700034j05rik	1.0
Tcf7	1700034j05rik	4.0
Bach1	1700049g17rik	1.0
Bach2	1700049g17rik	0.5
Batf3	1700049g17rik	1.0
Bcl6	1700049g17rik	0.5
Maff	1700049g17rik	1.0
Mafg	1700049g17rik	1.0
Nfe2	1700049g17rik	1.0
Nfe2l3	1700049g17rik	1.0
Nfkb2	1700049g17rik	2.0
Nfkbia	1700049g17rik	1.0
Nfkbid	1700049g17rik	1.0
Nfkbie	1700049g17rik	1.0
Nr3c2	1700049g17rik	1.0
Rara	1700049g17rik	1.0
Relb	1700049g17rik	1.0
Stat5a	1700049g17rik	1.0
Stat5b	1700049g17rik	1.0
Pax6	1810011o10rik	1.0
Pbx1	1810011o10rik	1.0
Rara	1810011o10rik	3.0
Rora	1810011o10rik	1.0
Rorc	1810011o10rik	1.0
Bach1	2010015l04rik	1.0
Bach2	2010015l04rik	0.5
Bmyc	2010015l04rik	1.0
Fos	2010015l04rik	2.0
Fosb	2010015l04rik	2.0
Fosl1	2010015l04rik	2.0
Jun	2010015l04rik	1.0
Junb	2010015l04rik	1.0
Maff	2010015l04rik	1.0
Mafg	2010015l04rik	1.0
Nfe2	2010015l04rik	1.0
Nfe2l3	2010015l04rik	1.0
Nr3c2	2010015l04rik	1.0
Rfx2	2010015l04rik	1.0
Rfx3	2010015l04rik	1.0
Rfx5	2010015l04rik	1.0
Tada2a	2010015l04rik	1.0
Tada2b	2010015l04rik	1.0
Tcf7	2010015l04rik	2.0
Atf3	2010016i18rik	-1.0
Bach1	2010016i18rik	-1.0
Bach2	2010016i18rik	-0.5
Batf3	2010016i18rik	-1.0
Bcl11a	2010016i18rik	-1.0
Bmyc	2010016i18rik	-1.0
Fos	2010016i18rik	-2.0
Fosb	2010016i18rik	-2.0
Fosl1	2010016i18rik	-2.0
Jun	2010016i18rik	-3.0
Junb	2010016i18rik	-3.0
Nfe2	2010016i18rik	-1.0
Nfe2l3	2010016i18rik	-1.0
Rara	2010016i18rik	-3.0
Rora	2010016i18rik	-1.0
Rorc	2010016i18rik	-1.0
Stat5a	2010016i18rik	-1.0
Stat5b	2010016i18rik	-1.0
Tcf7	2010016i18rik	-1.0
Bcl6	2010300c02rik	0.5
Casz1	2010300c02rik	1.0
Gtf3a	2010300c02rik	1.0
Gzf1	2010300c02rik	1.0
Irf5	2010300c02rik	1.0
Irf8	2010300c02rik	0.5
Mef2c	2010300c02rik	1.0
Pax6	2010300c02rik	1.0
Peg3	2010300c02rik	1.0
Prdm5	2010300c02rik	1.0
Prdm9	2010300c02rik	1.0
Rara	2010300c02rik	3.0
Relb	2010300c02rik	1.0
Rest	2010300c02rik	1.0
Rfx2	2010300c02rik	1.0
Rfx3	2010300c02rik	1.0
Rfx5	2010300c02rik	1.0
Rora	2010300c02rik	1.0
Rorc	2010300c02rik	1.0
Rreb1	2010300c02rik	1.0
Thra	2010300c02rik	2.0
Thrb	2010300c02rik	2.0
Trps1	2010300c02rik	1.0
Zbtb16	2010300c02rik	0.5
Zbtb21	2010300c02rik	1.0
Zbtb24	2010300c02rik	1.0
Zfp105	2010300c02rik	1.0
Zfp182	2010300c02rik	1.0
Zfp184	2010300c02rik	1.0
Zfp3	2010300c02rik	1.0
Zfp317	2010300c02rik	1.0
Zfp41	2010300c02rik	1.0
Zfp438	2010300c02rik	1.0
Zfp445	2010300c02rik	1.0
Zfp462	2010300c02rik	1.0
Zfp57	2010300c02rik	1.0
Zfp606	2010300c02rik	1.0
Zfp62	2010300c02rik	1.0
Zfp628	2010300c02rik	1.0
Zfp644	2010300c02rik	1.0
Zfp768	2010300c02rik	1.0
Zfp770	2010300c02rik	1.0
Zfp92	2010300c02rik	1.0
Zscan26	2010300c02rik	1.0
Nfkb2	2210015d19rik	1.0
Nr1d1	2210015d19rik	1.0
Nr1d2	2210015d19rik	1.0
Relb	2210015d19rik	1.0
Rora	2210015d19rik	2.0
Rorc	2210015d19rik	2.0
Bach1	2310007l24rik	1.0
Bach2	2310007l24rik	0.5
Batf3	2310007l24rik	1.0
Cebpd	2310007l24rik	2.0
Cebpg	2310007l24rik	2.0
Esr1	2310007l24rik	1.0
Fos	2310007l24rik	3.0
Fosb	2310007l24rik	3.0
Fosl1	2310007l24rik	3.0
Foxa1	2310007l24rik	2.0
Jun	2310007l24rik	3.0
Junb	2310007l24rik	3.0
Maff	2310007l24rik	1.0
Mafg	2310007l24rik	1.0
Mef2c	2310007l24rik	1.0
Nfe2	2310007l24rik	1.0
Nfe2l3	2310007l24rik	1.0
Nfkb2	2310007l24rik	1.0
Nfkbia	2310007l24rik	1.0
Nfkbid	2310007l24rik	1.0
Nfkbie	2310007l24rik	1.0
Nr3c2	2310007l24rik	1.0
Rara	2310007l24rik	2.0
Relb	2310007l24rik	2.0
Rora	2310007l24rik	2.0
Rorc	2310007l24rik	2.0
Tada2a	2310007l24rik	1.0
Tada2b	2310007l24rik	1.0
Zbtb18	2310007l24rik	1.0
Cebpd	2310015a10rik	2.0
Cebpg	2310015a10rik	2.0
Stat5a	2310022a10rik	-1.0
Stat5b	2310022a10rik	-1.0
Esr1	2310022b05rik	-1.0
Nfia	2410089e03rik	3.0
Nfic	2410089e03rik	3.0
Nfix	2410089e03rik	3.0
Esr1	2410131k14rik	2.0
Foxa1	2410131k14rik	2.0
Rara	2410131k14rik	3.0
Rora	2410131k14rik	1.0
Rorc	2410131k14rik	1.0
Tcf7	2410131k14rik	3.0
Thra	2410131k14rik	1.0
Thrb	2410131k14rik	1.0
Nfkbia	2610002m06rik	1.0
Nfkbid	2610002m06rik	1.0
Nfkbie	2610002m06rik	1.0
Bcl11a	2610018g03rik	-1.0
Foxc1	2610018g03rik	-1.0
Irf5	2610018g03rik	-1.0
Irf8	2610018g03rik	-0.5
Stat5a	2610018g03rik	-1.0
Stat5b	2610018g03rik	-1.0
Hoxa6	2610020h08rik	-1.0
Hoxa7	2610020h08rik	-1.0
Irf5	2610020h08rik	-1.0
Irf8	2610020h08rik	-0.5
Bmyc	2610035d17rik	1.0
Hoxa3	2610035d17rik	1.0
Rara	2610035d17rik	1.0
Rfx2	2610035d17rik	1.0
Rfx3	2610035d17rik	1.0
Rfx5	2610035d17rik	1.0
Tcf7	2610035d17rik	2.0
Foxo1	2700086a05rik	1.0
Hoxa9	2700086a05rik	2.0
Hoxa3	2810459m11rik	1.0
Rara	2810459m11rik	1.0
Bmyc	2900005j15rik	1.0
Casz1	2900005j15rik	1.0
Cebpd	2900005j15rik	2.0
Cebpg	2900005j15rik	2.0
Esr1	2900005j15rik	2.0
Fos	2900005j15rik	1.0
Fosb	2900005j15rik	1.0
Fosl1	2900005j15rik	1.0
Gtf3a	2900005j15rik	1.0
Gzf1	2900005j15rik	1.0
Peg3	2900005j15rik	1.0
Prdm5	2900005j15rik	1.0
Prdm9	2900005j15rik	1.0
Relb	2900005j15rik	1.0
Rest	2900005j15rik	1.0
Rora	2900005j15rik	1.0
Rorc	2900005j15rik	1.0
Rreb1	2900005j15rik	1.0
Trps1	2900005j15rik	1.0
Zbtb16	2900005j15rik	0.5
Zbtb21	2900005j15rik	1.0
Zbtb24	2900005j15rik	1.0
Zfp105	2900005j15rik	1.0
Zfp182	2900005j15rik	1.0
Zfp184	2900005j15rik	1.0
Zfp3	2900005j15rik	1.0
Zfp317	2900005j15rik	1.0
Zfp41	2900005j15rik	1.0
Zfp438	2900005j15rik	1.0
Zfp445	2900005j15rik	1.0
Zfp462	2900005j15rik	1.0
Zfp57	2900005j15rik	1.0
Zfp606	2900005j15rik	1.0
Zfp62	2900005j15rik	1.0
Zfp628	2900005j15rik	1.0
Zfp644	2900005j15rik	1.0
Zfp768	2900005j15rik	1.0
Zfp770	2900005j15rik	1.0
Zfp92	2900005j15rik	1.0
Zscan26	2900005j15rik	1.0
Bach1	2900026a02rik	1.0
Bach2	2900026a02rik	0.5
Bmyc	2900026a02rik	1.0
Fos	2900026a02rik	2.0
Fosb	2900026a02rik	2.0
Fosl1	2900026a02rik	2.0
Foxa1	2900026a02rik	2.0
Jun	2900026a02rik	1.0
Junb	2900026a02rik	1.0
Maf	2900026a02rik	0.5
Maff	2900026a02rik	1.0
Mafg	2900026a02rik	1.0
Nfatc1	2900026a02rik	1.0
Nfatc2	2900026a02rik	1.0
Nfe2	2900026a02rik	1.0
Nfe2l3	2900026a02rik	1.0
Nfkb2	2900026a02rik	1.0
Nfkbia	2900026a02rik	1.0
Nfkbid	2900026a02rik	1.0
Nfkbie	2900026a02rik	1.0
Nr1d1	2900026a02rik	1.0
Nr1d2	2900026a02rik	1.0
Rara	2900026a02rik	2.0
Relb	2900026a02rik	2.0
Rora	2900026a02rik	2.0
Rorc	2900026a02rik	2.0
Stat5a	2900026a02rik	1.0
Stat5b	2900026a02rik	1.0
Mef2c	4430402i18rik	-1.0
Foxo1	4632427e13rik	1.0
Nfkb2	4632427e13rik	1.0
Relb	4632427e13rik	2.0
Rora	4833422c13rik	1.0
Rorc	4833422c13rik	1.0
Batf3	4921524j17rik	-1.0
Bmyc	4921524j17rik	-1.0
Jun	4921524j17rik	-1.0
Junb	4921524j17rik	-1.0
Nr1d1	4921524j17rik	-1.0
Nr1d2	4921524j17rik	-1.0
Nr3c2	4921524j17rik	-1.0
Rara	4921524j17rik	-1.0
Sox4	4921524j17rik	-1.0
Stat5a	4921524j17rik	-1.0
Stat5b	4921524j17rik	-1.0
Tcf7	4921524j17rik	-3.0
Thra	4921524j17rik	-1.0
Thrb	4921524j17rik	-1.0
Bach1	4930412o13rik	-1.0
Bach2	4930412o13rik	-0.5
Bcl11a	4930412o13rik	-1.0
Fos	4930412o13rik	-2.0
Fosb	4930412o13rik	-2.0
Fosl1	4930412o13rik	-2.0
Foxc1	4930412o13rik	-1.0
Irf5	4930412o13rik	-1.0
Irf8	4930412o13rik	-0.5
Jun	4930412o13rik	-3.0
Junb	4930412o13rik	-3.0
Nfe2	4930412o13rik	-1.0
Nfe2l3	4930412o13rik	-1.0
Nr4a1	4930412o13rik	-1.0
Ppard	4930412o13rik	-1.0
Sox4	4930412o13rik	-1.0
Tada2a	4930412o13rik	-1.0
Tada2b	4930412o13rik	-1.0
Hoxa6	4930486l24rik	-1.0
Hoxa7	4930486l24rik	-1.0
Irf5	4930486l24rik	-1.0
Irf8	4930486l24rik	-0.5
Jun	4930486l24rik	-1.0
Junb	4930486l24rik	-1.0
Mef2c	4930486l24rik	-1.0
Pbx1	4930486l24rik	-1.0
Sox4	4930486l24rik	-1.0
Stat5a	4930486l24rik	-1.0
Stat5b	4930486l24rik	-1.0
Batf3	4930503l19rik	-1.0
Rara	4930503l19rik	-3.0
Rora	4930503l19rik	-1.0
Rorc	4930503l19rik	-1.0
Bach1	4930506m07rik	1.0
Bach2	4930506m07rik	0.5
Batf3	4930506m07rik	1.0
Bcl11a	4930506m07rik	1.0
Bcl6	4930506m07rik	0.5
Bmyc	4930506m07rik	1.0
Maf	4930506m07rik	0.5
Maff	4930506m07rik	1.0
Mafg	4930506m07rik	1.0
Mef2c	4930506m07rik	1.0
Nfe2	4930506m07rik	1.0
Nfe2l3	4930506m07rik	1.0
Nr4a1	4930506m07rik	1.0
Ppard	4930506m07rik	3.0
Rara	4930506m07rik	1.0
Irf5	4930562c15rik	1.0
Irf8	4930562c15rik	0.5
Casz1	4930592i03rik	1.0
Gtf3a	4930592i03rik	1.0
Gzf1	4930592i03rik	1.0
Nr1d1	4930592i03rik	1.0
Nr1d2	4930592i03rik	1.0
Peg3	4930592i03rik	1.0
Ppard	4930592i03rik	2.0
Prdm5	4930592i03rik	1.0
Prdm9	4930592i03rik	1.0
Rest	4930592i03rik	1.0
Rora	4930592i03rik	1.0
Rorc	4930592i03rik	1.0
Rreb1	4930592i03rik	1.0
Trps1	4930592i03rik	1.0
Zbtb16	4930592i03rik	0.5
Zbtb21	4930592i03rik	1.0
Zbtb24	4930592i03rik	1.0
Zfp105	4930592i03rik	1.0
Zfp182	4930592i03rik	1.0
Zfp184	4930592i03rik	1.0
Zfp3	4930592i03rik	1.0
Zfp317	4930592i03rik	1.0
Zfp41	4930592i03rik	1.0
Zfp438	4930592i03rik	1.0
Zfp445	4930592i03rik	1.0
Zfp462	4930592i03rik	1.0
Zfp57	4930592i03rik	1.0
Zfp606	4930592i03rik	1.0
Zfp62	4930592i03rik	1.0
Zfp628	4930592i03rik	1.0
Zfp644	4930592i03rik	1.0
Zfp768	4930592i03rik	1.0
Zfp770	4930592i03rik	1.0
Zfp92	4930592i03rik	1.0
Zscan26	4930592i03rik	1.0
Batf3	4930594c11rik	1.0
Jun	4930594c11rik	1.0
Junb	4930594c11rik	1.0
Nr3c2	4930594c11rik	1.0
Pax6	4930594c11rik	1.0
Tada2a	4930594c11rik	1.0
Tada2b	4930594c11rik	1.0
Tcf7	4930594c11rik	3.0
Bach1	4931406c07rik	1.0
Bach2	4931406c07rik	0.5
Esr1	4931406c07rik	2.0
Fos	4931406c07rik	3.0
Fosb	4931406c07rik	3.0
Fosl1	4931406c07rik	3.0
Hoxa6	4931406c07rik	1.0
Hoxa7	4931406c07rik	1.0
Jun	4931406c07rik	3.0
Junb	4931406c07rik	3.0
Maf	4931406c07rik	0.5
Nfe2	4931406c07rik	1.0
Nfe2l3	4931406c07rik	1.0
Nr1d1	4931406c07rik	1.0
Nr1d2	4931406c07rik	1.0
Ppard	4931406c07rik	1.0
Rara	4931406c07rik	3.0
Rora	4931406c07rik	1.0
Rorc	4931406c07rik	1.0
Tada2a	4931406c07rik	1.0
Tada2b	4931406c07rik	1.0
Tcf7	4931406c07rik	1.0
Thra	4931406c07rik	2.0
Thrb	4931406c07rik	2.0
Jun	4932438h23rik	-1.0
Junb	4932438h23rik	-1.0
Rora	4932438h23rik	-1.0
Rorc	4932438h23rik	-1.0
Casz1	4933431e20rik	1.0
Gtf3a	4933431e20rik	1.0
Gzf1	4933431e20rik	1.0
Jun	4933431e20rik	1.0
Junb	4933431e20rik	1.0
Peg3	4933431e20rik	1.0
Prdm5	4933431e20rik	1.0
Prdm9	4933431e20rik	1.0
Rest	4933431e20rik	1.0
Rreb1	4933431e20rik	1.0
Trps1	4933431e20rik	1.0
Zbtb16	4933431e20rik	0.5
Zbtb21	4933431e20rik	1.0
Zbtb24	4933431e20rik	1.0
Zfp105	4933431e20rik	1.0
Zfp182	4933431e20rik	1.0
Zfp184	4933431e20rik	1.0
Zfp3	4933431e20rik	1.0
Zfp317	4933431e20rik	1.0
Zfp41	4933431e20rik	1.0
Zfp438	4933431e20rik	1.0
Zfp445	4933431e20rik	1.0
Zfp462	4933431e20rik	1.0
Zfp57	4933431e20rik	1.0
Zfp606	4933431e20rik	1.0
Zfp62	4933431e20rik	1.0
Zfp628	4933431e20rik	1.0
Zfp644	4933431e20rik	1.0
Zfp768	4933431e20rik	1.0
Zfp770	4933431e20rik	1.0
Zfp92	4933431e20rik	1.0
Zscan26	4933431e20rik	1.0
Jun	5330426p16rik	-1.0
Junb	5330426p16rik	-1.0
Maff	5330426p16rik	-1.0
Mafg	5330426p16rik	-1.0
Nr3c2	5330426p16rik	-1.0
Pbx1	5430417l22rik	1.0
Tcf7	5430417l22rik	2.0
Cebpd	5430421n21rik	2.0
Cebpg	5430421n21rik	2.0
Rara	5430421n21rik	2.0
Stat5a	5430421n21rik	1.0
Stat5b	5430421n21rik	1.0
Bmyc	5730409e04rik	1.0
Nfkb2	5730409e04rik	1.0
Cebpd	5730508b09rik	1.0
Cebpg	5730508b09rik	1.0
Batf3	5830411n06rik	1.0
Bcl11a	5830411n06rik	1.0
Bmyc	5830411n06rik	1.0
Fos	5830411n06rik	3.0
