Regulator	Target	Weight
Bcl11b	0610010f05rik	-0.5
Elf4	0610010f05rik	-1.0
Erf	0610010f05rik	-1.0
Ets1	0610010f05rik	-1.0
Ets2	0610010f05rik	-1.0
Irf3	0610010f05rik	-1.0
Irf5	0610010f05rik	-1.0
Irf7	0610010f05rik	-1.0
Irf8	0610010f05rik	-0.5
Maf	0610010f05rik	-1.0
Mafg	0610010f05rik	-2.0
Runx2	0610010f05rik	-2.0
Stat3	0610010f05rik	-1.0
Stat4	0610010f05rik	-1.0
Stat5a	0610010f05rik	-1.0
Stat5b	0610010f05rik	-1.0
Erf	1110007c09rik	1.0
Ets1	1110007c09rik	1.0
Ets2	1110007c09rik	1.0
Nr3c1	1110007c09rik	1.0
Cebpd	1110008f13rik	1.0
Cebpg	1110008f13rik	2.0
Glis3	1110008f13rik	1.0
Irf3	1110008f13rik	2.0
Irf5	1110008f13rik	2.0
Irf7	1110008f13rik	2.0
Irf8	1110008f13rik	1.0
Maf	1110008f13rik	1.0
Nr3c1	1110008f13rik	1.0
Relb	1110008f13rik	1.0
Runx2	1110008f13rik	2.0
Elf4	1110008p14rik	1.0
Irf3	1110008p14rik	1.0
Irf5	1110008p14rik	1.0
Irf7	1110008p14rik	1.0
Irf8	1110008p14rik	0.5
Klf2	1110008p14rik	1.0
Klf8	1110008p14rik	1.0
Nr3c1	1110008p14rik	1.0
Elf4	1110020a21rik	1.0
Irf3	1110032a03rik	-3.0
Irf5	1110032a03rik	-3.0
Irf7	1110032a03rik	-3.0
Irf8	1110032a03rik	-1.5
Bcl11b	1600014c10rik	-0.5
Erf	1600014c10rik	-3.0
Ets1	1600014c10rik	-3.0
Ets2	1600014c10rik	-3.0
Irf3	1600014c10rik	-6.0
Irf5	1600014c10rik	-6.0
Irf7	1600014c10rik	-6.0
Irf8	1600014c10rik	-3.0
Nr4a2	1600014c10rik	-2.0
Runx2	1600014c10rik	-1.0
Stat3	1600014c10rik	-2.0
Stat4	1600014c10rik	-2.0
Stat5a	1600014c10rik	-2.0
Stat5b	1600014c10rik	-2.0
Lef1	1700001c19rik	-1.0
Maf	1700001c19rik	-1.0
Mafg	1700001c19rik	-2.0
Nr3c1	1700001c19rik	-1.0
Relb	1700001c19rik	-1.0
Stat3	1700001c19rik	-1.0
Stat4	1700001c19rik	-1.0
Stat5a	1700001c19rik	-1.0
Stat5b	1700001c19rik	-1.0
Tcf7	1700001c19rik	-0.5
Irf3	1700001l05rik	-1.0
Irf5	1700001l05rik	-1.0
Irf7	1700001l05rik	-1.0
Irf8	1700001l05rik	-0.5
Erf	1700012b07rik	1.0
Ets1	1700012b07rik	1.0
Ets2	1700012b07rik	1.0
Etv1	1700012b07rik	1.0
Runx2	1700012b07rik	3.0
Bach2	1700025g04rik	1.0
Bcl11b	1700025g04rik	0.5
Bcl6	1700025g04rik	1.0
E4f1	1700025g04rik	1.0
Elf4	1700025g04rik	2.0
Eomes	1700025g04rik	1.5
Epas1	1700025g04rik	1.0
Erf	1700025g04rik	4.0
Ets1	1700025g04rik	4.0
Ets2	1700025g04rik	4.0
Etv1	1700025g04rik	3.0
Foxo1	1700025g04rik	2.0
Hif1a	1700025g04rik	1.0
Irf3	1700025g04rik	7.0
Irf5	1700025g04rik	7.0
Irf7	1700025g04rik	7.0
Irf8	1700025g04rik	3.5
Klf2	1700025g04rik	1.0
Klf8	1700025g04rik	1.0
Lef1	1700025g04rik	1.0
Maf	1700025g04rik	1.0
Nfe2l2	1700025g04rik	1.0
Nr3c1	1700025g04rik	1.0
Nr4a2	1700025g04rik	1.0
Prdm2	1700025g04rik	1.0
Relb	1700025g04rik	1.0
Runx2	1700025g04rik	2.0
Stat3	1700025g04rik	3.0
Stat4	1700025g04rik	3.0
Stat5a	1700025g04rik	3.0
Stat5b	1700025g04rik	3.0
Tbx21	1700025g04rik	3.0
Tcf7	1700025g04rik	0.5
Zbtb16	1700025g04rik	1.0
Zbtb39	1700025g04rik	1.0
Zbtb49	1700025g04rik	1.0
Zfp341	1700025g04rik	1.0
Zfp462	1700025g04rik	0.5
Zfp646	1700025g04rik	1.0
Zfp768	1700025g04rik	1.0
Relb	1700113h08rik	-1.0
Runx2	1700113h08rik	-2.0
Erf	1810011h11rik	-1.0
Ets1	1810011h11rik	-1.0
Ets2	1810011h11rik	-1.0
Etv1	1810011h11rik	-2.0
Foxo1	1810011h11rik	-1.0
Mef2d	1810011h11rik	-1.0
Meis3	1810011h11rik	-0.5
Nr3c1	1810011h11rik	-1.0
Runx2	1810011h11rik	-3.0
Bcl11b	2310009b15rik	-0.5
E4f1	2310009b15rik	-1.0
Eomes	2310009b15rik	-1.5
Irf3	2310009b15rik	-1.0
Irf5	2310009b15rik	-1.0
Irf7	2310009b15rik	-1.0
Irf8	2310009b15rik	-0.5
Prdm2	2310009b15rik	-1.0
Tbx21	2310009b15rik	-3.0
Zbtb16	2310009b15rik	-1.0
Zbtb39	2310009b15rik	-1.0
Zbtb49	2310009b15rik	-1.0
Zfp341	2310009b15rik	-1.0
Zfp462	2310009b15rik	-0.5
Zfp646	2310009b15rik	-1.0
Zfp768	2310009b15rik	-1.0
Bcl11b	2310015a10rik	-0.5
E4f1	2310015a10rik	-1.0
Elf4	2310015a10rik	-2.0
Eomes	2310015a10rik	-1.5
Erf	2310015a10rik	-3.0
Ets1	2310015a10rik	-3.0
Ets2	2310015a10rik	-3.0
Foxm1	2310015a10rik	-1.0
Gfi1	2310015a10rik	-1.0
Irf3	2310015a10rik	-3.0
Irf5	2310015a10rik	-3.0
Irf7	2310015a10rik	-3.0
Irf8	2310015a10rik	-1.5
Prdm2	2310015a10rik	-1.0
Stat3	2310015a10rik	-2.0
Stat4	2310015a10rik	-2.0
Stat5a	2310015a10rik	-2.0
Stat5b	2310015a10rik	-2.0
Tbx21	2310015a10rik	-3.0
Zbtb16	2310015a10rik	-1.0
Zbtb39	2310015a10rik	-1.0
Zbtb49	2310015a10rik	-1.0
Zfp341	2310015a10rik	-1.0
Zfp462	2310015a10rik	-0.5
Zfp646	2310015a10rik	-1.0
Zfp768	2310015a10rik	-1.0
Elf4	2310022a10rik	1.0
Eomes	2310022a10rik	1.5
